b6a1, 6138
bd64, 057e
f0b8, 7d68
ce4f, df94
3e04, 7db9
f786, 3735
b9d5, 6c71
f577, ded1
b6bc, 8682
a9fa, e239
e4b3, 9db2
0a1e, 41cb
d290, d29b
116b, d6fb
e7fb, 4ce6
670e, 17a8
eb1a, 137b
5db0, d4c1
9f92, 0577
dbb8, 82d7
024f, c7bf
6e88, 5e87
c1f6, 5f15
79f8, b887
1be7, 5b4b
6813, 6fba
ae14, 7037
1d5c, bb69
04f2, 538e
19c7, a219
f326, cc57
7734, 9861
70b7, 4c9c
43ec, 0055
10d6, 6174
54f9, 6366
52c2, 6381
e694, 300e
3c04, dab7
6783, 3ae5
6323, 8e97
f7f0, 0709
2968, 364a
f1cd, 7aa3
947c, eb4b
1602, 81d9
15df, ee96
7d73, 2aa4
e2db, cfeb
4423, cbe7
d3c5, 298f
0b9a, 8b1e
90d0, 5139
81e1, bc46
3c61, ec61
4b65, 37b3
fb31, f406
bbaa, 5011
6bd6, ad07
bcfb, e309
e110, ed6b
1db3, 5fa2
4c56, 7a07
bbe8, 2306
4862, 42fe
8af2, fb7f
3f93, e00e
871e, 9fce
55d3, fe95
fd26, 352f
0932, ffd3
4b04, dd4b
b9a9, 3cf0
6948, 68f4
dfa1, a4c1
657b, d57b
a87d, 4f94
2d84, d4ec
4236, 619d
751e, 851e
6c40, 4169
e5e5, cc55
0c69, bec8
0a94, 3db3
719d, 8a8d
a2c2, 7149
3dbe, 9c50
2dcb, 2dc0
598a, 235f
f27f, 3fbf
393e, 6cf0
a5e7, a148
1551, 7bb5
c4aa, 83a1
3a1c, 8b97
1e51, 5db4
698f, e084
8003, e373
5b27, d1dd
9d19, e23f
5d0a, f4a9
093c, 8bd8
9dad, 8ebc
0456, cced
ba61, bec6
4c74, 70c2
7851, 0c28
5ded, e053
f1ae, 7ace
e6c5, 6d48
2eec, 5331
991e, ffc3
47ce, 67ce
99bb, 51a5
b3e7, 462b
8bec, 9958
2ad0, e457
4905, d499
c991, bc10
2154, 0f27
e062, 9a23
5b70, 68ed
132d, 3457
8e64, 8b6c
e693, 0af2
f189, 08cc
166a, 7b2f
52d3, 973b
fff3, 39e6
8407, d248
a34b, 343b
e158, b99e
959c, f329
c507, f6b7
a64d, 914a
320e, e3f4
397b, 7872
4daa, e4fc
a21c, 6606
4ffe, 3083
7619, 290d
9fa5, 0040
1499, 0f95
9977, 6771
fdf9, 41e7
0095, 1e96
e28a, 904b
61b1, e5c6
65fc, e091
4a4d, 189c
2fa3, 271e
a35c, a574
dcf0, 3c7c
9dbe, 5be3
602b, 3ee2
4aea, 4161
1e75, 6243
e8a1, 8bc3
4864, b3f2
f12e, 3d2d
bcdc, bdc6
50c3, b3d0
3c92, b094
4df8, de27
ddbb, ac62
7cc8, 7aa9
fee3, cbde
f8e5, bd95
febc, f450
6f32, 10bd
cb71, 4e7e
8074, ac2e
7748, 8c05
69b7, 243a
95fd, 919f
0c4c, 4a72
03e6, 4111
292a, 6738
f997, 9382
62a1, 5c3f
3a28, 3ad7
6ffe, e216
865a, 3e0e
19d1, c20c
c904, 1c5f
df3c, 5b87
eb20, d336
7f87, d250
f945, 5398
0a31, d7b7
f4fa, 385b
040d, 1347
4f62, 718b
3229, a00d
f0e5, 8500
55bc, 7620
de9f, 6a03
f213, 85ab
24f2, 6a16
eb6d, 2fe3
b08e, eabd
29f0, 0b58
1c24, c051
4b68, 4241
4969, 9d35
97cc, ae25
0610, fdbb
3a9b, b9c2
0fb7, 027b
91b3, bd5e
9374, ea6e
6753, 49f9
c36d, 4d1f
d00a, 141c
5913, 63c0
8f0f, a6ae
bbfd, c283
1b58, 5e90
06e2, f38d
a813, 673c
93f2, 6114
5d54, 2426
43e6, 86aa
9839, 815d
ef97, 79ee
02bb, 3ef0
2259, 2458
aefb, e424
c59d, fb99
3790, 162c
5f8e, fc09
4b71, fd2d
ac27, 5818
70e8, b609
3514, 36fe
de2f, 9ae7
e7d2, 842e
9edf, 8e52
b9ae, 6c45
4deb, c640
a0c8, 13a1
b689, 8175
b0f3, 1718
631a, e3c1
cba2, 8cb9
faf3, 4e7d
9be1, 159d
732a, ec0a
be1c, faa3
72fd, d9f3
2230, 106e
69f7, ecac
fe1c, 88d7
861f, c108
d289, d57f
1970, 1f80
910b, 6cb7
b56d, a55e
361c, edcc
a6d7, 4228
cad7, 1ad8
531b, 14f0
48b4, ab7a
a183, 59c5
e7ce, 07ce
11af, baac
44ee, 99bf
af1d, 322d
d08e, c2a3
7222, 8d68
1f32, 688f
5b49, cd71
84ef, 7554
9a45, f137
472b, 9e54
012c, 30ca
0b1e, 2202
3637, 0750
e71e, 1400
5179, 91e8
199c, 90b9
c07a, 62cb
c73b, 3b6e
8b46, 587f
8bc1, 5264
9452, 7dee
583f, a12a
6a25, 4ca7
0cc1, 65c0
1e1f, 0177
6882, 81f5
b415, f43c
c96e, 385d
4cc8, 9e3c
64f8, ec9b
f785, bb7f
9c4b, 518b
6abe, db57
a0a0, da76
244f, 35e5
d470, 577c
4405, 39e8
f44b, b1e0
9f63, 256b
dac9, 675c
3774, 61ae
e6ca, 3a95
00da, 8f11
5079, 0da8
9f2d, 8174
f9bd, a2ba
938b, dd1a
21a2, 0a02
1d1b, 5cee
c5c9, c4ad
92bf, 589a
5932, 23fb
264b, 2640
58c6, b03e
f363, f526
2a08, b2a7
3d03, f49a
850f, b2d7
6b57, 8c74
8e9b, 8437
eb62, 8395
aff4, 35b1
b3ff, 6b90
c4a2, 243c
fcdf, 90d9
9a3d, 56ef
2905, 800d
e411, 3d0b
9667, 8e38
3c76, 5477
22a0, 8720
f58a, b879
63b4, 00b3
5c62, d48b
fe4e, 9519
d06d, 8005
24b3, 5a98
af4c, 3a07
3a4b, a438
0562, 8d0a
0b62, 2d3a
f374, 95ba
2bad, 0fe8
4771, 0e63
e8af, 8e90
65ea, ad04
6b97, 261a
000e, e0ec
1ac0, 6ce8
91d9, 16ad
cf20, 8b70
919a, 49c9
3c24, e5c3
dcbd, 908c
7fad, 89ce
7959, 261c
92d9, 0b04
9c61, 91d1
e82f, 0e41
275f, b70d
4037, 73e7
3aa5, d890
dd22, 15e8
2bc0, 81b0
ee95, ebc2
e258, e227
c9c7, f00b
4723, 65ca
9f47, 685a
3966, e894
640e, 7072
7280, d202
ca76, e89f
1e72, 324c
f951, 28a5
6f39, 9fc0
778e, 54a1
6091, 9701
e692, 456d
41f3, a84d
001b, 47e0
4d4c, 784a
b245, 2ca6
9088, b6dd
4dd6, 1305
3ad3, eda0
9402, 98f9
ba7a, 3ab4
dc9c, 640d
8992, abf0
6799, e9c7
7c3e, b4d5
9008, 83e9
a09d, d96c
59d3, 177c
9d8d, 9fba
a57a, 4b55
b657, 70b4
f2a7, 88b2
bcab, 91f6
f9b3, 4412
cbc5, a83c
dbca, 18a6
0206, f002
dd9c, 1cf6
d068, a597
55be, 7ab8
a4fd, 3310
7086, b572
c004, 88f0
6b6d, 5ade
6c51, 25f3
8a6e, 0fdb
e8b7, 3808
d8af, 2633
c303, a94a
f054, 2e28
c7a0, afba
5862, 69aa
a111, 287e
f66e, 3e75
8670, 24de
4ec2, 1869
9740, 7710
8a08, b48b
6a69, a7f8
d509, 0639
298d, 7c4f
4f0f, 989b
44f9, e3ca
ae02, bd68
354c, 29de
e863, 6fcc
b7ba, d686
b53c, acc3
6b32, e8f1
00d3, f5f1
6680, 6e34
b881, 0421
e385, f701
b238, 4bd3
78dc, cfdd
8d99, fbf3
840f, a45c
c6e0, 5f00
9753, 78ca
58e2, 91ac
8453, 5553
0134, d889
16cb, 8a2d
3091, e27c
16c9, 31d1
6152, 13de
cad6, 2791
3acc, 2997
1a7e, 1b9c
c6c7, 8f91
26ff, 94ba
c8fc, 63c6
8436, aa93
cdf8, 91fa
8fa2, 02e8
c8b5, a5a3
f479, 8b21
e6e2, dab3
d4b0, 20a0
9f51, 2bed
30d7, 1749
6657, 5fe6
6092, 049e
67c0, 589b
417e, cc9d
1259, 1550
1509, 4245
4407, a6ab
216a, 6c1a
c890, 17f0
2ad9, 396c
6d98, 23bb
2cfe, 6044
87b2, 7293
d834, 23fc
1619, 3179
820e, 4834
d8f9, 7d98
1cfd, 57a4
92e7, fb4f
42e6, d784
1b71, b103
36f0, 1fbb
a4ae, 4dd7
8d8b, 5ac7
7560, 0f44
f405, 8f7c
3160, aa47
30c9, 38f6
2a75, a3a3
31bc, cb41
874b, 8ed3
bda4, 713f
6903, 345a
7b54, f838
1714, 6a0e
8b43, 7bae
6c9c, 714a
eae2, 9a98
9b90, e5cf
df56, 69ce
cdb7, 9508
6ee1, 2e3f
0699, bd56
ee07, 57b9
e07e, af93
57c9, 68f6
55af, c92c
dd25, 6b49
1e55, 73c6
1a32, e338
372c, 14fe
ed72, 4c85
56d6, d222
03e1, 8922
76a7, d5d7
7733, 4a00
7a23, 3c84
1e4c, 1793
00b4, 835c
6f4f, ff7f
d483, 95bc
0901, e683
bba0, 2e97
9acb, 94cb
8913, b2ce
1490, aa7b
0e8c, e7d4
6837, 0c00
d0e6, eca1
8b13, b31e
8093, 6157
ba8d, 7fc7
9338, 40dc
8116, 8a4d
b175, 162f
df20, 6f5b
6d21, f784
2bfa, f0c7
fda0, e3f6
6735, 622c
60b4, cf81
7566, 130e
2a4b, 66a2
6e58, 100f
780a, 6444
1351, af56
5ea1, eea0
92de, a53b
de03, 4dea
8417, 781a
e2f4, 37ba
415e, 8fc9
410a, a9f1
3866, 5f68
6366, 54f9
7da3, 459b
76e3, ce35
6695, b360
a63b, cd2e
a3bb, 80ee
0a1f, 0084
b35f, 4d24
c7b8, 8aef
79a8, 2d32
66f2, 5516
19f1, 37db
3f24, 1f33
45c2, 3332
1cd6, 5c30
b37e, 9860
c10d, ec08
be43, 261d
6842, 615f
4e2f, 21d9
4cb3, c276
e18a, b4f4
65ed, 4f1a
bd5b, fcb7
eee5, d050
0579, 5e47
7f07, 53c9
6b8f, 9785
52e0, b0e7
14d2, 6884
0af3, dc94
68d7, 4d51
fc9a, c09c
4ff1, 0d66
98e9, d01a
e2f5, e595
59ad, 1fec
c57c, a3bd
f466, ec2e
86df, 0022
0189, 014f
1c95, 9fc6
033e, 0d1b
40d6, c98d
67ab, ff47
075b, 2ffe
500a, 3a30
5f05, 50f6
23a6, 4dc6
b57c, 7185
1dc5, 45d3
e116, d969
7ef1, 40b6
a3ec, cea7
f53b, 4dfe
82f8, b03c
6e1d, 099f
43ae, 3a9f
0f94, 0a22
04cd, 214b
adcc, 4ea4
8803, 2c6f
ed42, 0d16
9e16, 7e8d
20ea, 3ef3
2145, c6af
5e5c, 988a
feb3, 65b8
7283, 8d04
d60f, c6e6
cdf0, e4fa
9d1e, 74b6
01d0, b16b
67f8, 4fd6
344d, 09b4
ebf8, ebf7
387c, 1372
d9d8, 52d0
b7f5, 21d3
ed90, df42
3ed9, 7bf0
74c7, b965
3fd6, 1d6d
561d, bae4
ff2b, abc2
4537, 592a
bf3d, 8fca
7d97, 9549
58d0, 08c0
c9b3, 4bb1
b1b2, e913
949c, 00c9
27a9, 2540
b1ae, 7adf
0bba, 9e0f
cddd, 1d38
b946, c8a1
c3dc, 278a
4b5b, abdb
6150, b696
d33b, 0455
302f, b133
76f4, 4ce3
ca2e, d256
73a5, fd3f
60ea, 138b
2e96, 849e
def7, 5ad8
dedf, c8f1
0062, 0e0f
cdcb, 1dd8
d850, 03bf
93a3, 1343
5213, d082
6d9b, be6a
3148, 970d
333c, f8d8
c6d3, db90
dcf3, 31a3
e518, 0d0f
7f07, 53c9
7c64, 5278
f9ce, ff13
72cd, c032
3f71, 83b4
7303, e576
541d, cc4e
ed7e, 057d
af14, c95e
9c60, bae3
7fb9, 52f8
a002, 3b01
e157, 1424
7ebb, 12d4
5103, bf7e
8a3e, bee4
5594, dd97
c931, a65e
b398, 66c1
6add, cdde
b6dc, 0db5
1c34, 4cda
9382, f997
29ce, 3b72
833c, 9b3a
ad7b, 8869
b3fe, 585b
b4ac, 3393
276d, 07e3
e2a0, 4624
ebb9, 65d3
62c8, 20eb
147f, 9147
de99, d869
8437, 8e9b
2a1c, e83f
0ad6, 9e66
ef12, 6484
58cb, c90d
4ec5, e470
417e, cc9d
e0b5, df40
7dc9, c434
7939, 560f
ecd7, b544
1c34, 4cda
f174, d2db
03c2, 08cd
2d36, 03d0
3d84, 328a
0b80, e7ea
35c7, fc06
ce16, 5399
845d, 0102
8e2f, d55b
fc89, c939
60e6, ac3a
022d, 5d96
3ae6, 84d4
5e21, 2a8f
18ce, 7969
a445, 06a1
6c3a, b1e1
fde6, 5356
aef9, 7632
17aa, 451f
390b, ea85
1086, 7a6f
40f4, bd73
8632, ee29
430a, 8778
1312, 904e
5f4b, 63fd
f57b, 3e79
8dff, 1020
62fd, e138
bb60, a7db
0b31, 2d45
0d4c, 21c5
2ca6, b245
590d, 0c38
ff50, e8ba
127a, 246b
1bce, 89d9
0f04, 006e
c767, 946f
a8c4, 4859
abc5, 40f6
59da, 4156
3a17, 1bfb
75fb, 81d0
f81f, 6a71
93d7, e698
18cc, 0f25
f210, 835a
d3d8, 895d
28fa, f821
47f1, 8cd0
0986, 81a7
5c08, da34
be1a, 2734
93d9, 41d2
2c08, 6a34
f029, 72f5
09ef, e500
32aa, e5d7
138f, c413
3c7b, 8fc0
bff1, 0533
dcf1, 2f15
281f, 3919
8014, dd6a
05fe, e3ba
7b86, 8f24
10f2, 1b95
dad6, 6a93
272f, 90b2
5c37, 243f
fcbf, 0567
a9fc, ede4
9ad1, 081b
1bf2, c0f5
35a9, 2c4a
f6ae, 8ad2
2211, e8d7
5678, d3a4
fe07, c6f0
bc1a, 6b35
8a37, 5ccd
f85e, 8497
31b8, e5d3
9948, eaf5
f393, a570
2fbf, 57c3
a7f1, 6bd5
a119, 3de2
e0c1, 7eb1
92b4, 50df
0a06, 6bb9
6a95, 97cf
e0ed, 6810
afe1, 485e
bc74, 0032
35e1, a132
196f, 2172
ed3f, 6967
b3cf, ce90
3180, e971
1382, d032
aecf, 40d9
c13f, e440
0d1d, 0ea6
3bea, a5ef
2af5, c10c
4f34, c163
3337, 52b1
3df8, d06c
6f1c, 1f3a
b675, 95df
0646, fd09
1b1c, a0e1
5ea6, 3610
f03e, 32b4
ecd3, 3ea9
4df7, aae4
225a, 6566
5c7f, bc6f
44b8, c2eb
2d5f, d51e
108d, 0276
9e5a, b0b6
a171, 57a9
fa32, fd6f
76e9, ea59
4e23, 0756
ff41, 5f36
fbb1, 08d1
68d4, 13aa
ea40, b333
c3ca, 5b05
d0f6, de5e
baaa, 4ae0
7f20, ca47
4627, 5d52
f89f, 74e2
2128, 6e93
64a8, 828c
144d, ac46
5025, 72dd
8840, 4684
bb80, 82f7
d19f, 741c
1358, 0469
5a40, f8bd
aa4b, 3ea8
0c62, a19f
231b, 2fc3
1330, ceb0
968f, b883
0607, fe78
c157, 471a
f25f, 45af
6504, 0ef6
2a92, 64c6
24e5, 98a1
4362, 2482
c109, 1060
22f6, 060e
17bc, 7f2e
778c, 7f90
1309, db5e
1f9a, 6900
0c74, f316
c90c, bc06
4d8a, f7ff
6ab0, 7cfd
8656, 3635
2d05, 27cb
bd27, 124d
1347, 040d
f4e4, 9d1a
5e9d, 8f7a
fa82, 22f3
1346, b870
116c, c9e9
4476, 4938
fabf, 25fe
d74b, d8aa
d0dd, ac48
e8da, 3a6d
fcd0, 3065
56b0, de33
ac0c, 1d31
dfbe, 71fe
cbef, e24f
016d, 761d
f665, 1256
f599, 522d
7548, 0dde
94d1, ee4c
030f, 86b4
123b, 838a
9d73, 27f3
5301, f74c
f361, b521
1730, f0b4
92dd, 5e26
ab0c, 190e
3700, e7b0
5454, 5c69
f426, c462
7eef, 6465
5146, d1c4
20a7, 6c60
cbf0, 644b
3ff6, 3fc6
dd9a, 20fc
66e5, bf4e
1e94, 2a29
e920, e92b
dc49, 2ccc
7475, f192
873e, 97d6
5a82, 5171
cf00, acf6
a4dc, aa95
ed1f, 268b
7891, 1c56
8c63, 5186
4971, 5b81
fff4, d21c
68cb, 0a09
ac0d, 3f27
bc66, 1668
6d26, b529
2939, 7052
8111, 9dd8
fd8a, 4c07
3560, f375
5ecc, d089
6bdd, bb39
1ff4, 302a
3375, 9e0b
385c, b876
9b39, 9365
3465, b4b5
30ab, d540
0a9b, d9a2
3a41, 8fb3
ea5d, 4280
aeda, 8e0e
6e91, 2b72
1f88, 0b65
a6ea, 4637
de29, 700f
89fd, ff74
1410, 4115
8b64, ff01
e97e, a789
334d, e415
03ee, 7ea4
be96, baa5
1b19, c721
e172, 8359
2f5e, bd0f
0bc1, e75f
c9cb, 1910
b364, 9fd2
8334, 8444
60dc, 62bd
e51b, 9e38
4112, aff6
c35a, a3c4
883d, 9f37
d1b2, 9d87
4e9c, d41a
7f7d, 8f63
5f52, ea1f
4cb0, 5911
d59d, d5e8
65fe, 541e
28e1, ddf9
b383, b335
8f85, bc43
5085, cc02
81e1, bc46
c018, 8831
e80a, e496
600e, ea2d
38ce, 59e5
4aad, 11a6
02c2, 3c93
37ae, b25c
c7ca, 68ea
f8d8, 333c
9b52, 0cbf
0f1e, f926
4d55, e13e
2e91, d7ea
7940, 7715
c23a, 99fe
28e8, 608c
c8d2, 61af
bba4, b666
5c62, d48b
70f8, e688
691e, 2dfa
f2dd, af0c
2684, 5e94
c260, 575a
4fc3, 080f
f26e, d680
7dcf, b018
bd2a, 0264
b8b4, ff8f
46e4, 70fe
09a0, 4477
6c6a, 0f55
f259, 7156
b65b, 8218
b371, e280
073d, 0f39
6c84, 3223
0ece, b8d3
9770, 799b
06e0, f276
5696, 3943
80b5, fec3
f9ad, 7943
0475, e940
8156, 12f1
bdb9, 6e37
d630, 1c37
455f, 9f66
379c, d9aa
5a9f, fb14
f6ea, 11c7
00dc, c6de
7525, ae2e
ea32, c7ba
45a7, 1942
0ca8, 97c7
5949, 4962
20d5, 2dbb
1d44, 1f00
7e7f, 447f
8073, 73bb
33d1, 6209
dd5e, 1027
bb75, dc91
f0da, 2039
e41c, 893d
76bb, 29e7
dccb, f652
6739, 371b
6218, 8b2f
e9a6, 1f0e
9f49, 89aa
972c, 7bbd
f1c3, dce8
07aa, ea07
43ae, 3a9f
a0aa, a418
e133, d8cd
12b8, a27c
3d48, d07f
9465, abef
ff05, 8c1a
2466, 186f
76bd, 2fba
dab0, dd64
84e7, 7a4b
246b, 127a
7355, 28f8
992b, 7304
3f64, f985
9113, 7c38
3714, bf5d
7c5c, 15d0
a2fd, 1e71
39a7, eaf3
69ee, c5b9
c74b, 9afc
2a15, 504d
3633, 7b97
c21e, 3eb8
e5e6, 6bec
b4dc, 23a3
da3b, 0d01
c252, 1225
be49, 0f9b
32bd, a2e6
e490, 0915
0ba9, 286e
c3a6, d121
b218, b0ab
0905, 5950
6295, d592
cda8, b1a6
0680, 039b
28f1, bdd5
da9d, 6017
104b, 0b59
7d8b, 8a71
a66e, d05b
f80f, 716a
e709, 2fea
a97c, bc17
9007, 12ce
215b, 55ff
89b1, 4b6d
479c, 9181
4229, 518a
e0ac, f427
9315, 2114
1f5c, 5571
9cfd, d215
964c, 7578
dd48, 609a
052d, 4dfd
8295, b925
730b, 32c6
6152, 13de
3fa0, ba85
c03e, 1c21
4445, 1140
9646, efe8
2aa8, ea22
b8f8, bf00
19c1, 6dbc
8137, b641
73f3, 55c5
8a35, 849c
3190, 6a8f
3108, b050
9223, 8066
4958, af57
915c, 4e82
ff25, 72a1
1a34, ca34
4dda, d668
8d41, 31cd
a7da, cc6f
e647, 5f65
2634, a2fe
6726, 1b30
1812, 0cd5
bd10, 7618
4fb5, 4011
f2e8, bf1e
6ef5, 4427
8c3c, 0c4d
c4f3, 2e23
09a4, 91d6
2ae4, f349
f8fa, c75b
e7da, 8874
9e51, 3fd0
7a72, 9470
d2a7, 30c8
1eff, 46e0
6952, 6f22
d17a, b6ce
6da5, a4a0
4ba0, df6c
1f49, a8fa
7157, 9cb9
6e56, 47ba
5cb0, 9d55
1f02, 34cd
fe38, 4b6c
6384, 5e84
c9b4, 3b8d
e747, 20a5
ab5b, 9c7a
2234, 6d34
8e96, 83fd
1344, 61a0
a754, 4a58
ca54, 7a27
e4fa, cdf0
429f, a2f9
1288, c287
c2cd, b23d
dac5, a60d
3b81, 7cd4
7582, ed68
f2a2, 2f1e
dad3, c302
264c, 3ce8
ec83, b125
2110, 6f9b
21be, cf73
576e, 4687
6878, 2887
d19d, e4e6
8411, 3206
4953, 4034
5bf8, 6cb8
f251, 8e4f
3de3, 2f08
90f5, d50c
4024, ccf6
dcb6, 9285
79aa, 6d58
cdd3, 8055
907b, 8345
005d, 6d54
7de4, acca
cedd, 8998
094e, e250
548a, 1ac4
be4e, ba34
32b6, e9ef
bff5, 7431
e984, 3376
801b, ccf0
9083, 1d6a
16b9, 2d7e
fe6a, d0da
386b, 152d
0815, 86d6
520a, 5d09
6ac5, 46f5
0716, ba7f
3ea4, c3ef
4513, 9894
9d74, 306f
1039, 3a29
5cd3, 61c3
f7a2, 2ba9
2f0f, 3216
6b37, 4ce7
ae8b, 3a44
47d6, 2b15
d47c, 8848
b1f7, bc0d
89fe, 50b2
318b, 5c12
e340, b3a3
eec3, eece
30b2, 52ee
dcba, d3fa
099e, dda6
2ba7, 6074
a791, e932
b637, 7c76
2a6b, afc0
3e52, ee4a
4107, 50cf
76ef, 087e
c1c3, acae
7a6f, 1086
4c8d, aef1
2665, 0f54
b10a, 0a75
59c5, a183
9a03, d3a7
2df2, 857b
2329, 0a95
1d1b, 5cee
6f21, ead9
d872, 2882
7597, ba31
97b2, 89e0
cb7c, c73d
e53e, a30f
76ae, d2b9
b98f, 6084
421a, ae06
7606, 8bf6
0c7f, 2803
ebda, e022
3876, 02e9
2aa2, 379b
66e2, bd5f
432b, 1ab7
e959, ef29
6073, 651b
84f3, 1ac2
8fa5, b157
b5d1, 4e36
3192, 0937
8c5a, d1cc
9ce8, 14dd
5b75, 8180
dca8, b8b2
a35e, 78a7
d180, ae09
68ab, 8852
0185, 7f86
3069, 78a4
d5b4, c8af
6bfa, 217e
363b, e53f
2caf, 459a
9940, 77a2
133d, 6853
931c, 073b
8084, 1d13
d248, 8407
7090, 3de7
b7fe, b9dc
257e, af55
e2c5, dbcb
59e8, fc59
5e04, da52
c075, 45a3
2d89, 765e
f930, 3b30
f3be, 001d
6deb, 4c69
c9ce, 471d
ffe7, 02fd
25b0, 4186
9dc0, 01b9
64ae, 4b8f
d63b, d02e
92d8, d07a
e4a9, 642d
68c4, 439d
d988, cd4f
7f1c, 695e
5d10, bea0
3fd1, d767
3ead, 690d
6b32, e8f1
d328, 5a23
e6fe, 575d
8484, a848
f1df, 4f08
9977, 6771
1a72, cab9
93df, 6635
c55b, ad4c
7441, 7c1c
9d2e, 36fd
9bf5, 5f20
4d69, 335b
b348, 5dc8
dd48, 609a
d1bd, d761
7460, ea9e
47a2, f109
ce75, ecc1
dc0e, 870c
8ef2, d99b
587e, d1ec
ff28, 4a5d
9d4c, dc20
81a6, 6e17
824e, c6e9
cf75, c982
fb66, 86c0
f7bb, c7bb
2f19, bee1
6eb7, b6f8
8bd7, db76
00c0, 89b4
8cce, e3c9
56d5, 4267
27ea, decf
501b, cb8f
ad99, caf1
14ce, 141e
d0a0, 0435
457d, b16a
4e38, 7ee4
c378, 9e28
aec7, 7a78
e3bf, 2d5a
4c8b, 06eb
6e05, f79a
f722, 0866
3a94, 1b21
2b5c, c78d
8891, 965b
26cf, b6ca
d45f, 4fc4
6f45, e43e
81b1, 8db3
5790, 6d0b
5f3c, dd4f
6482, db14
405b, 5863
2438, e86c
baa5, be96
a6f8, 44ea
9405, b52e
e978, 3b56
3354, 7917
e4f4, 02d5
1840, 24eb
6462, 4d45
8050, 1e57
390c, 39ef
6325, ce9d
a0af, 372e
5b98, 9f59
5ff4, cd9b
957c, a14f
18d6, 4250
3aa2, 02d6
2cb7, d851
6e1b, 2d13
f2d4, 580c
2a99, a8aa
52bd, 63dd
c57e, daf7
2d86, 5474
e1ba, 6b74
0a11, 1063
55d7, 063b
5330, 8629
2e39, edee
4c57, a1d4
1c6f, d8a6
1b1b, 69ec
7164, b8c9
42a8, df00
d184, f909
b275, d011
f611, 8e4a
4f56, f0cc
9701, 6091
68a5, da13
59df, cb6d
6944, a47e
f52e, 9e88
c924, b8b9
87f7, 890b
3ea0, c1a5
762b, 73f6
eeb1, 7f60
ade4, 5f55
daee, 20cb
47ce, 67ce
a6ef, 77f1
1b93, d3a5
8193, 9c7d
f2ff, 7183
bfdf, 3c99
ef79, 112f
3e2f, b63f
fbf3, 8d99
48be, 10ca
99f8, e5db
76a0, a1e0
dc00, 0876
b948, c2a2
005f, 80f1
71f3, 1b67
9e49, ed0f
6d7e, 86ef
1f13, 48ea
4418, 9b42
7066, 6102
5f02, 65ee
794e, 8fa3
6104, 952b
7d1b, fe3d
fc4c, a5cf
bba3, b7f2
9397, 6b50
05c9, 6b6b
8072, 118e
08d1, fbb1
e452, e3dc
a816, 0c65
3c24, e5c3
a3ca, 1b00
fd6d, 7333
a0ba, 089b
c5f7, 1eed
5af4, ba21
7230, 59e0
f521, 4f04
5032, 29b0
3201, ba9a
9f15, d69c
74a7, d79c
3203, 9c1a
b033, 04c1
432a, f641
3378, de97
5245, d3b8
ff75, b277
570d, 5af6
06f4, ba8e
204e, 9d95
f4a0, f4ab
fa74, afc5
a2b7, d5ae
f790, b8bc
c302, dad3
4b8f, 64ae
63b0, ff22
73c6, 1e55
d838, 2f5a
d68a, d4c3
1df6, cc1e
4662, 7b75
4787, a777
77d1, 41c0
699a, 30ec
0179, d5fe
4404, 4d37
e2da, c2ac
694e, b451
6a80, 277f
d086, 4148
1340, 9034
46b6, e367
a5f2, 2af4
a647, 0a0b
e7fd, b94c
b2a5, 0718
e14d, 574c
f4c9, 4854
882d, 0db0
5df2, d80f
4026, 4588
373c, 35a4
1b4c, 98b1
6c2c, c77c
084f, 6718
afdc, 3093
e7b8, 37b8
9bec, 259b
7961, 7831
a32d, 636e
6243, 1e75
9d32, dd13
6946, 92ee
8304, 8960
99ca, 5927
cbcc, 8fd6
2fde, e1e3
1b62, def5
27fc, be85
1d3e, 0dee
fa85, 2e79
3d1e, f80b
6670, f51a
182a, d390
6954, 7a2b
7305, 95cf
162b, 9fa1
5f50, 4183
351f, ec18
cb8a, d51b
a6b7, 2a63
2df4, 720a
8138, 18bf
26d3, d810
895b, 942f
ebb4, b603
fa38, 829e
31ac, 3060
00eb, 7ad5
ba41, 0a4f
f59b, e9b1
6282, 184f
a9ac, 5fbc
6ab2, 63b3
ebf0, ebfb
fb4d, 9b5e
4777, 4877
7d74, cc07
a69d, 2e93
23dd, e98a
6346, dea6
e46d, e422
9a76, 5255
2e88, ca04
1e62, 5b8a
0b4c, 2434
a32a, 10ba
06e2, f38d
8aff, 72c9
8bb9, 964f
2565, 7f0d
081c, f58d
6b9f, db9f
e4bb, 1379
291a, bf51
1ff4, 302a
c43f, 2e36
6670, f51a
1730, f0b4
c3a3, f343
64b7, 1205
414f, 711c
8e34, 7ee5
fe00, 709d
4b5b, abdb
0c93, 10f3
bbf5, 8cbe
d79f, 58cc
810f, b3bf
121c, 3d8c
7d74, cc07
52fa, 6cc3
092e, b091
c5f4, 528f
c7e7, beb1
4d5d, b969
da29, 2406
7c55, 48b1
6702, 4abc
af9d, 8e71
527e, f6b1
76e8, 431b
585c, 4002
7803, 45cc
6a64, 9cff
030a, 9b8e
7928, bb87
664b, d3c7
7be7, 7840
2e45, 4f4f
7f7a, a8a3
fa3e, 7d69
7edb, fb54
8fab, ad4e
a019, 8e76
84fa, a151
ab30, fa0c
126a, f642
59d9, bd78
d4f9, bf5c
f425, 1069
9825, 2950
46bb, 3cdd
9604, f1d2
e446, 9f8b
