ed22, 5652
2883, 8823
9049, 4de5
0f21, 8973
2871, 5006
034f, b2f9
385c, 52c5
18f4, d093
4fa5, 2160
5de5, 5055
c75f, 8c10
5a5c, b151
06a3, 2dce
294d, 34ab
9cd0, 32c7
d6b9, 4d5b
9d28, 94f9
41a4, 1a1a
aee1, 61e1
6ed1, 0c3b
6939, 123f
998a, ad90
937e, 4382
0ca0, 24ab
f0a9, 02b3
7d63, 7db2
43e3, 4fcf
6d12, 576a
c9b3, c60d
dbea, 772a
0fa5, 15e4
47d5, 3103
c739, db3f
251a, 6ec7
2410, 9fbf
4398, fca9
1656, 17c4
35ba, 9365
b762, 74c1
3ad4, bab8
563a, f15f
308b, e592
8e30, c0b0
fcc2, 7c38
3f4e, 38c6
a5af, 966b
bf00, f1de
2014, 6927
8dbd, 17ba
e492, 96bc
2c1a, 86e6
249e, cfc6
64dc, ceea
2507, 2d57
05b9, 1f05
21ea, 372f
0485, 8ab5
c556, a09c
8f84, c6f4
7a13, e087
2ba9, 3094
608b, 88a6
33d8, 27f8
9d9b, 01b5
c4c6, 44c6
6d85, a07a
348c, 7b0e
9123, a1e2
4ceb, 973b
f05f, bb2d
626d, d244
370c, c273
ab87, 8c8d
c928, 4758
a299, b310
1d4d, 1090
45bf, c64b
8bcf, 4d32
3c5c, c35c
54e0, 6b2f
a6b0, 4d87
c647, 5c04
0fd3, 5fed
1f51, 053c
4d80, bf23
ef0e, 489c
b068, dafc
a757, 1f58
a5c8, 1bc9
1805, c16e
723d, 129c
cacb, 1a42
87cb, b5a8
6baa, 401c
0884, 671f
73f1, 8d8c
0cb3, 2a0d
7b2a, 58ba
8f5a, e1b1
cbd1, 5f96
3c03, 2802
afec, d21d
25a0, 0fd9
bc31, 31e9
17e0, 71e0
f512, 7e6c
7878, 51c1
7b25, b09e
d7d7, 7dd7
fe28, a054
c8ea, e24e
2f1e, b7c6
2013, 0b43
8f19, cdea
0699, 8d92
4414, 3726
6489, 33dd
2c7f, 8beb
7d2d, c719
851d, c57d
f2d6, a5b6
480d, da28
7aa9, 4000
5bfe, 6d22
e3f5, fc8c
7722, dc9e
3611, 1313
aa80, 1c72
2076, b02a
14f6, d5c9
7c8b, 2a20
8a16, 9c4e
f916, 78a6
d9bf, 264e
095a, 9f30
7cea, 2617
2583, 2715
373b, 2ceb
e2a0, cb9a
9a06, 389c
a26a, feb4
3a0c, c30a
53db, b5d3
d819, b77a
a582, fe13
4a80, bab3
9712, 7498
4087, 7c7d
90d9, 4dd9
5885, b7f5
52f5, 5eee
7428, 0e57
89ad, 7716
9fc4, f741
2751, 257e
8931, 97e1
d1de, 3ce6
f050, 2b37
c383, edb1
a1ac, 1a1c
0793, 885e
4463, af02
4829, f46f
1f72, 1992
7bc1, 7421
fadf, a859
0a66, b40b
3b84, 77c5
dd98, fe9d
5efe, 8c96
6c83, 816d
b1df, 67da
1f05, 05b9
a1c3, 6855
212d, 73b6
3413, c1d6
9bda, 4361
1163, c802
1703, 88de
5149, e744
c8c9, 8d26
46fe, 0a70
3d69, f32a
9c79, f1c4
6fbe, cffa
5393, 2d7d
b2b1, fbfd
747d, 12ff
9239, aeef
0922, 4a2c
71c7, ba5d
ea7d, fab9
245d, bbe4
cc95, d152
1b7d, 853f
e0c6, 38d1
0db6, 6066
0374, 73a4
74f9, 9912
a9a7, c02e
f64f, 7ecf
63d8, aae2
2aad, 0287
46bb, 43ff
59e5, e4e5
2147, a90d
44e2, 1fcc
d848, bca7
5204, fede
40d7, 378d
9002, 46be
179e, 07ee
9539, 4e3f
0c16, 2c45
0ff4, 4695
5857, f2ff
5974, a4d2
5668, a93f
9a5e, 7f77
df57, 5014
3849, 3c9a
99e3, 63d7
5788, e60d
5779, e174
08c0, d711
a101, d12e
e11d, 9107
a8b7, c959
00f0, 510a
7ea3, 067f
2c2b, ae16
e842, 0c7b
22ad, db85
acb4, ee8c
4867, 5d68
57e5, c583
c851, c8c8
b4c3, 54cd
036a, 840f
3425, 2a23
d7b1, 0b17
504c, 3707
191a, d1af
25d0, da19
7fa4, 188d
28c7, 8235
ee1b, 5adc
5ad9, b50b
0bfc, 68fd
8e7e, ee38
c071, 1428
352d, 2921
ab39, 4d24
17d2, 7cb2
eec9, ba3a
1c7e, b22f
cf9c, 1881
3d4c, c64e
e59c, 42fd
47dd, 577d
dbda, f4b6
ac2d, d60a
80b5, 2987
7e37, 67d6
a0ff, 737a
0a61, e90f
e527, 3008
3a15, 0000
320a, e627
d9d8, 15ef
5492, 7127
49e2, 9dc5
3ea7, 3a69
c6d9, 7657
7958, b4a0
2c2c, 0843
d77e, f73e
032c, 8ddb
0058, d621
b486, 0af3
17ef, 603f
6913, 1964
1d80, 708d
948c, 4a87
9dde, e779
ada6, 4082
66f5, 4547
afbb, a73b
8f18, 61d5
3e3b, b7b9
9784, adb4
89ef, 3666
5002, b022
77ef, 417c
a2f6, 6bfc
dd26, 9b24
603f, 17ef
92ed, c022
a94a, f354
919c, f484
cf78, d70e
762a, 9f97
75fd, 07bd
c3a7, 4da8
d9af, 65e2
c445, e3c2
aee9, f5e9
aae4, c1e1
1f41, f8b4
e319, 5964
d625, 76ef
b437, 58ce
02eb, 0fa7
db18, 6d7c
bf26, c3fb
c2f3, 628c
bffe, c0d1
fa8f, 4eea
5a98, e4ac
2f65, 8acc
88be, 3479
3b06, 72a9
88d8, cb6d
5894, b605
c4e4, 393b
0c39, 4e47
94df, a75f
2194, e14f
dca5, 6243
4363, a030
1da8, 2401
56ae, 690f
51f1, a2de
a651, f028
a721, 6521
d7b3, 4891
2a68, b653
7664, 1b09
812e, 6f63
8fa6, 77cd
e710, ccf3
1f38, 17d7
0267, 4e92
1173, b3ea
ca58, 1107
1fe0, ddbc
65e4, dd8d
dd72, a55b
40d1, 5701
955f, 4324
ab43, 9936
79ca, f9ac
5f57, 24e8
84b1, 9196
1f88, 3f0e
7576, 1906
d773, 4753
fd33, 8b84
5133, 1b92
9dc0, 37c2
ed1f, d6a9
5280, 1da9
05ed, c93c
068f, 3e14
d9db, 6b57
afaa, fe24
073b, dceb
8561, c5b1
6d03, dbd2
25b8, 4750
1043, 208a
41b4, b95b
51d1, 543a
2389, eec4
0170, e8a5
b7ec, 5fec
8e23, c170
cd66, 1cb8
de48, dea5
7a43, 8416
2b54, 6f9c
6e5f, a818
e95e, 59ee
d2ac, 3ba1
d209, 446c
dc33, 4cc3
877c, 855c
3e99, 5c71
8374, 4b9f
dcbd, 4a8e
bb9e, c7aa
ff26, c0d8
f231, d851
818f, c1a8
cadb, 8fd6
8159, 0f20
ca9f, ebb1
9c97, 433a
d0e4, 7754
6622, b283
4728, c958
202e, 3be5
2f7b, f4d1
e61c, 7a85
2d81, 5e5e
1029, e901
ae82, 8906
9140, 8a40
473b, afb0
f133, 9ce5
b798, 7d0a
3da0, 2211
4514, 5c96
a21d, 4533
735e, c470
2ca4, b0b3
32e1, 9f5c
f1da, 5dcf
e6fe, ac94
047a, 9025
e376, 702e
1e4e, d3aa
b6ae, d46f
de00, b49a
eb11, 12aa
bf31, ddcb
207c, 7f2a
1f7f, f8aa
6452, addd
9ca5, c908
8fdd, c561
d2e9, d965
d0bf, 3269
d986, 5904
eeb2, 5203
702d, 95b1
158d, 75cd
746e, b475
2619, 916a
03a9, bec8
2510, 8ca4
fe58, 4054
0d78, fefb
335f, 2324
0a2b, 8ef0
f3df, a56f
19b4, 6504
5225, 20b0
e0e2, 5b23
6fcf, 13be
0e15, 2310
5dd2, 0aba
7e52, 787e
165f, 6be5
6584, 4d6c
9ba7, ce30
c89f, dda3
3f8d, 770a
89aa, 47f3
2105, 9380
8f96, 2d0b
a873, 0833
45a1, b075
f7ad, 3275
f56b, 5971
98da, 7c73
65af, 8342
5217, 87a0
597b, fa61
a27c, 7263
1b12, c156
e409, 8d0c
73c6, c082
9552, 432e
0d84, d7a6
e4ab, 396a
3399, 7fd8
07d2, 84cc
10d1, bfa2
f821, 1e30
9de3, f094
997e, 676d
d6d8, 7768
98ae, 891e
b8b3, 4be7
5790, 9f08
44d4, a968
527f, 2a46
7259, 839e
1875, 489b
da52, 3cb0
106d, f9d9
0d09, 0dd4
46cc, 65a5
d769, b8ba
be90, 6ce2
73d5, fd2e
6148, c651
b488, c9b6
3e03, cc6b
1f8c, 2f6e
a134, 1fd9
ff88, 9207
255f, 9270
ef99, ae7b
5c3c, 23a3
1e58, 2238
c59c, 125d
79ac, 58e3
45f8, cb9f
e9b8, 083a
2f94, 39aa
406b, a018
4495, 2106
2565, 9823
d2e3, b67c
b7b5, 0e08
15ad, 8888
f9f7, 80a8
80c0, 0f68
3648, 23c3
303f, c1d1
a745, 0eef
c735, e249
6bcf, aba2
05f2, 183c
4a0c, e1f6
45d2, 3e08
118f, a917
602e, 7dff
863d, 2cc4
63f3, 6c92
1286, 7516
34c3, c800
a7de, f70e
d3c1, 1592
6039, a769
878f, cc74
9d33, 7d79
2916, af6c
bd65, db6e
591e, b7cd
0494, de55
6db6, dc8b
7b23, 368e
0a54, bab1
fe55, 9762
98ee, 3893
8c87, 7942
6e0f, e62f
e19e, 81d6
8505, 82c9
1d85, a3b4
17fd, 111c
dd8e, e4b1
0dbc, 832d
c303, 6f19
fb06, 9b76
cdbe, e487
11c9, 8c97
0b48, 6b8a
eb47, c8e2
622a, 3e72
9e88, 7eb2
0173, dc15
f40a, 1077
6666, d1c1
108f, 9d9a
520a, 485d
5ea6, 0d4d
af5e, f6e7
f5f8, 7098
c304, dab4
f9a4, a9f4
f4d9, 485f
0489, 5eb0
7dec, 8bda
d695, a397
720c, c736
9e6a, 851b
0301, f44f
beba, 76db
f5a3, 4b5c
cf09, afb8
dc2d, 075b
24d3, 4bf0
10f2, 21e3
e6fc, 85f0
d6f4, c69e
8f83, 69e8
5823, 7217
e55d, e451
c0d0, 4724
53e6, e55b
bba5, 8aca
d77a, b814
3517, 9160
1ac7, ae10
f2d2, 6bda
c26a, 1bee
f4f8, 8269
891d, 6b70
6415, ea10
a65a, 3f91
6dc2, 54dc
5514, 54d4
4570, 4ea3
358a, 25cf
18bf, f468
ace0, f8e0
2895, 2ac3
88c9, f3b7
609b, 5b4e
11d0, dd0d
946f, 482f
a464, e039
c61d, 8d80
7c9d, 12f9
76aa, 6b25
c87f, 4988
8501, cfd6
9670, 5399
b3fd, 569d
0a51, 143f
b0bd, 7860
44ae, e80b
3a26, 486b
8553, 8573
c4ec, d3ec
166d, a15f
75e7, 89a8
7d11, 9eca
76bc, 1b1d
17d1, bafd
9ca4, 8264
3375, 355c
a94e, f087
1285, 01dd
5814, a06f
a4bb, 92be
4fe9, ebd7
e61a, 159b
b07f, 5ec9
8c2a, 91ba
74a9, 2c0d
df52, cc13
da7c, a2df
8e9a, 9176
acc8, 55a2
26e1, 5658
28e6, 59de
11bb, 07c8
22e0, e336
c04c, 424c
b602, dd02
e2cd, 65c3
30ce, d04e
e661, 63ea
160e, cdd5
2a84, 3fc4
43ba, d4c1
749d, f196
1202, 4ec1
9dea, 2938
77bd, 11b0
fb6f, a669
eaf9, f673
6779, d1c4
2ee1, fc6d
a4c2, be4e
7e1e, 01e3
55f8, b980
517e, 2c68
136c, 12b8
7250, d9f7
fa17, af17
fa75, 545b
a10d, 349e
3bb9, 2ad2
3d30, 6eeb
c179, 49c8
56ca, bda4
d08f, 0641
95d4, 4ed9
71c2, 47bf
dad7, e6a9
3e20, eaf7
ff91, 5596
9722, 71db
b070, 1961
a7b2, 4545
7a5d, 3d36
5711, e687
b022, 5002
6ed7, ff7a
bf59, 6c4b
a69c, e636
1cb3, a962
a80d, 20d8
0239, a608
5164, b13a
5012, 29d8
6647, bcd1
2b12, 84ca
c9b8, fa40
73c7, 23a5
3283, e956
1643, 6341
579c, 52bc
d840, 4fe0
3e8d, 3ab8
9b1f, 31b9
c787, b96e
23e9, 32e9
22fb, b82f
b4c2, e8f0
1b0c, 7068
cb32, abcf
6ff0, 8fb9
72ee, 449b
5786, 48d6
3dd0, ce49
fa85, 26f7
29b7, 0fb9
9f7a, ae70
4b6c, 2f5a
faa4, 5f6b
c221, 7818
ee4d, 657e
9e21, 3f4c
332f, 2354
29a9, b037
6e59, dd80
5f22, f3a5
9d3c, e435
0c03, 120d
d581, 15fe
1b28, 163c
dd28, 3400
5402, b1ed
3efd, d129
6110, e56e
b78e, b187
85af, 206b
5bf3, 0be5
424e, 1266
aa33, 93cb
9fe2, 5f23
7941, 08dd
f8eb, 4c30
83d9, eb03
2cf8, 5ca1
40a3, 7db1
66bb, 088d
5547, d16c
a88d, 3806
a469, c1d8
4407, cc0f
6645, ed15
2381, 300b
bbac, 52a1
4c00, 3c28
13d1, c508
3e5e, 3171
43bd, 3487
dfdb, 0d38
d819, b77a
6b73, a998
0e13, 0a6a
3a17, 2f17
1111, cf9e
787c, ce57
6286, e753
5794, 5d22
b554, 1e21
9283, c906
0543, 8946
9aeb, e9ab
3892, d875
db01, 1d87
3e86, 7b32
c0ca, 52dd
82c3, ea34
45c3, b971
e824, 5a58
de74, 7575
b3ae, c1c2
7d21, 0898
0665, 6b6e
00dc, 42cf
9a3c, b348
6a21, c3f4
01dd, 1285
dd43, cc4a
3d37, 5be8
7f0b, 7d4b
af99, a444
128e, 38bc
b1c7, 0c1c
ee12, a440
b7b1, 8f32
f807, 0b99
a289, 9d48
38d4, ab1a
564c, f41d
18c6, 26d6
83ea, cb07
be4e, a4c2
290a, f956
fbc2, a6c5
0725, 8135
c223, a006
b340, 5d40
1493, b1f2
ab16, 208c
2107, 9d61
1793, d82e
9324, 4f4a
926f, 1e1b
2593, 0b2a
243a, 5161
78c9, 4b04
89dc, 95a4
3f4c, 9e21
53a4, 2611
2fdb, 9b37
2082, 0092
09e8, 87c0
3d6d, 87ef
3db3, 61fa
f6df, cdeb
8881, 8221
8718, 1521
dba7, fea0
fe31, 07d9
5b20, f3ca
feb4, a26a
3fa9, a47a
0a8e, 1fda
fda9, 73cf
31f1, 9d20
153e, ff8e
3285, f74d
7559, d999
551a, 24d4
6f9b, 7fbf
3026, ff04
d132, f8c2
ed2d, ff69
3eb3, ea82
11c6, caad
4267, 581a
490f, 91e9
f9b1, 3b3b
c0fd, 80ad
5b4f, d70c
39e2, 68eb
e5b9, 53d7
0eb2, 0479
b0d2, 66b2
e55a, 6a00
f033, 7303
3849, 3c9a
c827, 492f
1ef0, b8b6
69e6, 8ee8
a528, ea31
40dc, 292a
0129, 8629
c8d9, 47e8
ccad, 6800
4f51, 7c7c
e3c4, 5389
dfa4, 0b9c
f1cd, 9aa3
fbb6, f2fa
aac2, e858
74ce, f44e
c2fc, 1526
f857, 8a6a
969c, 71ba
415a, b66c
a188, 1a99
90a9, fb32
39d6, f37d
71d8, 8a37
ac61, 143a
30f3, a997
3f42, 1215
f2d0, a3d0
400d, c523
a5ee, ab4d
58bc, f0bc
309e, aff8
c1eb, 8201
80e5, 6e7e
d9de, 797e
8ae5, d910
45ed, 9591
4e80, 5a49
fbfd, b2b1
be56, c5a1
f2af, e523
06a3, 2dce
0cc5, bcc3
6b2a, cc77
8174, 16ed
1a78, 0ebc
a800, 30cf
ee70, 847a
e8fe, f733
2734, 2431
8977, b20c
6ac6, 019b
929d, d44a
0dea, fcdd
938b, 015b
699d, cd7c
27fe, 0c87
5993, 9706
cdfc, 99f1
95d9, c3c0
38f0, bac2
f7bd, 29fe
949f, fd27
c53e, 7571
a711, f7bc
31ff, 519f
9003, 4b6e
3cca, 9301
34eb, 9fa0
bc19, b87f
b7a9, a491
4881, e076
a598, 1b99
f1f4, 7a19
6930, a7a0
8585, e38c
8e5c, e9f3
2314, 5eac
be85, d90a
045a, dfe4
1637, 8d09
4e92, 0267
9988, f2b7
0433, 7470
1461, 4aea
4acc, 188a
8cda, 2f8b
660b, bb06
6148, c651
73bd, 512d
adee, ce02
5f6b, faa4
6b3c, 0b21
3093, 6ece
93ce, 4275
8288, 2828
339d, f9f8
a6a9, 1dcf
9dfd, 3af9
8304, 7f79
0866, 89a1
50e1, e051
f719, 9267
0aa4, ff36
1aa9, f745
df42, 8a35
a974, 0fdd
e3ea, 6631
377d, 793f
e32c, cafe
f94c, 7fca
c681, 098e
9ca2, c907
f6cf, 764f
0a15, 3790
8c15, 480f
70c8, 16db
078b, b110
b950, 1c54
0cb5, a6ce
4e75, 9e7e
54cf, 11d5
e534, 9b57
a784, f7c4
071c, 35b3
2f6c, 2ecd
8ba8, 3968
d2f4, 85a3
1e57, 2b68
d31a, a08b
caa9, b2a2
60d8, d2e7
8e8b, 7dce
8821, 1811
03a3, becd
c834, 28b7
b34d, 0044
8462, 0008
76b5, 8dd3
f05c, b703
1d59, d633
1496, b192
c598, 40f8
e130, a6ab
c811, 7e8e
8046, cbf6
893b, 094b
6250, 2cfd
257b, 10aa
6ee5, 0533
5adf, b2b0
e632, 0bb5
d472, 0f41
1424, d374
8e86, c51d
8ded, 2114
463e, 1e02
2dca, 0da4
d449, b294
ee48, 34d9
0b02, ede2
d01b, adc1
829c, 055d
ecbe, 5702
7ff9, 2ccc
ce97, 1d88
8813, 6592
7991, b5fd
1fab, 0a30
cb01, 80d8
f0af, 9b25
ce04, 3401
92d6, 45b6
1734, 0927
0bb6, f8e2
dccb, bd6b
3405, 4c98
924a, 773c
676f, 963f
60be, 37f4
a0f6, a559
b41b, baa5
d7ed, 075d
385f, 2ce4
2fe7, 3854
bbef, 5b86
8c4f, 60a2
dbdf, 30e7
1460, 796d
709e, b0f4
9719, 4119
8c12, a80f
9662, 40d2
d156, fc02
8aa7, 7ee2
8b06, bf9c
7df5, 5d89
bd82, 24b8
e0b6, fbc8
0d4b, 9391
9682, f6ce
9c85, 0ce3
2c19, a71a
4535, fee2
ccfd, e39a
76b5, 8dd3
f84f, 5e9b
fa5c, 2e8e
2862, 3c65
aa4f, a6a0
e8fb, 04c2
5d49, b619
2d9b, e594
105b, a0b5
693b, 194b
e364, 0dd9
06af, 3ff2
99f5, 2d1f
8755, d1fe
98ba, 5b84
9a18, 8119
b8af, 147a
6a56, ac96
c579, 4278
fd37, a80e
02a8, 0d80
fb3b, a630
035b, ba41
39ba, 296f
d9d8, 15ef
4987, 187f
82cf, c365
0881, dc77
6c8f, b71f
afe9, 3bd7
f893, 2d00
672c, 95ec
2f89, 7762
319d, c1ba
ca6f, 4ad8
09f6, 8951
8a13, 9a4e
3c0c, 4d01
5702, ecbe
35c1, d514
c5a4, 1511
8e4e, bd79
d25b, 21f6
d4d9, 0d43
acad, 44c3
e6e6, 8a5d
4dda, f261
bfcd, e51a
3c68, eaef
c5b3, 128a
acf0, 4a72
6778, 336e
74ac, 40b7
6814, 0c7f
6fdb, 0638
c2f1, c256
9f9e, f600
c327, 778c
cd4c, a19f
d194, 6653
0b00, ea12
65ba, 1fba
c5a9, e0c0
7256, d4f8
a0c1, 4544
3bc7, c493
41c9, fa77
3524, cedd
4fe7, c912
8e23, c170
c3af, 506d
bef5, 7af9
a040, 91d2
a378, 1d14
00ed, d7e1
643d, dcdd
1b12, c156
7101, 8a21
39f2, b649
798e, 460d
5537, c357
3a6e, 682b
9da9, 8e1f
6345, de10
6c38, b764
7fd0, d981
7605, 8d6e
21b4, 5085
5b07, a45a
020e, 904f
a1ec, 6eec
abd6, 88fe
d8d5, e730
d20b, 29b9
5aa4, ef66
f87b, 9995
00fb, 454c
4081, cf2a
f3ed, 07aa
5202, bc8e
d0d2, 0bb3
0b18, 67b1
f4c8, a9c7
d7ef, 689a
c8d6, bc81
14df, ab4c
83b6, 5103
0bcf, 732f
c30a, 3a0c
1b77, 7cb4
7913, f7ae
d78a, 081a
3ac1, 5481
5a80, 7ad3
b57f, 8f2f
2031, 3021
ec7b, 6e96
7ca8, fbde
5693, c098
0eb2, 0479
d2de, fdaa
6a55, 128c
e06a, f8f1
3b49, 4045
1e3f, 0bc9
1fcb, 4c64
2bdd, adc7
cd4e, e641
997f, 4a84
688a, b71a
84f3, 9c8d
a21f, ac28
1bb2, 930d
26a0, 7e18
48b3, 933f
5ce2, 04eb
12cb, 73c0
d0ed, 0c21
4a13, 41ad
31dc, 0efb
b291, c5a6
23f5, da3b
270a, 7bfc
fd5c, ee3f
a514, 1cd7
c80e, 8863
2c1c, 8787
ac6b, f6d6
5a19, 1165
09db, fa1a
852e, 8581
2083, 863e
9372, 7d4d
f4d2, 9f05
e1a8, 57a7
2ccb, 7f75
bd0f, 066a
fd9e, dd7f
0666, 3913
f1bf, 2800
37de, 4b13
371b, 1212
863f, e6b5
1c85, 85e3
441c, 177a
44c6, c4c6
7b58, 0841
97e6, f202
6a34, 152f
2a83, 34c5
fe4c, db25
e8bd, 4776
0cb5, a6ce
2256, f557
2480, 84b5
b2e6, c76c
26fb, 3ae4
d43f, 2b44
315a, e8ef
63ff, 6424
d422, ce9f
5081, d393
befb, 316b
aff1, d61e
4ad0, 9fd0
465d, 99b6
a421, 3e5c
9c58, 0331
0205, 828f
8b87, b91e
4c59, cef8
aa26, 6d81
8ab7, 2af5
8638, 7027
a254, fb4d
f75d, 4ebe
e20d, 0a19
0070, 2272
bf74, 8302
ae6f, f5d4
c96a, b536
197e, a7f3
3973, c706
006a, ae05
88e4, be9e
276f, 163f
e2bb, 0e0e
ca12, de19
ec74, 578f
27ad, 0ee0
8a2b, 2cfb
64b8, b09c
f70a, 5281
08bc, f9e0
e746, 44df
17c4, 1656
76b6, 4f04
93f2, f3ae
d099, eb97
bab3, 4a80
3797, ac20
edb5, bb83
0bae, 2bc3
4fb1, b2d4
6ec6, 076d
4940, 652f
e225, 11e7
8983, add0
979d, 693d
43d8, fcca
de6e, 90fa
fe4e, f395
fb3d, a056
fa83, ff34
4a57, c482
6cae, 73a0
d2b3, f0f4
6365, ee6b
c0bc, 8068
6129, 7b4f
d1c8, 0873
0409, be82
d6c9, 5fd4
d3be, 728a
41e4, 0d68
dc2f, f247
de0e, 138a
3ee1, 191b
438a, d668
87e6, 4264
b4f0, 7a20
068a, 290f
9f9e, f600
8953, 59b4
f85f, 69f0
106a, dc91
d476, 6ba7
90ad, 3a62
665d, d128
1081, 6d07
2b05, 0b52
863c, 80d4
1460, 796d
bdfe, 93a8
85b5, f5c8
af62, cc03
c277, f934
bb0e, 5c4a
70ea, acaf
bd01, 8e56
584c, 32d1
4304, c685
c98a, 4a4c
61d8, b76c
263e, 2d5e
f9d3, afb3
8b93, 0b94
604f, a18d
c03d, 802d
229d, a9ac
1bbf, 7d6a
b875, 24c2
0fbf, b575
060b, 48e3
99db, 4a6b
43bc, 92b7
f0ec, 41a8
aeff, adbb
b0a1, 5541
7c89, a20c
1f1b, afa5
73f0, ba5b
d77b, 3982
30fe, 6e1e
8c7c, 4428
8a72, 51d6
ba45, 0410
14c3, c4a3
b98c, 10a6
4a2a, 368a
64b1, 6388
a3d5, f2d5
2668, 493f
966f, cd30
ad6c, d5f1
f1f6, 23c5
c82d, 7bf6
a478, f47c
c771, 1f9c
376a, d834
d0a4, 49ad
65df, 666c
c1b9, a697
9def, a0e4
21e5, ba30
4530, 1489
3f9f, 4e70
d9bb, e900
d9fa, bfaf
fc83, 71f3
0184, 01c4
d68b, d254
60d4, a9dd
41dd, 5d07
d8da, bc69
9f5f, 88f2
f55c, 6d5d
7f01, 1a9a
c4f4, 4cbb
8b76, d4a4
d0ff, 3b97
7ba7, 376f
604d, 2709
c785, 48fb
54bd, 8306
d7fe, c538
432b, 6b4b
c5db, 4847
41d8, 32ae
84b5, 2480
cb36, 7b2d
e72e, 6f0e
28f7, 3e68
f26c, 466a
ddff, 518c
fa2c, b376
206e, 9dca
4eb9, f573
c958, 4728
f38c, 7bca
782c, 207a
a1be, 9805
2503, 98e5
fb8f, 651e
5cbf, 762f
1af8, e6fb
c20e, a271
4754, c5a8
ec5b, afc9
6b01, c2eb
1623, 702a
deac, 7a9b
e744, 5149
2c68, 517e
8e1d, c072
865b, c84c
4432, 48ac
e397, 5996
8411, 5f62
ab50, aded
9bc5, ad12
6a82, d4ac
8012, 73dc
23fd, cb97
efb7, b834
a73a, 02ed
48b1, 6392
1b8e, 8bab
75d2, ae8c
236e, 5362
369b, 7a91
79e1, f731
c5dc, 8301
d5fd, c886
8b67, c001
1196, bee4
261b, 53a2
90db, 2817
e60d, 5788
2c6c, 24e4
3003, 86f8
79ce, f8a3
7a89, 1364
5396, c0f7
0c95, c483
879d, 2074
829e, b2e5
7022, b28e
5710, f768
54d1, 331b
446a, af67
01d4, 3a38
197c, b7d3
5a7c, 3a1c
ebc8, 9a27
a459, 5d0c
c13b, 87ed
eed9, 55d9
96d2, 4062
2f8f, 9f62
c72f, 7aa5
9f24, 5bb1
d003, e79a
7b37, 10ba
a002, 1b50
2def, 03e7
e7d9, 9019
c23d, 8fe8
bf7a, fd22
85df, 8c99
41d1, c43a
28e9, ec3a
d7cc, 2745
850d, e963
26f3, cb98
3c63, e802
7c70, d314
f508, 877f
5f1c, e9c8
029a, d944
b52f, ca54
8a11, 7a78
4728, c958
fa7c, 8de0
25b0, 1bca
7b4a, 2642
15f3, 62fa
df9b, 9729
fbe2, ad94
5b1d, 52a3
61e3, a113
1fe6, 8550
ef4c, 9624
2cc8, 79f7
be28, ca0e
38dd, 91b6
4011, a5a4
d0f7, 32f7
1f85, cff5
6778, 336e
ef15, dc73
7f30, 0f4b
bbce, e270
e9ba, 2f6f
557a, 6f86
40ed, 5191
96a6, 51e6
bdfc, 09b8
ed18, e3a9
cd43, 3641
2424, 01f3
a3c8, 131f
8d4c, 5bde
274c, 326c
e47a, cc02
7a9d, fcfd
147a, b8af
7fba, 0556
fd6c, 2459
efa4, 599a
8dee, 2b73
b7ae, cce9
6278, d299
9356, 8c9a
9599, fb78
57ff, 20e5
0f1f, 52db
9fc0, e92a
ed0e, b89f
e8a3, 5c9e
cea3, 6e44
992f, 8f82
adf1, 3de6
12a1, b326
56a1, fa16
bbae, 50c3
7ccd, 6598
a0c5, 0d28
a65c, fb58
6309, 1006
bd02, d602
81e5, 2825
8aad, 034c
060f, b6d4
1452, 6a95
79a0, e07c
3607, aa59
6177, b881
a57f, f6a8
ed16, ac1c
b67a, 684d
1a79, 42e0
7a8d, 8349
eab4, 6e6d
f80e, a763
9d82, 9dc3
0ed6, b91d
36ab, 204c
0ee3, e2ca
ec9f, 219f
6a77, b471
2f1c, efc8
47c4, adb3
6290, 8fa3
3a7e, efc5
abe0, aede
8472, e6c1
8613, 738b
945e, 9fff
1af6, 0c92
3d59, c07c
5265, dc85
1b64, bcf8
2ad8, bb3e
e2b3, d88c
6374, 8582
0e97, 84fb
73d0, d1b5
cdbf, b79c
a9c7, f4c8
e582, 9fcd
4ec0, d165
3b60, 8ef6
c1c0, 5761
441a, 39bd
b195, 1c86
0318, 0bf8
abc0, 6453
4e13, 8675
0818, a125
d007, 4839
7bb7, 6999
82f2, d196
4370, 98f1
11ec, 4a3a
3645, d85f
f3c0, 4932
26fe, 1b98
d14d, 6371
6da9, 3d1f
9482, ee1c
86a2, 5800
2a2c, 012c
2d4c, fac6
72b7, 896b
ae99, 9d06
8fa9, 824b
2ba3, d090
513c, 2343
9cf4, 741f
59a5, 98f6
630c, b208
69a6, c348
dfed, c5ec
ecfb, 6441
9277, 230d
8832, 89fc
f13b, 220f
146c, aa34
a861, 58b8
f73b, aceb
0be1, 1478
0ce5, 2e37
9f91, 8697
062c, fca8
ba63, 8e46
8f1e, b2ae
6364, 1ad4
a77b, 49f2
a48c, 4d65
bf7f, 1263
90e6, 4b26
0376, 9f3c
50d3, 7dac
04d6, 931d
adef, a02f
6203, ba1f
342f, cc55
d3ea, ed61
056f, 89df
aded, ab50
3916, f098
3e3e, f7df
345a, ff5a
45cb, 3156
55c8, ffc0
2f13, 0716
014e, 987b
a197, d1b2
3eb2, b773
163d, 71fc
6914, ad32
c8a5, 1f39
62d6, e241
