4f72, 97dd
6a69, 6de2
e40b, e80e
dfcc, e4c9
eaae, edac
67e8, f554
47b1, 1ff6
e5f1, e6ff
f4e0, 4825
edd6, dae1
76bc, 0c71
6e71, 0388
26c1, d091
cafd, 59bd
b3c6, 0280
9321, 5cf4
d7fa, 12b4
a3ed, 75dd
96c2, a085
dc20, d82d
1e60, 4acf
85e8, 2817
368b, 4eb6
b8c2, 3632
6350, 6428
c5bf, 2233
d65e, 00dd
972a, f110
d0db, d8d7
da06, e30a
5447, 38f9
dcd5, f53b
7446, b9a2
3c7b, 6990
44fe, 4121
1d19, 026a
7e61, 920f
e99f, e13e
63a3, 60c0
5a54, 1b29
3ca1, 39af
8eb6, 42e0
75c6, 7039
6d10, 13a9
6f41, 5200
2101, 586c
0b79, 8bb7
915a, 9496
e1f2, 562e
4343, 198d
e423, ed2c
6d0f, d94b
e78b, 658a
8131, 811c
b5d5, 04f3
a6c9, 3e1b
5625, c618
fd3c, 8122
bcc1, b790
ae09, e47f
a86d, 2c46
dd1e, 164c
d6ab, ae4b
c80a, b56e
043a, bf5f
9f93, 985c
76e0, c325
d9f5, df76
e9db, ecde
84c2, 30ab
ea06, 3ebc
4b49, e240
d721, dcbf
b540, 51ea
4bc4, 4ec8
f767, f065
6ffe, c00a
fc69, f66b
fcee, f92b
9f5a, 9837
a0a3, 6764
9e48, ce99
6ea6, f143
eb0e, 881d
22a2, b272
b19d, b8ce
ab79, 9bdd
ed1e, e015
8070, 78b0
9cf0, 9a5f
d69a, c5d8
7a7d, 7916
bc56, b60a
ac03, 9a00
6cd9, 3ee7
9b6d, 7941
921c, 9d8a
3529, 375b
038a, 0a7e
2a08, ed60
3ac2, 69cd
cdb3, 1c7a
c0bc, 93dc
ac36, a935
0d74, 0ba1
8a4e, c79e
9448, 9de2
bb3f, 0f65
dd72, 817d
5e34, 0b3f
042f, 6a5a
c088, 734f
6650, 4f0e
3796, 3a95
dc11, 9705
42fd, 43f0
03fa, 0c86
694f, 8c30
7ba1, 25ec
a3ca, 6664
dc11, 9705
aed4, ea4d
e5dd, 9d93
931d, 166c
8a44, 8872
a929, bbea
04d6, 8542
a765, aa66
5eb3, 2a0a
8fab, 9867
1b83, da4e
359b, 56a2
dd01, 5651
7a95, e92e
e30b, ec0f
055c, 0f2d
4eab, 6dab
5535, 217f
a4b6, 4376
c068, c334
c28b, fb10
9620, a323
e5fa, e6f7
9336, 9144
6db2, 9293
7e58, fc63
1b8c, 371f
d816, d24a
4f50, 4092
0b2f, 0ed4
abfd, a953
e7cc, dbb2
1990, 9768
3a0c, 5c09
b9b0, b4dd
6f7e, 6192
faf3, 71fa
b7bb, baee
26bd, 42a7
5199, 12dd
00d2, 002d
5a19, cd93
750e, 23bc
3aed, 3f3b
cfa6, f271
cd6d, 6bb9
8dad, 8b72
7182, 7c57
1ef7, 42d0
0221, 58bd
a631, 3a4a
fb32, f25d
1c4c, 3c57
9b2d, d0a5
1b38, 6fb1
c595, 76c0
a3b7, 3a70
87c4, 8b36
a233, 1ede
4622, 41f9
1d62, ed08
7b71, dc84
5719, 5812
0cda, 063d
776b, 795e
a804, ee3a
6128, a405
3422, 3d28
586d, f4ae
ca8c, a3b3
483a, 47ae
06a5, ed7b
6fee, 6bd1
6dc5, 1da8
00a1, 0674
6e68, 3ad2
8f00, f463
94fc, 8a86
a8e0, 40a0
90fa, 55f6
22f9, 9c23
f2e2, f747
197b, 86fe
bf7c, ad74
8e35, 5cc5
94f1, 2ef4
e91a, 4d24
a35d, 9652
c9b6, a57e
2d2b, b792
74e1, 1951
ad4d, aa33
2e18, 04a8
55ca, 1e6f
cb5f, 215c
ba59, 642a
b77a, f776
96c3, 10d8
b5dc, 2fde
ff0b, 9270
4b1f, 4e11
6194, 31a8
b3c3, b5e5
ef05, d508
4054, 4cd5
6d1b, c3a9
a167, 22cb
45c4, 99f8
b139, d75f
57b1, c0e8
0a78, 93b9
4616, 096d
ac43, aa31
0775, 8778
39d8, a302
54b9, 8c5b
6ba0, cbc9
1308, 33bd
97b6, 79e0
000c, 08bd
c8b5, 61c1
7d0f, 05e2
86a3, 7bf5
bce7, 7e2a
a9f6, 3088
62ef, 6dd1
197e, 8446
0677, 05d8
0b34, 4f59
e83d, e432
ac59, a1f2
cf90, 7968
b5fa, b24f
7c16, a986
9989, d26f
3e31, 3cee
146b, aec5
2739, 52e0
151c, 4319
05fa, 8995
34d2, cf84
5ea0, ed2b
f831, 7563
d97f, 532e
86bc, 01d9
964b, c402
145b, 86b3
da8b, 446e
5110, ca5f
c299, db7b
229f, 401d
92f3, f5a5
e2a0, 0e9e
2d3e, 2262
0b45, 0283
3788, 1872
edbe, 2ebb
9250, 9d33
44ef, 1635
be39, db07
c960, aa63
b354, 8a67
5f8f, 72b8
6bbb, 0ee2
52ac, 2e91
ead8, 9f36
545e, 59ee
ad9c, 8ca2
1c4a, 48a1
cf48, 24d0
5278, f6dc
acef, a9e1
6d81, f283
6d17, b515
e131, 67f5
e0cc, e428
334d, 32ab
5d51, 5c2d
5b00, 0e36
d9b4, 68b3
9e70, d3dd
6897, 1b0f
2838, e85f
3fe1, 3bee
b3a4, f7c2
d9dc, d4d8
cad0, 7455
4b77, d59b
80e1, 70a5
fc16, 227a
36ce, 63a2
9825, f095
8c70, f215
465a, 31fa
b247, 271b
d1f2, fb4a
4539, 6912
b775, 855f
eeb8, e1b2
8fc2, 1d49
11c8, 7d41
a937, 31a1
e5ce, 9b52
4c49, 1a67
cae9, cccb
7959, ac08
63f5, c687
8c7f, 8d50
4ec7, 6ed9
d68e, a994
f082, a60c
6e0b, 320e
cc3b, 7a52
0b0d, ae0d
0efb, 9677
bffa, b817
167b, 1100
af36, dbe6
b17d, 220d
d523, 3220
e325, d5b5
2a57, f9a9
cbad, c64b
c309, 0fd6
c44e, ae92
fa15, 010d
aae7, aca2
1bc0, 8d73
bc93, b9c3
a5e9, 3747
2c95, 962b
25ae, 87ff
0c29, bfea
49a0, e847
1b4e, 35dd
1c38, 11c5
0e77, de71
115f, 4541
b3a9, b99d
b2a4, 286f
0a00, 3a03
5eab, 35fb
8c6a, 0c1c
515a, 2d5e
a1c0, eb8e
ef50, 2135
e1e6, e3e4
b5da, 92c1
b1c2, b9f8
64d2, a6cf
e33b, b019
9d04, 1093
c868, 4e80
7709, 733b
e38f, fe92
4de0, c3de
8023, 85d5
9713, 9c7e
e600, d556
5ab2, 0e08
9bf2, 9755
3025, 53e0
6acc, be89
8a27, 4cbc
364c, 3aae
0094, 2088
1957, 97bc
531d, 9dc4
24de, b3dc
5162, a817
a427, a82a
582f, 080c
dd6b, d23e
ba55, 6423
6660, 6533
e675, 5f53
b9c5, b793
f565, 439c
4b70, 8ea0
bd41, 9c11
7265, 7b53
b09f, dfd8
7585, 7902
e69c, 31f6
8926, bc8a
77d8, 7924
0c82, 6cfd
ffd4, 01f4
384b, 324f
448f, 43b5
3561, 6a26
5934, af98
e1a5, efa6
f3f2, 46fd
0c82, 6cfd
2433, 2850
b22e, 83ca
b63e, b46a
2496, 28a3
6f37, 913f
40db, 0057
a61b, 25f9
9f7c, f20d
3a8a, c3bc
a679, b201
c148, c7ac
cd6a, 58e8
f09e, f853
372b, b0ef
9732, 995d
e78e, ea6e
dc22, 2ae2
5606, 0536
237e, 9c4f
cf43, 224b
ce9b, 6900
d4aa, 1661
d0db, d8d7
e109, e704
67c2, 6019
b7ff, 030d
941e, 09e6
8bda, 7212
b20c, 2269
944e, 276d
ce88, cb30
a613, d3c6
3660, 64e8
4c68, 14a0
9e6a, 2c52
c653, 7305
f3f0, f4aa
1d05, 3e88
8bb0, 91c5
057c, 0218
bd82, 86f7
1153, ba17
a861, c438
e874, a20c
c417, af1a
1909, a68c
cc13, cc31
5812, 5719
a34c, 824a
2574, 8927
86c0, 71d0
c789, 1551
9567, 607c
ba0f, 3d6b
9355, ca1e
c183, 71f0
f40f, 1401
9b2f, 5799
2ca2, e2d2
0ac0, a76d
a35f, e1da
0288, d061
5fdb, 804f
a911, b903
6fd2, 6569
90f8, 55f2
dc81, 0bb9
dc63, 6dec
a9cb, acce
b594, b770
2d23, 3e97
c3bf, 647f
0760, 02ef
e9ca, 156c
dd93, 3bcd
1014, be04
da18, 2af8
144a, 4075
4344, ed64
bc97, 7db9
4970, 966d
6ffe, c00a
d90b, b460
87b0, 8b8b
d08d, 3c14
8239, f1ca
fd2e, fa0a
f939, 9840
0a57, 5dbb
bf2d, 4f11
af7c, 4b0e
7c4f, 3543
03e3, 0c61
195f, 1751
39bc, 300e
9579, 5282
8b99, 8eca
6291, 378d
fac9, 9ed5
be08, ff15
6c42, 6ecf
38de, 32d1
5096, 4c1a
06e4, 046e
b2b5, b829
19bd, 0ef8
2120, 232f
3670, 3b8d
ab35, 9e03
6121, 6dbe
9ae8, 124f
e8c6, d4a0
3d48, 2fa1
5c8b, 92cb
d66a, d037
6b41, 681e
4650, 15c9
86ce, 8136
b9fd, b2fc
8267, 5d72
662b, 60be
be7e, bbae
f676, 8a56
fb17, fa88
6ffe, c00a
a852, 943b
70ac, 0b1e
1542, 1e43
2ab7, 2db2
77ef, 7fc2
c11a, 1636
1f08, b5e4
5359, 512b
dd71, be9f
3920, 5a3b
4989, c3ce
c3ed, 5ed1
9539, 3a3c
a6db, c4a8
d08f, 8e31
a1e7, 13d5
a982, 773e
9e47, d25d
d3d2, bfc2
f412, 0cbd
510c, 0e56
c410, 4e38
7f3c, 7b9c
9d2d, 94f4
fdab, 4292
5d61, 0aed
c65b, 3f86
ed4a, 9d28
9b59, 289f
95ad, 231f
70e9, 8d9d
daf6, def1
c42d, ad8d
93b0, a6b3
9dae, 9aed
b754, b50e
537b, a617
c250, 81da
b326, b421
699e, 0e41
b054, b56f
d72b, c2e7
fb04, 9b69
6914, c0e4
738c, fee0
c856, 1b7e
0133, b852
5f5a, 5437
33f9, 04a0
de8b, 0139
54ba, 0fdc
744e, a786
24a5, 2321
b75e, b504
d8a6, d1c5
9da1, 929f
1a4c, 4ddd
d9ea, d4ef
4096, af23
199d, 744d
b5e0, 5ee0
0efc, d72a
fe09, ba78
0483, b37a
1469, 183a
9af8, cfc1
5417, c600
d61f, d140
f462, 9ec5
ffe3, f04d
b2f4, b88d
8353, 8d48
da2f, 1dec
b239, b76b
e098, 28e3
ffa9, 6104
22c4, c369
0c17, 5b8f
4a33, ad46
c48a, 71f9
80e8, 80b4
7f21, 9884
b1a0, 044c
8143, ed1d
ed85, 4e87
61fb, 5917
52cc, 28ce
890a, 8793
d778, 2ac6
b0ac, 0dfc
6d67, 623a
d5a3, 10cc
98f0, df36
317c, 0497
cad5, ef85
e913, c2d3
19e3, 1cd0
a6f6, 228c
bf37, 206b
dfdb, e1f0
f835, ff56
ea6a, f37b
ef1f, 12d8
f03e, f35d
ab51, 39f4
23c4, 6ad2
ee34, 4924
9f8a, 5a57
d2ea, a857
8247, a3dd
fae5, 4720
9b90, f85b
e03b, 94a0
dc3c, 68e7
5d74, 5014
7b07, bb89
e20d, 8a2a
ef50, 2135
c82c, 1b56
24a4, 7c52
c63f, c564
9c9c, 99aa
6f19, 1569
f9cb, b6c1
c0b8, 2e11
a909, 0061
8e2e, 86a7
e501, e60f
b58a, 5f31
0e9b, 9688
9d6d, fcda
9857, e8d6
83d0, c732
4a3c, c3dd
f3a5, d425
fd8e, da7f
8343, 8080
0d6b, 0cd8
9db8, 1bf0
a1f8, 6212
dab7, 2ae7
8b6e, db01
bccc, b79b
e927, 272c
ec9f, 81be
8a7d, fa04
2f80, 0f97
7d58, 0801
1f54, c876
2e3c, 2c3e
ac48, 5498
19c3, cfda
bd7d, b2ae
d0ab, 5cbc
6e30, 3b66
77c1, 75e3
9481, 9306
bbd0, c62d
c7f6, e078
f109, fa7b
875e, 8962
331c, 3cce
dfde, 351d
23f9, e6fc
df67, 2347
914c, f333
06c3, 8fa1
f3d5, c962
7196, 710a
ed2f, e42b
f611, be46
9956, cb3d
64ab, 38cd
ea8f, 4eb9
dac5, d7a3
b61a, 74a1
998e, 440e
3326, d2e3
8676, 71b6
278d, b94b
9018, 96b2
0fcd, 5514
6401, 21b2
62a0, 8415
0a29, faa6
2765, 59e8
c5aa, c6c7
72de, a469
aa1b, a16f
8db1, bc69
2959, 2050
b4d3, b6e4
42cb, eae4
c076, cf2e
cfef, deb7
2c6a, 82e4
1703, 05d2
337f, 2dc1
f715, e437
a35c, 9e28
e593, 9179
99f1, 902e
32b8, 1e23
f8fb, 69ed
9619, a587
7270, 9f05
169a, f553
1361, 1267
b4b7, b12b
14f9, 1db0
8b6b, 825e
b08a, dda5
fc1d, 1893
ad22, 5eb4
8c44, 30ad
6bc1, 6eaf
c82c, 1b56
96fe, 23cf
5a1a, 2d2f
c387, a58a
e69a, 3474
3377, 189c
bc4d, b4a4
e326, 2625
13ed, 3507
c18f, c18b
674b, 6c1e
2d9e, 22ad
64b4, 9b21
a768, ca31
9843, f93c
e8cc, d4a7
e065, e366
504d, 763e
e92d, a292
b7ea, baba
d3d2, bfc2
50f9, 340a
b766, 02ea
c561, c3d7
a6b4, 052d
da5b, de57
a3c3, c4dd
9e8a, 2373
ee94, 5e99
f1d8, 4a5f
7e8f, 4056
4bca, a1e5
ed43, 4341
8c4e, e616
22e1, 7041
ff9c, d1eb
9905, 07bd
67d9, 653d
5e4a, 82a3
6287, 12a6
d89d, 6ad9
a909, 0061
0f57, b25b
2c09, 31ba
2823, 26e8
7eec, 2cce
5274, 2a25
48fe, bfda
ef41, 4c37
d4e4, 0644
2941, fbea
b22b, 28b8
58c1, 75e1
6d36, d164
5ba1, 594e
ec2f, c096
56c1, 667f
dc79, dc70
60c0, 63a3
ab9a, b9a6
e76d, b577
aa09, a482
dfcf, f3b3
0a9e, 07cd
9969, 790c
c69d, 6a0c
22eb, c440
3647, 3aa2
ffea, f74d
8924, 87d8
6eb3, 3489
8683, 4d59
3e0f, 69a0
4443, 4942
d6ea, 4255
0559, 066c
64f4, 8820
8111, 7131
921f, cd56
3316, 6610
aac8, a6d5
c1d2, c8ed
09c9, ac30
69e4, d69e
8907, d668
bf61, 2404
2345, e2f2
1ac0, ae37
03b4, fc38
7c1f, 7d62
68bc, d553
c3cf, f804
cd94, 7e7f
c8d6, 10c6
e29f, 0f3e
abaa, 32a6
d3a5, 6243
b26a, a858
630c, 5309
4013, 4551
e577, c787
3424, c040
50a4, 5946
9db0, 5d64
9027, ce73
2002, 236d
6ccb, 69ae
bdf7, d6f1
c333, d028
b067, b55a
b296, 2bc0
330a, 34be
8628, 02a2
9a3f, e6ef
070d, 0932
4c15, 4916
1030, 1663
6bf9, 63ae
6f31, b159
bbb8, bf22
89a4, 849a
73ba, 0a74
08db, 0539
846a, f6f7
a8c5, af67
8b73, 8ba0
e804, be91
2655, f030
04f7, 713b
243f, 3f59
3e09, cd8f
fc51, fa9e
99be, 4c76
c764, c713
5ac4, f152
41b9, 35e9
7f08, a93d
63d4, 60ef
90f1, 55fe
fceb, 3d5f
4376, a4b6
7e6b, a202
60d7, 06ba
a5c8, c0c1
9133, 9f50
f721, 3156
4b5e, 4e5b
7bcf, 7b91
e848, 42ef
6641, 6ba8
0d95, dd9e
5fc6, 5173
422d, 47fa
0fee, 0a53
0736, 0c03
85b4, 80ef
501c, 5671
84ab, ac9b
888c, 80bd
6ab4, 6e0e
1494, 7499
d2d4, a511
b213, ff38
6524, d507
c906, a28e
4c14, b542
b75a, b503
5897, cab3
ac71, 9c87
dc05, 36f2
6ff5, df93
1d30, 1ccf
d7e8, 95e9
8cab, 0448
7951, 7ffb
937c, 5e8d
883b, 7bc5
331b, 4ae0
dca4, 1e6a
ec96, e39a
5f7c, 9b0a
ee08, 3400
50bb, 03ed
915d, 96fd
3e47, 3b4a
ef16, eb1a
f073, 05be
38a0, 32a9
07b8, 0b0b
82eb, fbbd
d25a, d70d
8e7d, 72c6
4b33, 47a4
0485, 3494
b194, 57a6
17b3, 1c20
1915, 1c43
1814, 880d
6c83, 66fc
08a3, b2c4
1e6c, 4269
5467, 0a9c
3a50, 8cf1
758a, 00f3
a2eb, adee
969a, 5dfe
6fd9, a22a
0db6, bc0c
2add, c44c
4ca9, 1ad7
fffc, fb23
8c80, 842f
9bff, 0293
7f5e, 94d3
e28d, c4a0
bf34, b101
d7fe, d28a
3a1f, 73b2
fb84, 48d1
5977, cdb8
47fe, 4f2c
694f, 8c30
937a, 5e8e
34d0, e669
8ae7, 97f6
abbd, abb2
06bf, 6621
b985, e265
1296, 470d
c178, cf94
9413, c6cb
0fc1, 34a1
64a7, 6bb2
38cc, 5bb2
d2e1, e8dd
d409, d85a
c38f, e307
5be3, 5e26
d30a, dc53
3c5d, f712
dc3c, 68e7
f4aa, f3f0
a7ba, a7b7
813c, 8ccc
f873, f870
4f70, 9ddd
2ac4, 442d
bea8, 3594
c693, 7df2
2cd7, e8b8
37f4, 3af8
9496, 915a
bba3, ff7d
572c, 505d
f57e, ff03
745d, 2d48
901f, 52cb
5dc2, 3082
fcc5, 7520
3429, c1ac
cb18, 6242
d5d7, e7fd
065d, c733
9208, 9d64
4ff9, fa4f
facb, 8aa7
4b24, e9fc
dbc7, deaa
f6db, 8858
1480, 4242
0f1b, 55c9
0b81, 7bb4
8618, bd10
9b4f, 92f1
0c58, dea5
3a45, 36a8
ee1a, da1d
b0d3, b626
df87, 45bf
2b38, 907a
3f01, 30be
765b, 7c89
86a6, 9c88
0939, 070c
9ff1, 32d4
c835, 37f7
1e33, 1cc1
1398, e67b
7b2e, 203c
9df8, 36ba
2937, 5f2c
0adc, 0908
f408, 4104
6923, 6a52
3ff1, a6a0
9a10, 7448
c0cb, 70ad
a1ae, 3444
38c0, 64a6
9477, e096
c507, 9369
783b, 7afb
f53b, dcd5
b64f, 316c
3bf2, e0b6
8c97, c1fc
fbe5, f226
6c0c, 0a59
b94b, 278d
aa65, 57a9
0070, 03a3
f391, 1128
61ce, 68ab
87f5, ee93
685e, 2aee
62d6, 3ed5
82ef, 852a
a6de, a081
f720, fbfb
1d56, 8d05
7bd7, bcac
fe11, d9aa
57aa, efae
9965, 7906
4283, 6aa3
c76e, dd0c
db93, de75
4278, 7536
1a34, 11c6
d61e, 4b5c
5b23, 275a
24e0, 2de9
9a76, 97c3
e9f2, 7513
6092, 03c2
0058, 0664
541a, 0f87
8df9, b382
5e66, 04f4
393d, 4ff5
0d99, dd94
cb38, 645f
7d16, 8a33
4ac9, ced0
7b28, 8006
bb1a, b74d
5b82, f181
b007, b955
26ad, feaa
8d46, c4fa
d7d7, 5daf
7674, 8373
c911, 4e2c
412d, 55f4
5d6e, 5ad1
2478, 5030
8ddd, 7728
85ef, 80b1
e18f, ef81
221f, b910
fafc, 7486
d9aa, fe11
2c42, de5d
b12f, dc2a
d585, 92a9
c956, ac00
f6db, 8858
fb4d, f9e3
8280, 5024
a572, c9b0
8087, bb8b
8b92, 7da3
251d, 3e37
9f3a, 7bee
2386, 2013
f258, 9e3c
ce84, 9ff4
7f11, 7a7c
7581, 951f
adb2, a1b8
dc58, d602
5875, 2887
5a97, 9d2f
0e68, 19be
0bd3, 0d26
9653, 2cf6
00ca, 084d
5b15, 8510
501c, 5671
3999, ab28
043f, 692f
f5b8, f6d4
e28f, a16b
0f40, 588a
93c6, d44a
5731, a89f
68fb, c008
e5d4, efd3
3bfc, e993
59f3, 5870
6bc0, f145
63f2, ef17
0462, 6852
cf9b, 77e9
e1aa, efa7
786a, 715c
4d27, ecf8
c2f3, cd80
c66e, c03b
f491, 7a76
3de3, 3f8a
65e8, 37db
1ac9, ee1f
1c47, b7b6
7b56, 7b65
7f17, 3df3
3290, ea29
3850, e25f
b701, bb06
1064, d8ca
c5a3, ce42
f033, 58a6
9e31, ef6a
cc08, 0440
e2e7, edea
2517, d632
40e4, 43e8
c940, c938
829b, fdcd
fb9f, 4d98
08b2, 16bd
0f49, facc
b502, b75f
c2b4, 9933
4958, 1e11
789e, 7742
09f0, 5986
8d2e, fa5a
3a5b, 3926
2c13, 73e1
3869, 3260
ca3c, e021
db35, 023d
1077, 83a9
a64d, a43e
76fa, a109
51ef, dd0b
d6df, d0e1
f68e, fb13
9551, 1bad
146a, 1839
b36b, e502
47a2, 4839
e072, 2dc5
db86, 31c4
bdeb, ba9a
52aa, f9ac
f967, b7cf
f1e7, 03ba
ccb2, 671b
2f12, bf8d
0308, 8815
7fdf, 7824
9325, 9c98
82b6, f2d5
681d, 5b53
f559, 2797
4114, 5593
06f6, 8a03
90be, 95db
b27e, 9816
dcdf, eee8
7cea, 2d9b
0626, 98ee
89f2, 9940
0acb, 17ee
2407, e66b
06ad, 0072
6c2f, 612b
e4b3, e3b4
3be3, e73a
1c91, 160e
b4d2, b3d9
85d1, 862f
6caf, c3d9
6158, 6721
ce02, ca8f
993b, 9045
ab21, 6633
f4eb, 4822
0c10, 66f7
e44e, e64c
faf1, ff4c
cff9, 307f
b506, febb
32e6, 3de5
9510, 9762
8945, 8786
ea98, 812d
ee93, 87f5
dcdc, 0ec4
765a, 8f1d
4a9c, 4653
c0c3, c6a0
21d0, bee7
697f, 7e71
293b, 2f56
f898, d133
8434, 9915
fd13, c539
7845, 7f83
c8a6, c86a
3c85, 1708
1522, 1858
0e36, 5b00
e2ed, ede2
433b, 41a9
db85, 10f8
85c8, 22c5
47bb, 12f0
5807, 0250
6a1b, 3ecf
8eff, 2644
99ea, 97ad
e8c3, e4c0
ded5, 3490
5e87, 2c75
96d3, 1f9c
65ec, faa5
beac, db7a
59ca, 0a7c
b81e, b1fd
191c, 9e57
1d10, f41e
b2a0, f0c8
66a2, 4783
b147, d889
e9e2, e4e3
6939, 64e4
5e59, f74b
7e5e, 7b6d
c508, 4ba2
453b, 463e
a296, 4e9b
e19b, 3d97
45d7, 3f2a
1935, 1c66
3ed2, 62dd
a0fe, 964d
d373, f79c
ccd8, c9e4
a1dd, c3a6
895e, 876b
4d9c, 27f5
9446, 0a5f
66c1, 6a43
3bdc, 6ee7
620d, 39b4
c723, c57e
334e, 5105
4306, 4c7a
e358, e054
05e7, 50bc
2f5b, 5436
5e19, 8d76
fa30, 4755
cffe, adb9
97ac, 92ee
7919, 2fdd
3795, 6532
fa1b, 84a8
0c27, d3a2
e805, 2460
e812, e41d
f93d, 698b
9cfe, 9154
fb2e, fff1
d056, 1fbd
d612, bf6e
ca44, ab82
7172, 7c28
ace5, 9ad4
8696, 8c03
66d5, e53c
53c8, a007
5773, 6c98
5f0f, 0461
a622, aaf8
db1c, d71d
402d, 4322
4fc9, 14cc
e760, d537
4821, 442f
b026, dc10
72bd, ce14
e2d2, 2ca2
5b0c, ae60
1d7f, baf6
0d63, 1533
7dda, 7f47
1511, 7632
f239, 6131
2beb, bb22
4121, 44fe
7ce8, 8ee2
0059, 036a
4d22, 44f8
3458, cdf0
093d, 9ac3
63e1, 30d8
a70f, a000
6015, 0686
41ce, 4fcb
4c9e, 415a
f740, ffef
39ea, 2149
a665, a418
84c8, 393b
269b, 2d44
5c2e, fac2
a540, 9259
bd03, 15c3
c5de, c744
ead9, dedb
3839, eb32
55f4, 412d
1664, d1ac
7e87, 7685
14fd, 1a2c
7e28, 1b85
d4ba, d3be
bdc2, 7c7c
ac0b, c95d
36a5, ae48
9428, fa8f
6468, 81aa
d2d7, eeda
a7b7, a7ba
4315, 14db
ebe7, efe5
1f2e, b841
a6cf, 64d2
6953, 6c00
3b8f, 199f
2ec5, d270
c28a, cdf9
f396, e764
0a15, 3f39
3fa6, 31a5
f622, f32e
8598, 207b
ab03, 4f71
0e4e, 0595
95c5, 7fdb
d8a3, d4c5
0574, b5f8
cbe4, 0e7c
e778, c775
cf56, 8bde
54ea, 5827
83ba, 79c6
26b3, 25d6
3f35, ffba
52dc, 5dba
fc74, f30d
1588, e285
e68a, 2d8f
f327, 4a49
1be1, 88bd
8a1e, d346
853c, e0b5
1209, 55ee
2c89, 2737
2152, a798
ddac, dbc9
ce0c, 347a
ada8, 8e63
aaa0, a7a3
9856, 52bd
01ef, def2
dbd1, dfee
5983, 0870
8fcd, 7eba
6244, fbf4
954a, 1b25
bb19, 2a02
47a2, 4839
d704, db56
5674, 501a
f308, 2179
c1c5, 1138
666b, 0602
068c, 0c7d
8090, ac81
32b8, 1e23
94f3, 8cfa
abb9, c99a
27eb, 91b8
6a36, 3dd1
1fdf, 1842
1257, e775
647c, 5479
e393, 169d
cfdb, a4de
b2b6, 22d5
ecc8, 1e37
d107, df5a
ba2d, f1ab
bed7, ee27
8551, 2f77
2c85, 2e88
3999, ab28
d53a, d667
5de1, 6521
adff, 3efb
4337, d51c
9aae, 083e
1b9a, d57e
75b2, 40a1
02b4, 9c84
44f1, c26c
9bc7, 6285
1195, 91cb
5b0d, 68a8
84cb, ba2e
de8a, ad21
8986, 8f1b
840b, b91b
a006, a005
fd2a, 2cf4
d1db, d3e9
f0eb, f52e
8212, 87e5
b15d, aa98
47e5, f058
5599, a0cd
6890, 10b8
028e, 757a
413f, 4f31
d8dd, d0dc
faab, 3b30
2188, 8327
06a8, c22f
cd35, 9846
b409, 36db
e7e8, dce6
9eb6, fa7c
3c1c, c331
3ba4, 3ea8
f209, bc25
b11b, ea72
4e4d, f259
75fb, 7f5b
965a, eeaf
6041, 671e
85ee, 881c
40cf, f671
51b8, 3c0c
9344, 5dad
efa6, e1a5
a2b1, 3776
8519, c4e7
90b3, 9fd8
ce19, cb4a
2b4a, 294d
b2bf, b822
92c4, 4b55
cc54, 7a0f
bbf2, 22be
19c4, 1263
19e1, 1f46
134b, e27f
f963, b79a
33c4, 6a16
a771, 777f
6dba, dc03
9349, a0f7
cb53, 1f74
6700, 622f
f0e0, f523
9bd7, 92b7
f9cd, f86a
8c68, 1c0f
4b48, 8a6f
9f99, 63ba
9813, 9486
0fe1, 5066
ae8a, dc0e
e826, 718b
b831, b104
6936, 3c60
8d93, 1f80
980a, 85c4
36a9, 344b
9e25, 715f
711b, cc80
b866, 3097
8619, 7e21
b171, 01df
aeb5, 6565
a693, 9390
c351, 9608
8efe, 81bd
7007, 007f
2014, 2381
63db, fd3a
0236, 5d06
545b, 315e
55bd, 57b4
141c, d6aa
557d, 50c2
a390, 4dd9
8a9d, 845c
27ed, 22ea
a082, c444
415a, 4c9e
908f, 9311
1e51, fd08
01a8, 687f
39cb, 3517
9e27, ad2a
7821, a5b6
a25b, 82cc
3e9b, 6120
a761, ca38
84dc, 3c32
09f9, 08fb
4c41, 9c95
c891, c17f
7746, 7c9d
d7f5, ec31
b6ca, 8aa1
0c54, 3b7a
d517, de11
e92b, 2ce2
7d87, cefa
ff9c, d1eb
4ed9, 9e5b
623e, 1d9a
fdcf, c660
955e, abcf
5939, 1d31
9504, dcb4
4be2, febe
34b4, c683
8246, ef92
4f6b, a2cf
cc52, c90e
d550, 2660
928b, 1e2c
48f1, 4523
75eb, 90bd
20a0, 8dbf
a65c, d384
4080, 8340
e0fc, effe
0d75, 8d98
6bdd, 6fe4
8eeb, 9ad8
bb39, b962
025e, ad0e
1a30, 4766
acb4, 9ab8
a9ff, 94af
2d83, 3b3a
9610, 7ae0
dec1, e2cf
716a, 1220
ce83, 7df5
2017, b5fc
9f46, 91f3
2f86, ac26
56fe, 41f2
00f1, 4a0e
1cf2, 18f3
625f, 67bb
129d, 871a
433e, 41ac
4e2a, 3248
eca0, 2844
6e58, 5057
78ad, 717e
6b1a, 6d47
4275, 190b
4d2a, 42da
5392, 8f72
ffa9, 6104
86da, b141
05e4, 1fb8
69e0, 5ab6
c90d, a583
7756, 9291
a6f0, ac5b
07db, 0edc
8e6e, 8b52
43b9, 15bc
9d4b, 1a2b
5384, 547e
bbdc, e8fb
48ee, 301e
f48f, 83b0
685c, be94
b186, befa
d4da, d6ee
4a39, 1de2
1dd9, 52e7
a05a, 7fdd
97f0, d5d4
