110f, 2d54
6f85, 8ae1
5dd7, 04e2
0433, 129b
257f, 0a10
5424, c5cc
20ae, 001e
b122, 9680
e938, e320
4d15, 9a44
858d, c9bd
43ad, 1616
7c1d, 261a
df2e, a78c
0da0, f619
6eea, 491b
44cc, cc4c
aee0, f547
29da, 6467
0c1f, 081a
e9bd, 672d
feaa, 9dc1
896d, 83d7
f9d8, 3a8b
2926, f0bc
9feb, 084b
0dd7, 6228
b1ac, c609
4218, 427c
d0eb, 6c21
f5aa, 0376
aca4, d093
ef72, 2f82
18f5, c990
2003, acf4
07fb, bff2
27f5, 0885
fed7, 7b56
aef6, 1542
81ee, 2182
2646, 0e46
5ad2, 3b69
d609, bdb4
1ef1, 8550
0f4f, 6df7
65ae, 2d71
2a50, 968b
2fb7, 908f
9479, 9414
b0cd, 99a3
649c, 6e2d
f2f8, c041
9e99, 9d66
f967, 8530
ec10, 3445
0f4a, c06c
4731, 3cab
ea19, 78d5
2437, ef31
5ca5, b1c2
c9b2, d44d
acd4, 66e4
0921, 75f4
22a1, 086c
23ff, 9cfb
e3d2, 53be
84f7, 2df0
eca8, eedf
c6a6, f3ce
e912, 5a82
7307, c3cb
0862, 9012
0819, b1ca
63e3, dff9
fc8b, 6341
0c4f, 8f89
35a7, 8a52
1d0e, 34cc
537f, 42fb
de30, 1cd7
4b64, 5c1a
3a12, 2a8e
908c, e18b
f827, 389b
779c, 3789
2e37, 19d7
52b1, 326c
acc1, 69b3
89f5, 789b
3906, 2f6d
ee44, 1092
6537, deda
4e97, 1baf
2bf1, 124d
8ab0, 42c2
f976, b903
d6f1, c393
fc37, a909
bc77, 18b6
2298, bea9
2cf5, 6ccd
a8a3, c81e
d4af, 86bc
0119, 0714
3816, 37d1
6135, e72c
a58f, f734
ef4c, 3e56
3e65, 23b3
2912, 3a82
0861, b5aa
fe08, f18f
108d, cee4
9c29, 1101
702b, 8b2d
8074, 403e
dc45, 3115
33ac, 867b
2767, 0b10
9bc6, 392a
d3fd, 1853
00ee, 206e
4e13, 7e7b
6aae, ebaf
3831, cec8
c2d0, be0c
7882, 9895
8095, ddf4
7250, ad9c
ff6a, 9c2c
4853, 0c78
63d3, 0f14
ff82, 2ff2
32c5, 71c7
9395, 2c50
3dc5, 6f0f
5ea0, 9d74
c39e, 339c
686f, b62b
e934, 12cc
2016, ffad
3b31, 5197
6331, e6ea
817a, f4c8
9c28, ecfd
8e15, 6519
5709, f6ca
3e4a, 91fb
c144, a9f1
f303, e201
68eb, 0130
b869, 4d39
dce6, 6f0b
217e, 5606
a9a3, 206d
cf01, 4cfb
f74e, e592
52f2, 5b70
ed6e, a7a4
49c5, afef
8d82, 86c3
7160, 8cd6
f78c, 78f3
61ea, 0e82
7349, 8c54
aff4, af8a
07e8, f357
6c1d, dc8d
d538, d3da
dd50, d8e8
0f95, b8f0
fc5d, 9650
d5ce, 351d
fb27, a62c
e495, 2c17
402d, a3b2
54ce, 2415
3e70, 747a
6a35, 692c
e1ff, e655
4eef, d1eb
5d34, 8cb7
50d2, 074f
a0bf, 4bb4
e746, 6f46
bc96, 686c
d5dd, 0ab1
880a, baa1
c68b, d9a9
d6cd, c788
693b, e7e5
d9d2, 366c
6ad9, e4d7
925d, 61fa
2434, ca4b
a049, 72d3
408a, 80e3
30bc, 48c8
a358, 34ac
e9c3, d81d
1e19, 7579
49e8, d23f
ac4c, 48f7
df07, ed49
d742, 486b
d903, 4976
1097, 56c5
c81e, a8a3
f65d, 20ec
b005, 6005
7f34, 2dab
a08f, b64b
1448, 4d68
6260, 3389
27eb, a5fe
f739, 8bdb
9963, 248a
d38b, a5f4
17c5, e735
a22e, c487
0837, dc31
fcbb, c373
a9e3, f222
1511, 242a
3b4f, aba5
4d2a, d650
6f8e, 6f9c
855c, 8753
13f6, e153
8e1c, 734a
3711, c711
53dc, 2b58
a8d0, 38c2
61fa, 925d
9999, eee9
8997, defd
70e0, 1de0
f637, 4be8
94e1, 713c
f1ed, b664
35b7, 2d38
0e98, 7af2
3829, 59e1
3d26, 64fc
6c7d, 4755
ebe9, 18d9
a0cc, 01f3
8b73, c75d
0a3e, c5f0
8717, b0a9
e845, a7e5
892d, 04f8
2a8e, 3a12
6447, 1066
0e91, 2ce7
2daf, 6992
abc3, 9b8e
6efb, 1399
a994, 4974
7214, 831f
af8d, 6fbe
8c57, 2357
dd52, a391
eda9, dfb7
fad8, 7a6f
7d83, 0f1c
10d6, d448
ee44, 1092
6134, be85
e4e2, a3e9
9365, 4262
5ba9, ad42
5d52, ebe5
eae4, 10fe
1126, 7f00
6ac5, 62ed
332d, e8e9
4d42, bb1f
9c02, fcde
0012, 974f
e8b6, 1aaa
7579, 1e19
9f53, a741
27b2, 5ee4
ecde, efb2
1617, c1d9
f8d5, 580e
8eef, dfd8
6ef7, 1e57
6f46, e746
00a6, 359b
6587, 2eca
28f8, ec9c
fc29, b490
1aab, 5a3a
5e61, 9c36
0d49, f78b
90ef, 07df
9b66, 8afa
c550, 1c08
cfea, 3b6d
6528, b6d8
5d02, 6d7e
50cd, 8943
05dd, d9d1
c6a9, 4dcf
1829, a7b9
c392, 132a
3c8b, 8ff6
c185, c187
a791, 1971
c18c, 729d
25d0, e30d
7ce9, 74a0
5cf2, 81bb
1c4e, d1dd
053e, bd71
56ca, 8aad
dbde, e033
8e24, dfa4
f3e8, 5a41
cc94, 1629
fb35, ba89
7985, ff80
7d7d, 1ae2
2213, 52ae
f60a, 4dbf
7265, c30e
5018, 78cb
86b0, 8f30
5659, ddbc
8347, 9d47
1d27, 762c
1b53, cb94
e8fd, 9047
5c8e, 4f16
f13a, ba46
9851, 2840
e603, d673
6819, 018f
e110, 5707
655f, b430
d923, a771
807d, 62e2
0251, 5d2b
bc8c, 61c7
443c, 3258
9e2c, 5320
cf36, 5896
47f7, a14c
204b, 3924
3db7, ac88
30f0, d2f0
74ad, 5dca
e792, bc10
dcc4, 6c74
254f, 974b
1cc7, add7
c82a, d02a
8e7a, 9e71
4d5c, 6d38
7648, 2e10
0daa, 03a1
9b58, a162
7800, 17b0
4fab, 48c0
0f3f, d8bc
03df, 196f
bad5, ca61
c31e, 3311
7638, 10ec
6142, 31c5
957d, 2b69
efe8, ee50
f001, f7b6
c26b, bd5c
21eb, 266f
1155, 3b6b
0967, e90a
8ff4, 08f3
e781, 9973
3541, 036b
6019, 9645
deb3, 7e7f
ed53, 5844
356f, e631
0771, d776
b209, 440c
ec8b, 8ff3
a6cc, 4d6d
8849, 7a79
62eb, 6fa7
a2bc, f5dc
d84c, bca7
583c, decb
e04c, ceaf
a236, 39d7
90f6, 2554
0c90, 9a50
a14d, c416
e331, aae1
2829, bd2d
a07c, 6d80
7cc4, c1a7
a4a9, fb1e
db77, e2f8
88ac, 487f
8a20, 2d59
a637, ad12
4a96, e42d
a219, cbd0
a28d, 92c6
a506, 8662
92ef, 9847
2949, f98a
1a54, 2557
0707, 0d71
1476, 2920
cd2e, 6cff
ec5b, 63b7
2f5b, 3a43
f932, bf06
15b2, 96e2
6030, dc5c
d85c, d1d4
53be, e3d2
a611, 466d
b0dd, 6110
820d, ae59
176a, 48e4
c20f, 814a
8150, 713d
9ab6, f3b2
05cf, 5cb7
4979, 4414
c451, b4f0
92b5, 43b3
9acf, 2406
a181, 3efe
1b32, 4e50
2d81, 239a
7d93, 3d79
1cef, b5fb
572b, a103
5de5, 50ee
72df, 5fd8
824f, cb43
bd90, 4a47
2e31, 8158
3dfa, 1d76
e31b, 63c2
86d4, 1b21
6284, c273
b04b, ced4
751a, 8ecf
77d2, 1cb2
43f3, beb8
f31f, 76c8
82d3, 4049
2e60, 931c
5918, 80b5
954d, 4642
f6d6, f3f9
5092, b404
6289, e587
bcf4, db32
33ac, 867b
3f4f, 9a23
d405, c7c8
c30a, 7f74
f09a, fb2e
60de, e03e
6bd1, 780c
7b4f, 7b35
9619, b6c2
b755, 11fe
289f, e8ff
a237, 3a98
d112, d660
c75b, 1ced
ae53, 96fd
8baf, c635
5ee4, 27b2
23f6, 06a2
58c8, 72f6
ee24, ad96
d9e8, c372
4b2c, 8918
817e, 0676
1422, 1608
7db4, cd09
b107, 7d61
5df8, 94f5
aa85, fddb
2690, 8a97
bb35, 61af
d780, 5cae
25aa, 2761
2d6b, c934
8dce, 7675
b64d, efb7
8066, 7356
bd02, 3caf
ae38, 2a27
875b, 7460
9dc7, 7af6
2d14, 71cd
5556, 3a91
50a5, f8af
bd1b, 23c5
d0e6, 525b
75ae, 16cb
54c2, 2413
3b62, ed83
f5e9, ff1f
5c7e, c746
44d3, a40e
df6b, eee4
584f, 3c44
5795, b872
bd00, 379e
e3ec, a4ec
14c5, 24ea
ceff, d390
7816, f913
5343, 02c4
e5d8, 5368
772d, 1d85
2669, 5ceb
8f96, 7ff7
ddbb, e7f3
7ba1, f2ac
189a, 1414
f19f, 9947
32a8, 7455
fe52, 9333
f827, 389b
4e07, 9ed7
dfd8, 8eef
181b, bde9
39eb, c74b
7834, 0eab
772f, 588b
c3f7, 1f51
7e11, 7eaa
ec5d, aa23
675b, e925
8c62, c7d2
67ce, b7ce
a065, 17a7
c131, 3e31
6e73, 70fa
d2e8, de6a
ceac, ca58
4734, 5d3d
63d5, b202
ac2d, 5e0f
3242, a818
8933, dffe
9123, ecf5
9878, 8893
28b3, a102
1e0b, 44ff
c306, 93f3
532c, ba0e
97d2, 085d
8562, 0479
ff8d, dfde
ea18, 5f88
eb46, 532e
71b0, 0172
a3bb, f30d
e72f, 5fe1
8494, fbdd
1e03, 02d2
8eb9, 7039
1490, dbcb
15fd, 0e8b
e0bc, a8bc
a43e, ec2d
380c, 7b4e
807a, f053
5726, 4a52
a2b9, 43da
834a, 7e1c
9fb4, 0bb1
0f89, f633
b4b3, 5321
8e94, 7c5c
5966, ef0d
b20c, f59e
d0d6, 081e
7339, b9a2
f266, fedb
f664, 1148
88f9, 01af
919c, 5d0a
1fe7, c161
005a, 9881
f483, 9a24
f3bd, a30b
3f6d, 419c
d3ae, c7f3
57fd, 9f6f
6608, 13ac
159b, 5c6d
8c5d, 0987
73ac, 1fec
3fca, c8b3
ef15, 5472
ce7c, 9983
3583, 27d6
101a, ab4a
c546, e061
d309, 4a07
de3b, 1ad9
f408, ac2c
a824, cb06
5151, 434f
72bb, efd3
0a7e, fe1a
c7b4, 4ab8
9275, c7eb
0148, 6741
ec1d, 1c8d
5fc3, 6b6d
9bd0, 557c
c75c, 355c
86e5, 94a7
58ec, 3e42
f960, 45d3
756b, a658
0377, e3ca
3f0b, e466
607e, 97a4
ef63, a48a
cbe6, 587f
0cd5, d8d5
e051, 330f
5422, ad46
81e9, 744b
3bc3, 6b4e
1890, cff5
ff02, ccde
409c, a379
c1a8, 9dda
0c9f, 8204
c07c, 1397
0324, b426
94b0, 250f
2e1b, 7da7
53a3, b5a1
3cde, ef02
1a6a, 6068
63f4, d942
9f36, 6896
caf2, 4cb8
8fcf, 05c5
e0a3, db1e
3d40, 34ef
1760, a13e
48e3, 983e
fedc, a669
e731, 15c1
e259, 2ad0
46bd, b823
a814, 987a
e688, 8fe9
a360, f2b0
b0b9, 6dba
f341, 30a3
03da, e740
6e7d, 5f5d
fe54, a675
6ea7, 3d48
dd25, 68a9
93f5, 2150
3548, 45ab
e665, dde2
fb94, a033
728b, 1830
eaf1, 0056
ba2d, 0234
4d4d, 2452
e95b, 141d
f2c8, a38c
9960, 4bed
b06a, 9bed
f0f2, dd71
aab2, f9d2
cd9a, d652
8311, 73a4
71f3, f0cc
5cdd, 834d
ebfe, f7aa
a3ff, ee85
0cf3, 2ee5
81bf, 2c9b
4554, 97a8
addf, f3d1
ca6b, a2d9
d067, 4ad1
6f45, 6ef4
9916, 88a6
24fe, 56bd
95eb, 7048
5b61, bcbd
c48f, 3e8b
27ba, 2602
0574, de96
1ba8, 935d
3678, 9667
b0af, b392
3395, 157c
fd1c, 934a
63e0, 14e8
cc96, 41d6
a2b4, 72d7
01ab, 0299
3db3, d696
e280, 6b9b
1f85, a980
ed9c, 1c83
bced, 54de
d7f3, 78e3
1223, a4f5
1f6a, 2de6
8ff3, ec8b
0007, cf2b
40b8, 6094
9427, 2327
9447, cb22
7a2c, 1298
980f, f7b7
6c5e, 5d07
f049, be05
d8c6, 32b2
9558, e998
6f10, 6e81
0fae, 01d7
d771, 7860
ba96, 21fd
b5c6, 50a6
300d, 6766
3010, f117
dd9c, d2c8
0d24, dd8b
04b9, 2390
5cdf, f08f
bf31, c14b
943d, 2490
4d71, 9786
3e9b, 4947
c66b, 0afc
7a0c, 7394
5800, fcd0
955d, a49c
66bf, e5b1
c998, 36ad
1d24, b89a
e246, 6046
ba70, 65c7
53df, ee61
fe62, a565
7d4e, 8490
fd21, 5bb4
6106, 332c
06d1, 7f5b
8b5c, 7b27
75d1, ce1b
d05c, bbe1
eab5, 9474
7ef9, 8325
cc33, 3cc3
ffbf, 2c46
3458, 5497
c79c, c798
a897, a141
b4c8, 7386
b490, fc29
f572, c8eb
4f89, aa1a
9317, 1b79
a084, c02e
6f66, 0fbd
ce8b, 7e76
b523, afe6
ef61, 7da4
a50d, 8665
91e3, b170
3932, d361
8ef9, 7325
c974, d58e
02a9, d954
1544, 5c76
7289, 33d0
2709, 7bf7
cb06, a824
aeee, a255
1e9f, 535c
4363, 2564
8046, f2d4
e196, 248b
1e6a, 0b42
2345, 8fea
0cd7, 24d9
387f, ff71
c731, 568a
43f0, dff4
075e, 4b67
d840, 1676
22c4, 00cc
d28c, 52cf
d252, 6500
5f4a, 2f0d
99aa, 08e6
2b6d, c7c3
ede0, aba1
742b, 03bf
496e, 3aca
341f, 7865
c64d, fece
c5e7, dfe7
e887, 36d6
9786, 4d71
2712, 9f7d
6883, 0881
365e, 27aa
9c8d, 9d17
b6b4, 463d
64b6, fa55
1b03, cbb5
3b85, 6b82
098b, 2e19
e3e6, e159
eaaa, efff
688d, b87c
349d, 1a23
cb1d, 0b7c
02a7, ce4b
960c, cee2
ad0e, 4dba
892c, 62ec
b43b, d529
03d2, 4ec8
1522, c3a4
24c1, 4e60
c3cd, f372
4dac, 4a08
10bc, 42fd
35d8, 2368
4ccb, 23a3
06e4, 8c5f
06ef, c8c0
93e1, 402f
f33b, 7a19
4ba3, 993d
ae40, b9e9
240a, 636b
e52f, 5a60
a2bf, ae6a
cdf7, a23b
4e11, c08a
eee4, df6b
ca6b, a2d9
7292, 1f25
e91d, aad8
3b4a, 0c0c
0188, c7bd
008e, 97f4
492c, 52ec
7d79, 35b6
4425, 2fb3
2565, 3305
b1ed, f3ae
5caf, 2ca4
8af0, 8d43
b0ab, 21bf
219f, 20e2
f919, f2ef
ae1d, a270
b8e2, 9b67
d3c4, c582
1525, 131c
c957, a85f
c5a4, 217d
9ab3, ef7f
cce3, d143
30b9, edda
f465, 18b2
1a77, a355
c462, 30e4
ea45, 3110
05b9, aabc
d949, 1392
2a86, 0483
eda4, a095
4862, fae2
228d, 1f14
5d9e, 03c5
cb64, 7669
654d, 3fa3
82c4, 7319
ae32, fb9d
7e45, 74ee
1a26, 8a02
6ca5, e1c2
1a5d, 8ab5
5fa0, a4eb
5f88, ea18
bcac, c658
e1d4, 8034
7772, 3770
4594, 4af5
6622, d84f
6553, 08bc
1824, b03a
2e50, 965a
3c23, 41f3
42d0, cd6e
d3f9, d55e
b89e, 580c
ba1d, 5ecf
be1b, b3a5
edb5, 684f
811b, f1d9
4618, c9a6
108f, 9318
0783, d877
c42f, c325
8cf2, 1e4d
cf70, 47f0
ff70, 7ff0
0e05, 85cf
8a8d, 99e4
6f7e, 8fba
c4cc, bfd6
e620, 6e69
81c6, 26ca
52e6, b0e6
8afc, 823e
eadf, 09d1
98db, 5f42
87e0, c1e0
c98d, 47fd
578d, 778d
6c7b, 6d66
c48d, 39a5
845f, ac9e
ba19, 7e63
468d, 6123
addd, ae44
d7df, 0d5b
347f, 2f19
f0de, a00e
ab94, 46e3
dd12, e6a5
29ec, e75f
e096, 6576
d08b, 3572
95a7, f23b
1f10, af3f
9cff, 58d9
362f, 4641
5987, e4c8
ba40, f4dc
65b6, de78
7815, 58e5
9009, a8c4
fcf2, 5c52
c1c6, 6852
df22, df5b
cab1, 36f1
8da4, 65ce
cbf6, ae69
7746, ffc6
2720, 340d
cbd6, daa7
76fc, 9e48
df99, de66
17f3, d2fd
e7ed, 9de7
89ae, d570
9f79, a484
3539, d960
7332, cc58
7fd7, 02e9
b320, b99d
2266, 62b5
a7b5, 41d3
a178, 6a55
f409, 26ea
1165, 547f
4d72, 935a
70ac, f2a1
36cb, 201c
ecc9, 281f
f633, 0f89
5722, 4c9e
98ed, 4ed5
b758, 063b
f212, 43c5
ca7e, f108
3aba, 70b7
501c, 3f2f
d8a5, 4101
2247, 3b94
805c, 1be1
a996, 1f94
9500, 4ed0
6226, 72f1
1699, a749
9537, ae31
2b0e, 3cba
8871, 1e72
6ea0, 11a2
6d77, 7d8d
5f58, d7ec
5bde, 0b33
3d4b, 5fea
e851, 3430
702e, 61f4
9d1e, f64d
f235, 9051
ddce, 87a4
7f94, 7f86
c53b, 1548
fc30, 5308
c39a, a680
f630, 4beb
cd74, 53bb
e804, 069b
8853, 1e53
9070, 266c
7c19, 4605
07de, aaa4
c4b6, c21b
93c6, fe7b
6716, 32b5
df2e, a78c
7a41, b39b
e403, f455
ee77, 8e37
a94f, faaf
4c8e, 4c66
dcf2, fff6
75e7, fbcb
2bd3, 00e3
2a76, b48e
2ba2, aca9
d0ae, 301e
f43b, d371
0255, ba9e
c8d7, c4e1
ba95, 65a9
4293, 57e0
8fc0, 8a4a
845f, ac9e
97b0, b95b
3e79, 7d76
9e3a, a6ab
4544, 5a24
e1d5, a52f
6268, efe5
cb73, 7b1e
ef96, d867
087e, d883
da56, e183
e09b, 65fb
e3ed, 3154
9dbb, 9eff
ddec, 6027
d353, 895e
8a39, 8c38
0346, 2d46
7c5e, 39e6
56d2, 2280
0e7b, 5f3b
7249, 0f2c
4397, 453b
ecff, d6b2
5109, 20c2
0878, dd06
ce1f, 858f
372f, 5fec
455f, 3cd5
cacb, 504c
1a58, 134c
dfa6, beed
a11b, d34b
9281, 72be
3f69, 7d67
5650, 0521
3fc3, 681d
99ec, 5ea2
df65, e6dc
5608, d40e
8052, 75b9
b458, 733c
9d92, 0d7f
8ddb, 421f
5051, 475d
d627, 7eb6
99d9, 3d36
8010, 0b17
a18f, 917a
7863, 2474
7851, 5084
724a, f47d
38ac, 446b
e966, 2fbd
5617, 7757
f868, 3667
575e, c538
4bba, ab09
2ff1, 3947
6478, 82bc
404b, b3b8
bfa1, cb66
2dae, 3340
cda0, 82d1
5e1f, b970
13f2, ce2a
804a, 9b1a
8490, 7d4e
d418, c690
a81f, cbe0
79ed, d5e1
bf26, adbd
d89e, 7733
320d, 641a
6c28, a328
9d48, 7ea7
e06e, 2095
d8db, 18e9
3a20, abc8
50e8, f72d
b23f, 7939
79cb, e434
a6c7, c9c3
cffd, 6f56
7572, fa29
253b, 3a48
7529, 6abc
b060, 6600
eb0f, 366a
f8f2, 8775
52ac, b861
c59f, 1588
b4cf, 9d33
a98b, 1972
24fa, a455
73a6, 2c66
c46a, c938
0802, 9bf0
4de0, f736
b113, 01c6
5525, c91e
7d94, b6a5
cb15, 7a6d
7153, 3e55
57f3, 6878
ca27, 1ea1
2cfa, d6b5
2622, 30e2
57c7, 7573
9a5b, 2afb
cb8f, 9e17
5494, 4a25
f34e, 51d3
2e0d, 0303
2dfc, 1fdc
691a, 55b6
5de9, 47e9
4d47, 5d5d
4c5c, 5c90
67fa, db23
b355, b4ff
46ce, 4595
58c2, 787e
1cce, e752
ca2d, 74b5
7a56, d49b
5a90, f45b
800d, 0f40
ed80, ce9f
0bd8, 80bd
1375, e377
f810, 6291
82ed, 8d0d
112d, 79bb
899b, 5882
82a0, fdb8
bd06, b81d
2225, 19ce
ff33, ac9c
2741, 485d
322c, c82c
625a, cf24
87e4, b34b
1526, eb54
cc22, 35e2
ba47, e0e0
8f90, 9f80
9cf0, f172
e59e, cf76
a027, 4dec
9791, ef9a
abee, 9b9a
f78d, 378d
4174, e114
71ff, c024
24bc, 0aba
9ca9, cb25
c7cf, 4d63
38a7, 5148
1e20, 655c
b578, 0acb
6f27, e727
c145, 3c67
b776, 88bd
e086, 4f9d
f9f5, 54a3
3caf, bd02
3b41, 62ac
38b5, 372b
da13, 7a58
c061, bfaa
1888, ee1e
a264, f583
2767, 0b10
0e46, 2646
b58e, dc4a
6d02, 319f
3484, 5f79
f04f, 6fc9
43ac, 60a5
69fc, 6ffd
71e6, 8c20
c9c1, fe9e
0e18, 0f80
dfd4, e96c
b9cd, 65c1
3854, 4b5a
8fdc, 949e
a01a, ba69
1c9f, 66f2
fc6a, 81e4
b2b1, c5dd
6bc6, af3c
eb79, 3b87
ed0a, 5229
7f07, 5da7
c37a, d363
6070, e272
6bca, 3b44
fa92, b1ee
8db0, 2024
4cd7, a4e9
0772, 27f2
77d7, 6e36
7466, cbab
8a9e, 93a9
7c71, fb66
2868, 8745
c1a3, caad
7d3c, 8be7
0f7f, 96ee
042c, 238c
9f44, b736
11c2, aca5
b45a, d2a4
b95c, 859a
2a73, b18d
0605, d065
d526, 7fd3
a4e0, 2940
cff4, c8fd
cea0, 5ba7
6da4, 4616
c34d, 9c75
6d8b, 4677
4756, 27a1
5939, 20a0
615c, 249c
7cd7, afb7
bf26, adbd
7808, 241d
4b9d, 90a6
56e7, e208
f1c3, 9116
dbbe, db65
f7fd, 3f9e
f0c3, a44f
ae06, ea1c
0ed9, 19d9
fe9f, fd6d
0eab, 7834
7035, 90c9
ce8b, 7e76
7c9e, bea5
3b32, 2d25
f5ea, ab83
f8d6, d9ee
c73b, 8570
b449, 2094
b4e1, 2c3c
fbea, 372a
a7ef, e03f
ba7f, fbe2
662f, 12e5
0807, 5fbf
4aa1, e596
b9b6, cfc1
dc78, 17b6
2809, 86a1
8e4e, 1b7b
f910, dad5
2b6a, f1a7
3262, 68c8
7b57, 6198
43fa, 599e
f3bb, 3918
a30b, f3bd
c8ac, 78f1
7505, d979
411c, d9be
0fa7, b2df
1dbd, 167c
608d, e08d
b3a8, 98bf
bee2, b671
c084, 4633
844a, 6574
627e, 1f7a
3c8c, 7583
c69b, 873b
e88a, 571a
b627, 0dec
b426, 0324
8e45, 7f52
0c3c, d709
e6fc, 1173
23a7, bd48
da0a, 439c
c401, 33f4
8dca, 250b
264d, 03ad
604a, 500b
50fb, b59b
673d, 933f
7e56, 80d6
9976, 388c
bdb9, f13b
4a73, ea93
4fb8, 8cd8
eaea, 99a2
d117, 0171
3b06, 3936
154c, 341b
a015, fd15
cc0c, 644d
8218, 1043
c81f, 4065
339e, 97d9
f89d, 95af
90d7, 28db
586a, d829
e88d, f766
0aac, 8951
082a, f35b
9cf1, 235a
8f4c, 7fa4
b09d, 49a1
50d9, 4d75
475f, cf57
4793, e82e
e59f, 9cad
2432, b130
9765, 4162
446d, 472b
8b40, cb7e
9195, 51ee
661c, eea1
fa3b, 3e7a
4a1c, c1ac
098a, b2b3
5b00, 654c
9915, be7b
b4a8, eb3b
7ad9, f4d7
1df4, c0ee
58a1, 4726
4898, acac
c91d, 3fae
6d29, 4c77
da1e, 143d
5b92, d013
049f, 0e0b
cafa, def3
b1ca, 0819
cf54, 1afb
258e, e52e
d20f, 496f
c858, 4f57
2b18, bf37
756d, 3120
44d5, 5479
5649, bd19
9312, 8c30
9a95, e6ac
7add, 1bab
bca1, c657
dcce, e915
d059, 11e4
d382, 43e6
829a, 62ea
84a7, c751
d871, f7e5
d057, dde1
3fdf, cbd8
40bf, 4b04
4014, b1ef
eefe, f888
1b7a, 4ec1
16f8, a530
d293, 0fe3
575d, 4f53
6bb8, 0ee7
81e3, 0cf5
f92b, d49e
b3ff, 6611
b6f0, 44a7
1f16, 2afe
c5e3, 732c
a43e, ec2d
f531, b10f
0a17, 7683
7735, 57c5
8877, 8873
865a, d12f
5686, f101
a727, f469
9b76, 5b81
1a65, 808c
1e18, e9ea
535d, 5437
4cb9, eef2
483a, 56ed
eb55, ed32
7b90, cdfd
524d, 60f2
8f69, 7e3d
b8ac, 6891
a3e7, 0157
c809, 18b7
2ee9, b637
c4c1, b836
6f85, 8ae1
9df8, c45b
7c5c, 8e94
af2c, e52c
6d01, 2a70
ba54, baf3
9c65, b5b8
eacf, f965
8ef6, d2ea
d785, b880
7719, 1119
db58, 663c
ece7, de1b
f4d8, 8a69
5766, d07d
7327, b427
eca6, ac5c
6d1d, c1cc
1029, 74ca
cd51, d14c
d391, d1fe
a3ad, cdc6
fc11, d574
8c4c, 78a8
ce47, 4ad7
7873, 3833
b3f2, c583
b5cf, 2107
d14e, 1755
9608, 7515
f6e5, c205
6090, e570
b868, f5a6
8834, 976a
70ed, 105d
7be7, 8d3c
0ac8, 76f6
6554, 6240
13a0, b248
0e14, 5ecc
6ac0, d4a2
3d2c, 912b
4fa6, 027b
76fb, 8e1d
293e, cf77
011f, b714
4dff, f653
b0ec, 6b2c
ce8f, ce05
50a0, e95a
1868, 65bf
d7d2, 2462
7c70, 3d11
1966, b48c
efad, b323
74d3, 1c01
919a, 6d75
2d59, 8a20
b8eb, 1ac7
173a, 3bdd
6ea1, f180
7e92, 0df7
96b1, 40dd
5ef5, 586b
6a47, 1236
5fed, 6293
3742, 4732
a400, 94bd
65d1, 1ebd
4dd3, c8a8
0109, f23c
ddf3, 6b32
6178, 1706
a028, 4631
4f9a, a98a
58ca, 3884
2702, 3cbe
1a7a, 2bb3
6f3f, 99e0
74d2, 6fc5
c58e, 23f2
89ad, e080
bca0, 0087
a1f2, 3155
3796, d9f1
affe, c871
0431, 213c
a836, 982d
d5ec, f72c
fcb2, 9c6e
56b3, 0de2
cdc3, cb82
8751, 8552
0112, 51a5
20e5, 363e
d38c, f290
e507, 5d38
7efb, 86f2
0e48, 7727
4ee9, ea35
9286, 13d0
cb66, bfa1
7311, 83a4
2174, 705b
d280, 9946
3391, d549
e9ca, 180e
8e81, 5d96
c2c6, 728d
5d30, 0eeb
a34a, a0b0
33e8, cbae
35fb, bb4d
5232, 527e
bc84, 6c7f
fa21, 73c8
0a4d, fc3a
13a9, e01a
ac5a, ed54
5efa, 210c
4570, 4e1d
2da9, d9f5
cd1d, 434d
170f, 1707
bee0, 56e0
13e8, ac18
1ec7, e83c
7f77, c481
cb12, 7dc5
9667, 3678
c262, 1503
0850, 612d
2d0a, 736b
f958, 288b
0d8c, 023e
7d23, 3540
10c7, 1bdb
537b, 5bc5
4cfd, 34ae
5c60, d559
aa1b, e61f
fb62, a665
c4ff, a1b9
ad73, 9b82
99e3, ca7c
d4b3, 4486
24bd, ea00
e638, f650
de69, c9d3
3168, c445
2848, f5b3
449f, 12bd
41d7, 5070
8548, 632b
9574, 9f69
f0c7, 570c
45c0, fe1b
cb9e, 3434
0dbc, 1cb7
33b3, 0787
9148, a8a7
3318, c1ab
6ee8, de50
d4f1, d356
e540, 9491
dca4, 0093
064e, ed12
d507, 3762
9aed, 2a9b
31f5, 4c25
7850, 8a6b
e432, ac47
7f3f, 0291
c47c, 7f88
d371, f43b
a08f, b64b
d7fc, 084c
7457, dace
ad04, 762b
72cd, 736c
f200, 5f18
811d, 5dc4
8b18, e639
ac7d, d049
fa52, d406
5e27, 7127
eb68, e237
e3b3, b787
6186, 611d
f097, 82f8
a242, 630c
fe39, 376e
6cfc, 106f
b8c7, 0810
e3e0, 6de0
d924, 07d8
a5e5, 0cbe
4529, 3a32
bd97, dec1
98a6, 7f4d
47b5, a1d3
48b7, 7ca5
d73e, c73e
9536, 4291
c87e, 4883
43ec, 9538
2552, a74e
4aee, eabe
4ece, 8e8b
4d88, a457
2c98, 6b64
b98e, 79df
2b9b, 58cd
4fa3, 3a45
0f26, 8521
214c, 49dd
873d, 8e67
