95d2, aab0
b2a8, 0fe0
d619, 0a77
c06d, c047
d75d, 8d05
5054, 6c12
cfee, 376e
b03a, 7818
7538, 2add
f6da, 69ed
4d8c, 3b22
5e4a, 8dc5
3e01, 8319
2bca, e4e7
0730, 99c4
97b5, 2c06
8ffb, 2845
fc0b, 2203
bd4c, 03d4
7285, 9f84
64a3, 3180
c99d, 951d
82e2, f961
d64e, 23c7
1e6f, d69d
00a0, 8a61
bafd, 8f0a
f907, f733
ce9d, 232a
ddb4, 33d3
9912, aef6
af1b, 8e88
1df5, 895c
fa09, 937c
11b3, af84
9b44, da1e
c555, 9ad4
2b2a, 2bba
ce34, 9f3b
9b05, acfd
0346, 0ad0
d43c, 329f
e4da, ec6f
d1b1, f92e
0c96, 8b54
1f18, 42e1
41f4, de35
16df, fbfd
ce1f, 5592
9dd0, 9b47
42a9, 14bc
5f41, a372
af0a, d5f1
255e, 0f27
bdd2, fae2
e4b6, f8ee
3637, ef15
9c2e, 2237
ae1b, 0355
200d, bb65
0799, ff4a
23c3, 0a1f
278b, 1c0a
63e5, d62e
dbf1, 09eb
b1e1, 22dc
c172, ce3e
e0d8, ef27
2208, fc0c
bea6, b916
1337, 3d56
95bd, 2704
37a2, b665
5164, 2c3f
470f, a581
9acb, 12a6
9354, 93d9
1356, 09c8
f956, efc7
1ca2, 19b9
ec51, 3dec
51a8, 1cc5
d505, ef96
4e88, 14df
701d, 6372
76fb, 5f5b
0850, 929c
d7a3, 5dec
a479, f1f6
77aa, 05ce
be14, 97a6
fd32, a3e5
dc86, 9a06
bbe1, 9949
6f30, e45f
03a9, d6c8
4503, 224e
bb99, f6c8
d158, f121
721e, 6e79
0638, 5df2
7cf9, b6e5
d026, c4b4
c00d, f671
a7ca, 01ed
3894, 26f2
ce0a, 8b6a
2fcf, c8b2
123b, 92ec
eb66, 585f
d1e4, 10ed
ec78, 3478
7ee2, 247a
7107, ea86
7af5, 3c3a
7f2a, 3b7b
4f84, 0042
f71c, 177b
21ee, bf7b
17a2, e354
d983, a50f
5198, 78bf
30c1, 6a2f
3d8a, a15e
64c9, e886
14df, 4e88
4a1d, a2d2
6196, 11a3
3112, deed
2e11, b384
27ca, 7e48
f1c6, 3054
0845, 2236
7bf4, 98f2
8a00, 6e4a
0c9d, 5075
d94f, 5d82
ac22, 966b
0106, 81cc
0678, 5ec1
6704, 1188
2510, 4e70
e80e, 8f94
8df3, ba68
078c, e586
af99, d8d4
cf93, 18e4
7340, 861d
c87b, a1c1
a09b, 4e0b
1dc0, 8347
1e77, f7dc
b55c, 35ee
e1ae, f007
07ce, d395
e5bf, fa78
c873, e212
4955, d844
1f9f, 5b9a
3a7e, 29b0
2660, 07f7
931e, 69f5
bc90, 3419
3512, 78c3
22db, a960
5d82, d94f
2c33, f93a
0398, 5a8a
06ff, 061f
daf7, 558c
ec24, 7bb5
d23e, c0d9
0c9e, b3d3
4fe2, baea
94f0, 7ea1
696a, d1ae
4ee8, 2f18
b696, 2409
928b, 91c7
fa5b, b9f0
25ea, 21c5
9f7b, 4dc8
21b7, 1b67
e131, db5f
607f, 2f9d
1a48, 4bd0
1d43, ebe3
4ec0, 18e3
327b, 73a0
0d8a, cdf0
49c8, 3e8e
2b9d, d34b
d0d4, b2fb
b04d, eefe
50c8, cf35
5f51, 6893
b302, cc40
eabb, cbbc
4f5d, 36ce
1dd3, 9486
9a95, 92ef
daba, 2b1b
6c16, ff3c
5ddb, 826b
21f5, 4c50
6749, 957a
d42a, 64bf
5a26, d318
2dc1, 1a44
18d2, 7c9f
e89e, aab8
d4bc, 2fc8
5fab, 0885
d595, 2fe9
4602, 7a89
162b, 64ff
5d38, 95db
2dbc, e910
8205, aad6
4d81, 7e38
9983, d57e
54a9, e932
eff2, c540
6cf6, faa9
831d, 7310
0aac, 64bc
43d0, a95a
ff65, 6a14
10c2, 9d9c
24b1, 734b
555a, 4a7f
5018, 35a7
5360, 296a
45c9, 7d35
5d80, d874
b2ad, a1a7
79e5, 75ed
46c0, b1e5
42cb, ab92
6a98, 4ae3
e1ef, 5709
4f1b, c4aa
a5a9, 1ec8
5d11, bb0a
457e, a79e
faad, 1344
2b41, ebf9
e220, cc0d
49b4, b3b1
f79a, bb33
3ba7, 3ff5
85a3, 2392
2332, 8156
9766, b204
0473, 252c
a65b, 161a
4dc0, 6609
ffe6, 947a
2f57, e455
059d, 0a9e
8b15, 4798
70f9, eb45
7112, 2596
e87a, 5df4
5d88, 5cd3
60a9, 8623
2bee, 91c5
e23f, dd78
dba0, c3af
dbb3, 93db
6417, 1068
15cf, be41
4fa5, 0e3d
f72e, 2290
a136, 320a
0c0b, 1ece
a603, e3ed
f160, 1160
69cf, fa82
2188, 894d
66fb, 17b8
fc24, c8d8
5c21, d7b5
13a9, 707c
e6cb, 00a3
2b0d, 47b6
a60a, 6879
610b, ebda
46d5, ade6
1012, fb55
d9e2, b38f
4ad7, 9879
5461, af79
1fbe, cbc1
3267, b238
25a7, d080
47ca, 1d5d
7fdc, b8a1
7a44, aaf6
14e2, a4d6
c9e5, a404
6e97, b66f
9c34, 2135
5af8, 08d8
0010, c53c
1a73, 8292
6268, 4270
c859, 009e
9915, 7071
495e, a9cf
114e, 931f
30f2, 8330
1e6b, e668
620c, 9397
4f5a, 4891
129f, 4af1
d0ef, d3dc
c3e8, 54a4
d1ac, b180
aeb8, 6541
0cb7, b8ec
2547, fa26
144a, 481a
9b6c, 6d63
137b, a17b
f031, f037
a495, 04ec
7351, 0fee
ec19, e1b9
cbaa, 3e80
c18c, 00f7
ef46, 4156
4efb, 9576
e546, 4072
0c37, d709
f8e9, 8261
4849, f4b1
a4f0, 9cc0
f4cf, 0597
8398, 17c8
179c, 38b1
9a65, 5abc
0976, 0128
f640, 22d6
0a99, 5bed
6281, 511f
4a8a, 9479
de50, 3768
583c, 407c
4ad1, f3b9
7430, 84ab
1094, 943a
d8cb, 77f4
22ec, 8f5b
b548, bdb0
2550, fda6
71e0, 0e12
5f01, 8ecc
f28b, baa5
76f2, 360c
29d8, 5fbb
2444, 95c1
59b3, a978
545a, 6c13
bb6e, aa96
ecad, 50aa
ddf8, fa5a
653a, 5629
99a2, 1ecb
5448, 1f7d
a95a, 43d0
0e7b, 8e7b
5041, 7e27
be58, a6c8
6abc, 6422
e794, 8f4f
bc31, 1e0e
a46e, 402a
4dd0, 35a9
0cbd, 70c3
3830, b680
9a44, 75fd
684c, c499
9a88, 3a4d
f739, f2e0
ea07, 4a24
c33f, 9505
c572, 9a63
3ea5, 2727
2bec, 1c36
0ec2, d614
2dc8, b44c
e4e7, 2bca
0761, f551
6b86, 78a9
1442, 15f3
a5fe, 8449
5f70, 513e
5ad3, 700c
7b95, 28bc
3708, 519c
ef88, b9f2
0fb8, 8cc4
9241, d2aa
faac, 8fe7
5903, 5e33
3ffc, 9f4b
c20d, efd1
2be9, 3461
59aa, fd8c
f334, ad1b
716a, a4d4
a582, 5407
0d3b, 80cc
4613, 2e6b
6520, 4f7c
c33c, ab91
c2ed, 4b4a
7c67, b734
e92f, c7c5
2e4f, 025e
bd63, bc4e
0daa, 8e5a
2341, 48a9
0a88, 5d14
75ef, 134d
23b3, 085c
68ab, e8d5
f708, 4b97
ef02, 9e62
8520, 9f9a
41ef, 3819
c922, 66fc
372a, af4d
3eca, f243
cfa4, dd32
7d67, d836
2052, 2352
b5dc, 150a
9387, 33ae
48ab, 85bf
0f93, feeb
3cc4, af26
4e1f, b45a
0056, 76c0
49db, ec3f
74c4, f4b6
6b92, 4311
2c99, fc0a
ff2e, a698
4674, aaaa
bac3, d553
82a1, 503d
deea, ee38
57eb, c90e
b01f, d62d
7684, 879d
ba77, 3743
c195, 1713
5e44, c0da
b3b3, 67fb
b168, da03
472b, 85ef
5908, e95a
8b33, de5d
de4a, 966f
4440, ed60
cd49, 49d6
4ed2, 0db8
5903, 5e33
4242, 7b3c
8c4c, ba57
5d40, 185c
4099, 8220
141f, fc42
4a01, e0e8
c8a9, 786d
79e0, e62b
408d, dd44
31e0, a874
6304, ffc5
1d98, 7efd
953b, 296c
62db, 802a
d6dc, c9fc
022d, 303d
f369, 7884
4dd5, 3df4
68a7, 33fc
9165, a453
04ec, a495
92c6, 2ac9
7243, 4da4
c7bb, 73cb
0c3f, 211d
3a23, 1091
8373, e65c
5287, 659b
9e8c, c2a2
ea70, ee53
3f74, 3f14
e1df, 8151
763b, 6d4d
d941, fa29
1b2d, 0dea
2eee, d427
438a, 2c7f
7d95, 0d75
d9b8, 2721
1f8b, 1626
de74, d69b
2306, 9fc8
a04f, 9442
0ef4, e4cb
72d3, d430
2e75, e916
1665, f505
b6d1, eaf6
b80b, 5217
8f43, 0aff
7b1f, 1571
a653, 6644
8a5b, f8de
2df9, 01d7
ee56, e946
6258, e2eb
d260, cb74
62da, 3175
6633, ca5a
2e7f, f2ce
e7f1, 78bb
f37c, 056d
d979, b774
8a76, 0b51
3d7f, e54d
b26a, f641
2d4b, 9a9d
8376, ccfc
a67e, 96b0
abb1, 6249
5442, 5834
182f, 3cf2
22ec, 8f5b
ffa6, 7253
236b, c582
8694, ddd7
d729, 565c
859b, 3d5b
2eb9, 37df
a4f4, 556a
a1b6, 2610
08f2, ed7f
d5a8, 1735
fcad, 51f5
74fd, db4e
f83e, 9a8d
211f, fbbe
41cc, 3f65
c20a, 87ee
998d, a2aa
ea2e, 76bc
452d, a0f5
49fb, b727
4fd3, 1748
2de3, b931
0387, de5a
e4b0, fd86
1ce2, cb5a
9a9f, db17
9876, 573a
cda5, c3f1
3c35, 8b09
a8d4, 6ef2
c227, f11f
0e16, 3ede
2080, 881d
580e, cae8
7727, 58a3
6176, 7c4e
fb1e, 420c
cad7, 16ff
c62e, d829
4ff9, dde8
7161, adfe
c68b, f935
c2ab, 081c
b7cd, f825
8468, b43c
3fd2, fed9
5cdb, 5b7b
ca51, 7f83
decc, ce6a
c539, 46ec
626d, 655d
2bbe, fa37
afc4, 413a
9206, 6637
0286, 0c79
84a3, 682a
ea07, 4a24
2270, 9c8b
1404, 4634
0e52, b869
a5cf, 6432
f55a, 4525
cce5, 5675
6814, b2cb
3f7c, f73c
8794, a559
0a92, bed1
c119, ba0e
3010, 1e25
4130, 6e70
f683, 280d
e0c4, 9eb5
1541, b2f8
98c2, 1380
ca8a, 306f
c363, b860
505c, 88e5
928b, 91c7
d6bf, fb68
ec07, a892
c9b6, a1b1
c40c, f5da
7eae, 5803
b922, b92f
915f, db9a
34fa, 6bdb
4a41, 235c
7928, dd10
6c4f, cb5e
aece, 60b1
8c36, c55b
7dc3, 2dec
03ad, 4c6a
b132, 0852
e014, 180c
5ab2, eabf
ae76, 1ca9
bccf, cdc1
1015, 46db
ad34, 2f32
500a, e7b9
e54e, 7006
51e5, e15e
1333, 9b26
8d2d, 04c2
eeef, 3497
2abe, 94b1
c303, d31f
ae5b, ebd7
02d4, 7090
f04b, ac67
32bc, dea5
16ad, 37f2
3338, 1245
6b3d, de2f
276b, cd5f
7e64, a325
fa2a, 6dd9
a29b, 9188
f215, 279b
2a8d, 49dc
7d09, 30b6
3d3c, 622d
d090, baae
33d0, c6a6
fc96, 9777
4b4c, 43a3
e352, 8b36
3fb4, 6458
e2c3, fba2
eb0a, e314
edce, 74ed
a800, 4c1d
922e, 8051
9910, 9166
9352, 3953
ed06, 2f37
cf0a, 411c
eeb0, 5fea
bd23, f02b
4c56, 3de0
9d26, 4a30
23a1, 7045
b9e3, a852
167a, 764c
37b5, 3b54
b668, 64c7
6eb8, f813
e323, f29f
d306, d4ed
3fa7, ef4b
1f46, 9f59
017f, f1b5
0e53, ccb8
85ef, 472b
8701, 7fdf
ad95, fb99
5582, 0e4f
cbdf, bdd4
f68a, 8edb
ebaa, 09a3
4db5, 164a
76ed, d1a7
93e8, 4ee3
759c, f045
7211, c115
d89f, dc57
655d, 626d
354f, ec54
fc6d, 40c2
b2ee, 2c6d
1ee8, 16a8
fc8a, c770
ed77, 4cc9
28dd, 7cba
6d51, eaa6
6328, be23
2de7, aac9
365e, 0cfe
c2ad, 2a86
868e, 534f
0657, cb70
7722, bf50
3b09, 8e11
f461, a635
eaef, 7942
5896, 6903
05b5, 1ace
ccf3, db25
53cf, 012f
aa15, 2b82
9379, c218
25bd, 7cee
b8a2, c733
3d72, 0ae8
aaa0, 3e0c
16f3, 2dc4
3085, 8d22
ab9d, a174
c80b, 4af8
ec88, 8a50
3ad7, 7898
8c23, 5581
5eb5, eacd
e783, dc0f
e579, 8101
1c51, 3590
ce92, fdc3
c23b, cadc
3bdd, 093a
b2a7, 194e
a368, 1518
cd22, 1a2d
d4ea, 9d27
cbed, fcc2
0563, 260e
fc66, 694a
7beb, a6fb
29da, db1e
372d, 9813
a1c3, f541
8cd0, aacf
f31a, 2853
9acc, 1287
c64d, 5240
e062, 227e
1c6a, f1ba
a2ec, 15d8
135c, 6859
aba4, 7984
5fdb, 8312
8538, 017b
914c, 3e2d
a251, 8a9c
7609, 0564
bf13, 6fcb
aed4, 1587
74bc, 6dd1
18fa, d374
e837, 0d8f
31c9, babf
e66c, 065e
a9b4, aff4
bacf, bd80
152e, a701
9f21, 9da5
eb5e, c36f
19dd, 9130
ce8a, 5744
ad3c, dc15
de3b, a2c7
3f02, d993
5c08, dc4e
aa27, 3266
d45d, 2ef6
4161, 9bc0
7cbc, ef56
8cd3, 023b
4558, a669
7a4b, 5c17
67b8, 5253
8119, 4bfa
0f04, 7d72
9113, db5c
7d96, e627
6427, a8db
6a5e, a3c5
b471, 9470
5e15, a339
5527, 4b01
7251, 4c9b
c385, cdbe
374e, ab0c
dff4, 7189
b02b, 9a1f
843b, 26be
09e3, dc44
1037, c901
879a, 0776
8d07, 3f77
812a, 0888
7457, af53
8988, 02de
dcbe, 2755
2a17, b215
a73d, 8dfa
7ef7, c1de
ba12, cb88
3dea, bb75
98df, a150
8205, aad6
f642, 48ec
4dfb, cdd8
179e, ecd5
959a, 58d2
13fd, 308b
77bf, e088
f847, 55cf
4822, 4bb7
638e, 5326
c124, b663
b88b, 29f0
47d3, 149a
8316, 898b
d602, 8308
1a33, fa33
8b42, e653
b65d, 254d
92f8, 1270
a37f, c7d2
bef3, 36e4
f2fe, 07f3
f087, b18c
4fd0, 7dcb
8976, dad2
ab93, 1b69
c73c, e738
d205, 25ae
0467, da45
c608, 5b73
6056, 87c4
643a, fb89
0ebf, 8ba7
a6c2, f520
6e65, 446f
7ebc, c6a1
4b24, 1f2c
5c33, e337
b75c, dea7
94d1, 5088
909b, 1dbd
9137, ccbc
8468, b43c
c25b, 1fff
cc3a, cb0a
d4b5, fba6
1cf3, a850
7029, 3eab
1f36, 5c78
00ea, c3b2
b925, 9610
b909, ea7f
0889, 4200
7e69, 5467
8a13, cf4d
154e, c751
5838, 829a
efbd, 8e24
c7bd, a8a8
3eb9, 51d6
9d36, 95fe
7549, 90dd
81c0, 9f00
9099, c0fa
0c53, eb64
0cf1, 0ead
4720, 653e
05c3, aefb
2203, fc0b
291d, fee0
0184, d8d5
70d1, 83b2
3b2e, f005
e9cf, 3cef
fb43, b8a3
962c, d325
de67, c869
26bc, 9e0b
e28c, 6bfa
f02c, 003f
9f87, b907
f9f9, fc94
702c, 06e7
8e37, 08df
bbc5, 2031
0785, 03fe
8474, 102b
eb5a, ac05
b825, 5688
d8c4, 9ac8
4d12, 384e
3768, de50
a1a3, f401
456a, fb59
676f, 0685
5f67, 6606
5845, 9058
7fc3, 0199
a0d7, 5ad4
a1ef, cee5
3abd, 1e58
5382, edef
ecf0, 6518
b6c7, 09ec
d8a6, 7239
e68f, ac94
0005, 8047
ea40, 974e
f238, e459
80ad, e79b
1c6f, c710
6880, bf30
9f12, 192a
aae5, 311e
12bf, d79a
b09c, 375e
7cfe, 544e
48d1, eba8
5e8d, a4be
a7bb, 2cec
5ad7, 045b
51d2, e79d
bc74, 5cfe
899d, 4d7d
9686, 7595
2e83, e96f
d733, a416
d518, 128f
15f1, b5f1
ec47, 5a03
e5e1, 007e
1cf4, b0e0
7094, 2dda
40c4, a75a
0dad, 9717
8643, 864f
9b8d, 2065
c81a, 59ab
a770, 92af
2e02, dec7
2b5b, af45
8a62, d9b7
0063, 2e55
03b0, 0940
bdc2, f3ce
fab7, 9ab5
540d, e637
4666, 4d66
8b92, 3b92
7c78, 98a5
0986, 57d9
cf81, 61c0
26ce, d2b8
3d28, 4bf9
0616, 57b6
6650, a47e
14df, 4e88
934b, f2a0
0b61, 6447
72a9, 1f84
0b75, 6974
cd8d, 99c2
be93, 9cc5
4ea3, 07cf
dc53, 5044
0a60, 5669
e534, 33d5
1d4c, 385c
02d6, 3a22
6cd8, 4825
6aa4, 422c
d804, d343
6f5c, 6a88
6400, f381
c085, 9e01
3402, b003
3317, 227d
cd7d, 4d82
8312, 5fdb
182f, 3cf2
7005, 3bcd
e352, 8b36
d1c3, d215
777a, b5f8
be32, 8ffd
736c, e0eb
d585, f6d4
075f, a3f6
0e4a, 2968
9149, 07fb
a9ed, 2aac
bd06, 8894
f301, 11f5
463e, fe56
2c8e, cfdb
e381, 247f
7aed, 39a5
1d24, 2520
da96, 10cf
a9ec, 5b3e
1929, f623
c276, fc09
833f, eef7
d9ab, 3ebc
31cb, edd4
4d0a, 9b3c
7e0f, 0825
83d9, 73d6
b589, db7c
35e3, 06e5
7702, 70d0
6163, 6811
5c99, a9b3
e2f2, e4e2
cad0, 47ae
a701, 152e
f3fe, 100c
6201, 225d
d33d, fd21
21e9, eaa4
317e, 63fa
1e43, c03b
6788, 8b8e
8e11, 3b09
56ab, 2dd1
1508, 9aeb
0bb1, 5a5e
b895, aec8
fbcc, 487d
026e, 7130
0f7c, 98fc
f112, 2d0e
a76c, f185
5950, 5bba
92f5, 74cd
0db5, c629
db02, 3c8f
69ae, 69a5
2a5c, 1f49
04ed, b9a8
3b44, 5de0
17e1, 292e
cd92, d62c
fcd0, 7d48
f62a, da2d
31e4, 6c60
25c9, ef28
3789, 789b
f780, b4c9
048e, d67a
7f0f, ef0f
3cbe, de57
eaad, 0538
ee49, 3e15
86c9, 20f1
2744, 4734
d8f6, 3cbb
930f, 1a10
d96c, ecd4
4637, ac6f
d9c1, f702
d6a1, 0dd5
60e0, 3344
6f33, 1dc5
8e9f, ef58
7560, cc96
9e0d, 856c
5628, 920c
c0ad, 7c9e
f756, 48b4
9072, 7a47
8cfc, bfdd
6cc3, 5ae2
7215, 4ebd
aaf7, 08b5
15de, 5d3d
3898, a280
46ab, edc8
59cc, eef9
c045, bd7b
b621, 363d
23ef, 0bf4
6d97, 852b
b47a, 4f99
e177, 7225
385d, 958e
05d0, 395e
3f1b, 34ab
b52f, 13ca
42d7, 169a
6fc9, 6720
8ef7, 35a5
89ba, dd36
6d8e, 58fb
38b5, 3865
31e8, 10a6
a45c, faa3
e849, dc3f
0f70, 413e
b280, b28d
0e47, b829
da14, 9347
2da9, e531
0ce1, 9b32
f42f, 87ba
5abf, b7a4
14e1, 5ac2
00f6, 5b17
f2be, 88e4
e864, 9887
90f5, 573f
c359, 02b9
ba69, f6b6
7249, aee9
8819, cff2
052f, d468
5410, c95f
9996, 4e28
d09c, b11d
56ff, bfdb
94c5, cdb3
540d, e637
f5be, bdba
24d4, 4f00
988e, 91cf
1722, 2126
53ac, 0e9c
3dfd, f63c
dfc1, 0014
cd6b, db3a
af1d, b6ed
2660, 07f7
701f, 6da6
d911, 9333
d5f5, db3c
16e0, 8be4
2fe8, 418a
6f1b, e017
8ada, 3ad6
aef0, e8bc
35c3, 6d0a
e250, 2bcb
b5fb, c3da
7823, 0c4d
7432, a1f1
c165, ddfa
c26d, 3f63
c507, bf16
a7ce, c9f2
3bde, 71f6
91e4, fc60
f974, 3933
3c43, 9ffd
6d56, 0e58
3182, eaeb
d624, 0914
9e30, ad7c
ec6a, 791d
de18, 0def
665e, 6c70
8858, d8b6
9be2, 8ab8
ea21, 58db
3111, b0f0
e4c7, 1d2e
0206, 6c88
b461, a350
4812, a93c
601e, 78f0
beb3, bbfb
7285, 9f84
ef99, 4b96
2c79, a906
dd4f, 96cf
3ad6, 8ada
162e, 88c9
f6eb, 4676
7da1, f7af
6367, 8ff0
a058, d716
49c1, f423
eb46, f0e9
ef5e, 6640
70ca, 0943
d3a8, 0783
2c03, d562
2f06, 59db
defe, 33a0
9f14, aca0
85e4, 33bc
7e77, ebf6
59dd, 2918
38fe, 7a02
8c0e, 3e8b
cbfa, 49f8
d6b2, 7967
a55a, 955a
96ae, 6a32
a0a5, 641c
6263, 82aa
37a7, 7236
f2b5, a95b
2398, 89be
e2af, 09a9
2d69, b0c5
434b, f84d
f470, 4c87
75ed, 79e5
13d3, aac0
3a60, 51f6
be03, 006a
8dc2, 9fcd
24a3, 580a
5fd0, 2fe6
56d6, 3b31
6fd9, eb94
cba7, 400e
9e91, 8223
1e69, 31b7
3a71, 241a
9727, 0af8
f536, 6bb2
cc07, d57f
8129, aa99
4557, 9d97
a7a3, b9a3
ee96, e9e5
0327, bed3
f91b, b37c
076d, d1d0
68d3, 5d05
de7d, 0e8d
829f, 2e97
2f4d, ea85
d529, f3e6
6c9e, ab0d
5c9a, 952a
52d5, 1059
0044, 9b8c
3943, 6d02
8cbc, 1a6b
b3ad, 1834
3d8a, a15e
5011, 0bf9
132f, f787
5173, 5911
eb4b, 082d
0b87, 39c3
dcbe, 2755
ef90, 6a09
ed8a, aa92
bc98, bbac
5dc9, 3b2b
2f2d, 42c3
4ee3, 93e8
8786, 4b7e
71e1, 8182
bbfb, beb3
15c6, 5c6c
36a2, 277f
77a2, 282e
05bc, 3ddb
aafc, 0f1d
c8ca, 96e8
8a77, 2c01
6958, 69e8
6727, 6c43
0cb0, 2a2d
0b4f, b455
6376, 5e49
f486, 5108
7c36, 997d
6617, e8a4
f074, 9b45
b4a7, e6b6
98e8, 94cc
ab8d, 3d53
0ca7, e9a6
2778, 2914
7e02, 7700
628f, b16f
6936, f194
14c8, 9547
66c0, b6f9
d97f, dbd6
6479, da86
5ab0, 6e91
a9ed, 2aac
d91c, ca26
1ef8, 54d9
c689, 0f3b
93b9, 96ac
7444, 6a21
ecf5, 7224
fab4, 8f96
9f22, 44e4
1dde, da68
c26c, 13c5
70f2, 1d75
e838, 7d04
9610, b925
8a63, 0c68
9b76, 4f88
d7b9, 8576
c6b9, ca25
733f, 2351
9921, fbb8
0506, 1749
1170, 3fb8
2d77, 51c5
e6b7, ab69
3530, c3ce
32b0, 9a1d
2ca0, 9815
c8e8, 442c
1ffa, aef8
bf2e, c752
8829, a45e
4227, c11e
70ef, bd3e
3f41, 70c9
fb9c, bc41
1ba5, d068
73cd, 5d89
3ecf, 8ecf
09f4, 7b25
335b, b40b
e597, 4dea
0f1a, d548
f7bb, dae8
4271, 4a2f
ebac, 78c9
b81b, 27bb
dd4d, 432f
284d, 8dba
6c82, 16f8
b27c, 05a2
a4ec, 7487
2ec1, 2057
c421, 0c72
7f1e, 33f8
ad97, 0b26
cb82, 1a69
b721, 0bbb
2c69, f467
dc74, ed81
e32d, 5163
a316, f1d9
afbb, b301
6fbc, ad99
c031, 4168
d436, 154a
a897, 459e
fd7e, 5faa
4b8d, d4bb
a630, 1b9d
dfab, f221
ba5d, f2c4
df6e, 36b6
07ac, 50f5
f1be, babd
c563, 96fd
6191, 104c
9b16, 4b79
f06c, 34fb
7655, 566b
59cc, eef9
411c, cf0a
6f96, bac5
9e1f, cfcd
d5d3, f78e
8331, 9345
a119, ca20
b1aa, 383a
bcb0, bcbd
9bc4, ab09
a501, ef4a
468e, 665b
a340, 3cd4
6d28, f29a
b436, 7ee0
56af, d8ab
9255, c692
c5ed, 706b
7019, 5698
77d6, da7f
0da2, 2922
083b, e166
1f4a, d5b4
e184, 5f2c
be82, 168f
8a1c, 1366
4605, c918
760b, 7e6a
5222, b840
2974, d1cc
3d7c, 35db
e17c, 0fc9
62ac, 360e
f9a6, 8706
ff93, 3411
4a5f, 04e1
4780, c9b4
3770, 0c48
e508, d9ea
ed09, 242f
25c2, 7564
23c7, d64e
9646, ed6b
bb7d, 734c
ee70, 5130
1e5f, 7581
eae2, 70eb
8461, 5a1c
9070, 2e4b
f774, 8994
504f, 6220
1db2, 3591
e8d8, 911e
731f, 398d
a4ff, 7137
028d, 7d13
db38, 0aa9
ca0d, 4758
2bf3, 230a
d232, 0ab9
9552, 8f58
4c61, de0a
c263, 9392
79ba, 61b3
0cab, d208
e2eb, 6258
82ef, 992a
5012, 1c66
6da2, 67d9
e678, e8d3
4a9a, 06d3
7a30, 5488
8a7c, 768f
e137, 37be
05e2, 844f
4076, a1bb
5b56, a7a1
ffd0, 91a6
05b1, db6a
f17c, f9ea
d682, cb06
2faa, f9db
ffbe, 3a09
b470, a5f8
f788, cfda
cdd2, 464d
e158, 41ad
09f4, 7b25
a7ba, 5797
f7bf, 196f
793d, ae3e
b4d2, 768e
4b79, 9b16
150c, 0425
cb52, 20ff
8eea, 03d9
564f, e692
92a6, 544f
7079, a1de
e35a, f48e
ad93, 3c42
812f, c03c
6d34, 6780
a67e, 96b0
8b30, 829e
a50e, 10bd
14e0, 7811
ba2f, 32f1
e26d, 52b0
d5e8, ac9f
a7e8, 322d
54fc, b256
a3e2, 8472
5de2, a937
2aab, ccef
a31b, 956f
0e75, 8e75
d04e, dfd1
429d, 1069
cd3a, 7cfa
25c1, 14f9
60f6, bef7
97aa, c35d
f8a6, d875
4427, 5afe
61ea, 1194
7afa, e4a7
d8cc, d9cc
861e, 7640
43e6, a1a9
b2fa, aa98
f8e5, 920e
b478, 298f
ca0e, d2e2
e715, 6be4
fad3, 2da6
af4c, 20ad
0cd9, 9a86
e89f, 589f
036a, 9d2d
8b75, fc7c
ebb5, 4bfb
a189, 50e6
4450, ca2f
977c, 639a
a3b8, 4b8e
9cc4, a988
f33f, d44c
9905, 990e
6405, cd09
5694, 1fed
f643, d7c4
2e06, a436
12fd, afae
6e9a, 5693
d8de, af47
eb9b, b3fc
435e, ad5d
267d, e013
5d1a, ed90
ab34, c1cd
9543, 0d5e
c502, d794
e3da, ec20
ebf9, 2b41
c4d9, b654
238d, 07c7
a77d, e5c8
670f, e2fe
4e0f, c9f8
7643, b8ce
687c, e8fc
294f, 4f0a
aa11, f9f7
15ea, 3505
ec0a, fba4
f320, 4d79
47b6, 2b0d
74cb, 4e9b
cd2b, 20a4
1ca2, 19b9
01f9, 7a43
15d6, 5ba0
f1f3, 1dbc
da61, 7f3d
01e7, 2176
6b12, dae6
e48c, 4155
4c71, a130
a7b5, 2289
6ea9, 53e6
e81f, 90e3
a6fd, 32f5
8df9, 44db
c6a9, 96d4
5c91, 3c72
c557, 53c6
ab8a, 8d8c
817e, 3115
36a4, e32b
17a7, 0e0e
cfa7, 2886
5e88, dd95
3a92, 340b
21da, 66a5
4c75, 917e
38e7, 0074
eded, 8c84
145a, 7fca
9493, 1c00
f914, ac8e
c33a, bad8
729e, 0116
d1bd, 1efa
2b6b, 0cf6
4185, 2a3d
47c2, 4fa4
dfa2, a208
cc2c, 39c1
0053, 271d
f6ac, 2ebe
0505, e56f
4e38, 7f45
7378, 77e3
50b0, 79d9
7f6c, 15b0
c430, b458
35e2, 1a4d
0e6b, ab2a
87fa, 00f8
fd48, d421
012c, bd5e
1b38, f799
de98, 0ca8
a2d3, 8e0c
668d, 16cd
bcea, 9f2c
6af9, 0560
fb67, b395
1e3c, d515
0862, c584
d99a, 47ee
cd6d, e66f
09b5, 245d
dfd3, 8824
a02d, d347
c030, 4626
bc4a, 97e9
b7ba, 3282
753c, 2689
a785, 6534
78cc, 6dd0
dff1, de9f
1eba, f3b4
0ade, 592e
27aa, 48d7
2b30, 214e
a249, 420e
3420, 4488
3bfb, f7fc
abbd, 1612
381a, 8f7a
c429, 00a8
27fb, d339
098a, 2b2d
d32e, 4a27
cb21, aa52
