a56a, d5b2
2411, 491a
1c0e, f7c3
e0b6, 3bd6
b9b2, a2cf
d7b3, ae4f
116a, 05c4
d2b3, 49eb
58c6, d30b
726d, 6960
cffa, 148c
457b, 979c
aa79, e4a7
4a21, 35da
afe9, 9926
d05f, f27d
596d, c2ab
c7cb, 1e66
9b3e, db3e
4bec, 647b
d236, 7256
2524, cc99
a779, e739
ad2d, 8128
44ef, 51a2
95a3, 456e
901a, 4bff
2318, 071f
e518, 161b
1d7e, 7ee1
2a8d, 95ae
25b8, c260
9e03, b483
1b0e, 027b
cfcd, f81d
9ba6, 0b29
c800, a297
3867, 8361
49dc, c955
6f3e, dcc5
7124, c666
98b7, 617d
15fc, a54d
4299, ea85
754d, 68ec
06ed, 5668
6fae, 68db
d772, b11a
8d9b, 811f
b80f, 380f
1693, 7c48
b312, 3465
7ab5, bdda
1312, c6b0
c8d9, e281
1b07, c203
7f96, 9238
cddb, cdf9
eab4, 8cda
d658, 9685
aa21, dde1
e4d7, 1112
6368, 33b8
41ab, 2480
89b6, 6d63
f5df, ba26
60a1, 90a5
c2a7, aa72
c679, cc28
9f1c, 3634
76cd, 6611
bb43, 1720
f9e1, 0710
192f, 67bf
d92c, c125
ad20, 6c20
ea54, 57cb
04df, 764e
2a90, b8d5
4343, 6821
49ba, 5c1a
e578, 2b6f
7ffa, 7add
df41, 97e4
b001, 3cb8
74fc, cffc
47f5, ab37
3a23, 4663
842d, 6ac8
2085, db53
09f1, 0a45
5c42, 3a9f
a8ad, 07a7
2418, dd7a
fbab, bbd7
2fe5, b558
d3a3, 94ce
d3fe, 737a
78d0, 7dff
54e8, 3c8e
805e, f027
3769, 3fed
9506, 68ba
9369, 9eb7
8186, 696a
165d, f6ec
d3aa, 137a
0a6e, 2e9d
001d, 3f44
41b5, 7311
9cff, da9f
1629, f1e1
9973, 1908
cc65, 4316
8746, 53f2
700c, 6bfc
01c6, bb66
3f11, e81a
2052, 1270
8356, e389
b99d, 46cc
87e0, 3cab
679f, 0242
f578, c022
1f10, cfc0
c08f, aeda
0642, beb8
a010, 7912
e783, 52e5
78bc, a825
c78c, 2bf1
5e4a, 027f
5127, b6a9
0628, 4728
3f0d, cd3d
d225, 9eb8
b42b, 0548
cffd, c291
ac1a, b524
0255, 3acf
3850, 87b9
8db7, 4d88
ce5d, 7ee4
4460, 7946
617e, b754
9b58, dd38
e097, 7e96
33e9, 5e36
0417, 9277
57c4, 8424
67c6, c8c1
80e6, 8de2
e6e8, 0660
0bca, ac77
e95d, 2491
c82e, 7d5e
1300, 72fb
44db, 24ad
1adf, 651f
8c47, cfcc
bbac, 7e97
5177, 857a
ea96, 54c4
5a6b, 2d59
9be4, 13ef
e9b4, 1522
6a0d, 8a78
7ccf, d96a
b206, 72f2
8ebc, 60b5
554b, cf4b
ea0e, f7f1
ea64, 8caa
828f, 3980
46e0, f8e0
572e, 43d2
b183, 02d6
c829, 7225
fc9b, cc4b
d267, 7c72
6860, dcfd
b7d1, 3c5f
9592, 7e67
bc23, 8a1d
85c8, 96b3
d059, af6f
3ec3, f1c8
281f, 4975
6751, c380
0a4c, 25b9
a1e6, 1f5c
c919, 5989
00c5, 1c7e
0782, 9cdf
6fb8, 6167
d04d, 4690
4f5c, 159d
987a, 8791
a2b4, 87cc
9e8f, 1651
3684, ff1c
b1c9, 5ac4
97d9, d32f
698a, 818a
31be, 5c3b
b779, 067b
ff66, 4f59
2e24, c3e3
3e22, 8024
426f, d778
a505, 2667
5f4f, b3ca
f48a, b2fa
8d07, 21b5
aab0, 8e97
e1fb, 722c
08aa, dcf6
34f2, cf45
41d4, 9132
ecb0, 7fdf
6c0e, 61d6
ed2f, 804f
e3ce, 948b
fc3f, ceec
8641, 1090
c2af, a9b3
ee65, 735b
309a, e694
fcf8, b2a6
a3d3, fd54
9894, 1d44
18b8, f4cd
12a2, 0dee
dcec, eb2e
4ca3, ed62
84c2, 3ea2
0783, 3066
1452, fe38
b591, f580
9af8, 3d2b
9743, df3f
d3c8, a95d
d156, 4fdc
ff8e, 98a5
7256, d236
af22, 30bc
5953, e382
ae50, 6f54
8997, 1ff2
6f1f, 9800
3150, 5a68
4854, f3a8
e590, 5a43
e3fc, ed1d
39d5, bb76
4d55, 966b
c0d3, 45d7
c28e, 0f9e
0f72, 78ad
9669, 6388
7d77, 2815
0310, 782c
b779, 067b
a955, e37b
2afb, 6efd
dd58, 9d3e
5a6f, ffe7
7ea3, 879e
cac9, 261d
9a6b, 4484
4c50, d5ed
5ceb, 313c
a48b, c807
cbff, 49e6
ed21, b41f
e5ea, e92b
62c7, ea4a
e9ac, 69e5
910e, 33fb
4e96, 3b65
24bc, 4533
0a0a, 65f7
01eb, 79bc
a2d7, bcf2
c4e8, 2c8e
33c6, f76e
84cd, ba75
2fba, 03be
e551, a7f1
dafc, 78fc
9523, 1a20
6a70, 8897
febf, 4331
2d72, c336
49a9, decf
f8b7, 1d59
977f, 1b70
99a7, 2fdd
7da6, c6ae
1351, cacd
bd34, 0b54
93f8, 6283
a298, fff6
d736, 7fbc
ae50, 6f54
6718, bead
d38a, 8487
4b6d, 2dad
09c2, de92
0eb4, 6fa7
8d3d, b804
dfbc, d4d4
b3d8, 0452
2d23, 4023
5a30, 358b
54ea, 75ea
3d98, 003a
d210, b615
2513, bff1
f712, 4447
59f1, d465
4498, 1863
be58, 3e58
3145, 9ce7
865f, 8b59
0edb, 434f
633d, e1c5
b492, 99a0
cee9, e35e
7611, 6c7c
6533, ffaa
2799, bc30
1c9d, 861b
0ad8, ada2
0a17, 0b22
004f, 7be3
56f9, 8530
9749, d709
96d7, 9351
6502, b74a
6bb7, dac5
1b01, 21bb
91ee, 19ee
4996, d9f9
505e, a067
59ad, a706
a3b2, 1416
3ab7, 8a59
48ce, f8ce
1df7, c243
0ec2, 5e58
bb13, c515
1bca, f04f
620b, 3a4d
7019, 70a5
d5b4, 4ae6
ffb4, c97d
7956, e9b9
ec0d, 0900
8162, 65ad
afaa, 74d3
f464, 1ae2
629c, 859b
6fd8, 3fa8
ece1, e195
de26, 492c
d99b, 2145
757d, cb6a
e175, 1bcc
25bc, 5429
49c6, a6b9
1849, 98c9
2544, 4af4
617c, c02b
0788, 8d66
de08, 0827
4aff, 9546
3ccf, e5c2
66e8, 6cb7
e1f5, 4154
c8c0, f87d
b33b, 8ea5
6423, 18c2
3872, 6838
e543, e54d
9899, 7170
3d67, 4ddd
4de0, ffe0
929b, 1d8b
7c3c, 330e
098d, 1553
05d1, 607f
4b0e, 9c01
2777, 0474
de5d, 983d
d371, aca5
6e0d, a4fb
b883, 881f
4e2b, d0f3
b4c9, de13
9c8e, 2155
856a, abe5
70ce, 497b
bdfa, 4625
cc10, 01aa
fe3f, 8ba3
4746, 29f6
af4e, 840f
5b76, d735
88b1, 33b7
8c64, 5aa1
6664, f823
2ad3, 0288
2c22, 5cc2
e2f7, 24ce
e707, d265
1694, 93a8
4745, 9f36
a277, c721
b733, cb4b
8107, d41a
25c5, 0db1
97b0, d2b0
36ff, 96c5
5ffc, 5e5a
0168, 2e64
2a44, 9504
4fa0, bbbf
f31d, c87c
9646, 44e1
32ec, f68a
5b8e, 4e9f
6eb2, 1e68
009e, 2381
e75f, 64b8
553a, a4a4
a3fb, f53f
820c, b5fb
3b97, ebf7
1d83, 668f
a6e3, 1b88
a135, 7379
686a, 4af9
fd9b, b821
c14a, 5fe9
9aa8, 4abe
0ad8, ada2
ca27, a857
65ba, 900a
8996, 0314
0f80, b8f1
7849, 0e02
b2a1, c8b0
c7a0, 59f9
4381, fb89
ea32, 1eb0
e0ae, 0eac
8911, efd4
4f1c, 8594
c14b, 114b
f88b, 6420
9177, a506
8183, 1a97
1859, 6170
f6c0, bdba
b83b, cb21
61f7, fc3d
a10f, 7461
1328, 3d7a
75a7, 8b74
21f8, d17d
c776, 09d9
bf98, 0393
12d4, 91e4
810e, 3c31
4443, 1fb8
f193, 0648
797e, 0d6c
c079, a1a5
0df3, 5230
f2fe, c399
7f1b, ea55
4069, 9616
780c, b776
3882, cc4a
d2ce, 276f
531f, 0fe5
8946, e0ff
4478, 88af
4f06, 90b9
4855, b5e4
c543, a420
06c4, 5f44
d1a0, fa65
2095, f37d
1735, 0803
c205, 5f75
c197, 6aec
43e8, 7fb2
8a5f, 8aa7
810b, 37a7
48bd, fd68
7722, cd69
77f9, 6799
62c2, fa2a
3c0c, 87d1
0835, b952
8ff5, 0f70
8fe0, 12a9
ee06, 9163
45c7, 8532
8518, 8f97
4326, 4b27
2348, e666
dfa5, 27bf
2dc0, a890
e68e, b9e2
c96e, 32ae
5654, d774
36b4, 9bbd
1060, e024
5cd2, 425f
2b78, 037a
4a62, 3a62
7836, 7c4a
535a, ed7b
56e8, 0dbd
cdd5, 76d6
bd2b, e948
81a3, f00c
169b, 6827
99ab, c7ee
8952, a2c2
2e28, 7b68
95de, e9ab
2728, 88c8
81c8, 1bcd
4688, 86b7
f432, aa57
40ee, d0e5
a3b6, c361
f344, f750
a896, cc81
bfa5, da4d
4f78, 8d14
c0cd, eb68
4956, a0f2
997a, d277
82e5, 11f1
85cd, b5d6
63f4, 656e
99f4, f2c9
58b6, 8878
d906, 4949
a1e9, f85c
eca4, 5c3f
7cfc, 586c
83f4, 6a6c
be66, de35
c8c9, 04c6
e453, 313e
94a5, e8c3
8b36, 5b36
5b43, 8603
2b94, c75d
e700, 7b3d
7f19, 3762
695a, b115
08d5, 2fa9
b055, c8c2
f72a, 4c06
5656, e032
cbe6, de57
b57f, 42aa
eb01, 3097
bd78, 5f66
1793, 0d28
f17b, 7dad
84aa, 391c
5e9b, 8e9b
bac3, c7e7
ced3, 1de4
8abf, 9caf
a406, dff5
8388, f856
5414, 8ed7
df7e, 08f7
596b, 87ac
71bf, cc2f
9eae, 8ed9
8441, 597f
1e4c, 059f
9c85, d1e5
a3ac, 04da
6259, 3c18
d0e0, bfea
4d76, 9da6
acae, c076
fa20, b50b
dd65, 0b1d
d4f3, 2336
f21b, 141e
b88f, 0194
7c2e, 6ab9
e37a, 879f
bbf0, 66e4
bbdc, 936f
dea9, 1b11
b984, 8c3a
a691, f8ff
0114, ae18
7578, a9ea
539c, 8e4c
c313, b5c7
a2cc, ceba
db77, 9763
3449, 5bf2
b589, b4ba
44dc, 22d0
c2ac, 9a22
dae6, 612f
47f5, ab37
5051, 671a
4469, dbf2
99fe, 2339
86bb, 04c3
02c1, b921
cbd4, 16bc
563c, c67c
a1d4, 5033
68c4, 7e24
535b, 0055
8919, 49a6
14fa, fc22
6cc6, ea2a
709a, 8673
9e22, 9cbb
f382, 30a8
dede, 2e9a
d694, cf9a
3b75, ed7f
e7b4, 1a22
6cfe, bc6f
3458, 27ff
9e91, 262a
a77d, c1f8
3018, 5cc6
f8fe, 41a3
fd73, 6518
48d0, b06f
e994, 2adb
1d44, 9894
367c, 494d
5821, c2bb
f407, b407
b0f9, b035
f134, ae83
e45a, 0554
f67b, 7e50
ed65, 7422
10f3, b97b
cd97, 3272
fffb, 6357
0f5b, f6f2
97a3, ee73
367b, 474d
d29f, 4942
e015, 080f
296a, b0a6
dac6, 5a76
e8b1, 5196
edec, 7841
d92e, 9f71
80c3, 760a
0165, 9ea1
e94e, 79c5
04f1, 6e37
20fd, 2d9c
2605, d191
7866, ce62
6224, 07ca
02a8, a8a4
3a62, 4a62
4733, fdfb
687a, 887a
6556, b267
7d04, 8b7e
f0bd, 7042
600e, be23
929e, 165a
928a, 4abc
3142, e717
82ae, 12ae
f33b, 557d
174a, 853a
482d, 2ecd
6547, 1a8d
078d, 5ab9
a502, 7b5f
7a4b, a827
2941, 4f8f
c6f5, 7af5
7888, d3d1
e590, 5a43
6bbc, 6b5e
90cd, f603
72b5, a412
0209, 03e2
0c5b, 096c
0a3b, 4496
01fc, c2eb
2b92, 216d
098a, c850
7ce8, 72af
e646, 2a5c
ac02, 7267
9c46, 0fa7
de43, 3da2
a49c, 6067
8954, 229a
4f53, 578f
2502, b36a
3054, df70
34ae, f5ac
47cd, 33c8
34e1, 9e34
c552, e17d
2f5a, 20b7
bf43, b507
bb55, afc2
3344, bb4f
f967, 3c4b
4464, cb65
da1d, d9fc
bd79, e8a3
d0b2, 7cc7
182c, 2648
0ab8, 3ba5
d1d1, fc6f
8811, 5f1a
fc3f, ceec
d7bc, 99dc
50db, acab
7228, 3d6c
b8cd, 929f
fd4c, 8899
9e6d, da8f
12a4, 915a
b85c, 054d
8be7, 56e7
f28a, b441
c010, b2c9
25b0, 1044
2bdb, d0bd
b3b2, 1363
88fd, 940d
bb67, aacc
9c1e, 56a8
2832, d70e
d5ae, 45cf
c7bc, 50c5
fd6e, 1065
6927, 7427
a53a, e20a
f7eb, 2bf7
e425, 14a2
3064, 2b58
2b5c, 8a0c
c47a, 7ea1
6aa0, 6164
3a33, 74ac
d27a, 3c07
c1df, d9da
843d, 1d34
a0f0, d938
9419, 0482
1841, 9641
ddd2, e680
777f, cb70
2add, e873
3569, 69f8
7319, 7b85
9a42, 7e61
2638, 90e8
f6e5, 18bc
3298, 9bd3
df5b, d12d
3075, e802
020d, f38b
7311, 41b5
9aa7, c0d8
de6d, 7b62
b2f9, 720f
70c5, 1c1e
8292, c960
d9f8, 4fef
f730, 7730
cb46, cccc
361f, 8d26
9fdd, 6b62
3783, 4909
835c, 30e5
cbd0, dc78
aaba, 25bf
9630, af00
c843, 1343
76b8, ef60
5610, ee0c
4a32, 3cc4
ae79, 0bab
044a, 1095
4c40, 4b19
01af, 8a1b
b279, d34f
f8ae, 9fe4
f424, 73b1
c609, c062
6b36, cc4f
7a18, 75b6
c547, 5eef
65fa, 7299
c75f, a29e
da60, fb44
4d5d, f8ed
ad72, 3e75
b2b4, ba86
b346, 8b49
b610, c117
be22, 60e8
3c39, 69b4
e5e2, 79b1
95a5, d580
231e, 09fe
dec2, 58a6
03e5, d662
a9cc, 9ee7
4dc8, 5b44
897f, 5edf
090b, fce2
2abb, 5226
c460, d568
e010, 801d
eb41, 30f1
6054, 7d5a
3751, 6ce7
74d0, 828e
dcfb, dbd9
bf6f, c71f
b53e, d9fe
5c67, 6c3f
e62f, 8b4f
df32, a470
04ee, c902
4d7b, 7e57
e7f1, 226e
89b7, a9b7
1b2d, 61cd
2e66, 706e
71d6, 1186
f252, f388
6a7f, f5d2
5b58, 5bc4
4418, dfbe
ba17, dad2
1e15, 87f5
9296, 5585
a2f2, 1206
3d56, 3682
3675, e6ff
a90c, 001c
4980, 88c3
6529, faaf
afe5, f4f8
f8ad, 6d32
9fb2, 3275
79ee, 5e27
1c76, ad7e
2ca8, defe
8c20, 6af8
d018, 9233
f4e2, 1e88
c80b, 5a0b
8842, 5e92
10bf, 8ede
9972, fe13
2551, 0291
12bf, 9f9f
2a47, 9c97
36ff, 96c5
2ca0, 92df
ece7, e92c
a790, f815
ef6a, 3fda
9f89, 999e
c893, f348
3fab, 38de
627e, fbff
5d3e, 5d77
1fa2, 6265
e1dc, db86
2fe9, 2998
d785, 5076
f831, 9687
7f06, 3ad3
d4f1, 0a3e
8712, 5ed2
eac0, b59e
543e, 970f
340f, ddc5
6446, c5ec
8a0e, db5b
84ee, 3438
b86e, 344c
1a42, aeac
ad6b, 01cd
d7ce, 46f6
d568, c460
547a, 8e6a
aa1d, 6d16
a9d9, 0d55
c1df, d9da
90f8, 2d05
02ae, 8739
e9d1, d65b
f34a, a4e0
7ecb, ef93
5bcd, 5f51
c3aa, a032
32ad, 56f7
f8d6, 1a0e
6f7c, 6a8c
480f, 01fb
a5d5, 97d6
b6c8, d9cd
9524, a03e
7ac3, 352c
2018, 530f
ef81, 220c
9fc6, 1f99
8ec1, 5377
9b8a, 3038
1985, 7ff8
456c, c1d3
fd39, feb6
e3fa, c1a0
7c8c, 5803
6f6d, 91f0
d663, 86bd
04bd, b76d
3507, 5144
2ef9, 1155
d6bb, e0aa
f22a, 0e61
f682, 26a7
93ad, 1ba3
db67, df5a
f9be, 3e26
7d5a, 6054
c6c4, ad4f
61ea, 974a
7c83, b648
fc05, 79de
9556, d5ba
228f, 6216
b22f, 422f
5c25, 712c
e96f, c5a7
ee26, 0560
7011, 7bf9
a100, f100
ce3b, 5a7d
eaf1, 3cfa
a4de, c879
9eea, 13a6
b9b5, bf1e
c39d, 6901
4ddd, 3d67
cb01, 904f
0db3, efb0
b0b8, 76cf
657a, fa38
06ae, cf87
1533, d30c
3175, cbcc
7474, 250a
7ec5, 89eb
0e04, 78eb
f251, 4557
3b6d, bbca
bc70, 1f59
956f, 6452
5ee2, d449
3de3, 9a40
fae3, 6ab3
3278, 6218
8c3b, 5c5c
91e9, d4b4
b84c, 5940
0051, 669d
91e9, d4b4
e8d0, 7d1f
1b88, a6e3
e9ba, 152f
7f31, d63c
42f6, 07a0
7514, a5aa
55cb, 2b1b
b4a0, 5a35
5b9b, 8bfb
78cc, 0760
d065, a0bb
0c62, a1cf
eb69, 3bd9
9e53, 086f
6c60, 9bea
3ac8, dba8
12dc, b607
7463, 575c
d9da, c1df
99e1, de7f
dbd7, 316b
c552, e17d
a18d, 79ff
678c, 9b81
39b7, f2d7
bff0, a171
b102, 7aaf
df47, 47e4
57b4, fa22
d418, a61f
04c7, 67c1
671b, 1b03
fe7f, adbd
84cb, 6a2e
727b, 8105
be68, 3e68
a597, eee2
4cef, 85c7
30eb, 6e5c
2f72, 991e
41a9, e963
da38, 7345
5cb6, 71b1
4b53, 8db4
21c4, 2111
852e, b54c
8ce4, f241
81b7, 85ba
2e9a, dede
8189, 72d7
0ad0, 060f
35ee, c141
6849, b802
f75a, 1532
0e9e, d4a0
46d4, 8731
cf9e, 820f
c70e, 1bf1
c2ff, 14f6
16a2, e41e
1f2e, 4f25
a6b5, aad2
ee1b, ac5c
dadc, ddf6
a3be, 1a95
03d4, 0861
c41b, 9f83
c1a8, ad29
d602, a2f3
d815, baa8
7931, fc89
5b05, 304e
26e2, 2d6a
8f11, b48e
c8a9, c476
7940, 7484
50c9, 3bf7
41ef, 29a1
ca10, 5880
f07b, 0d16
f5b2, 946a
3dad, fd1d
aa69, 0a29
7ae7, d052
c328, 0a6b
027b, 1b0e
f523, 4420
24a8, 0b15
7988, a7f6
8781, b2d3
b3ad, 6973
c783, 6197
4280, 995a
4056, 40b7
a491, b354
c403, df74
74fe, 4fa4
f9f8, ff92
4608, d690
eb0f, c00b
c3d8, 1654
40bf, 725d
ba1b, 3a7e
7562, b451
2d32, 0e15
74cb, c00e
f076, 49d5
5fe4, 9e50
7d0e, b8df
7563, bede
306b, a8c2
39e9, 6766
fc89, 7931
42f0, 8881
f23c, a61a
a8be, 3560
ccf3, a710
db61, 2fea
e38b, 8b21
b6f5, d208
787d, 8805
581a, 8d1e
ecd8, d116
4f05, dff8
7dfb, 6084
070b, a139
4b62, 6e3e
60c6, 70ae
83c8, f123
ed27, dfce
5a55, 7320
0493, 5228
b152, 31a7
8428, a0a2
5a79, dac9
cdaa, 7f3d
3419, c405
2d54, cd6a
5dc4, bb60
5cd9, ac53
96e8, 2dbd
c26c, e902
f25c, 1f04
b8f5, 92ab
23c9, 2e27
6c3a, 84e6
595e, 67db
b2f6, 38c0
2834, c975
b88a, bc06
64ec, b07f
3f60, 1dbd
4c6b, 1342
42ba, abb5
fc54, 95ad
be2c, 031c
7848, 332d
31fb, 1e00
b0e7, 7031
329c, bd5e
78ae, a875
f749, 8dc5
37cb, f961
f98a, 418a
d0bc, 9033
45db, d6f2
85d2, 65bc
b0d0, 5cc5
cc12, aa82
9cf1, 437b
674f, 724f
4973, 1239
5a26, c64b
e9ac, 69e5
4acd, de80
9aca, a3ab
26e6, 5cd0
2370, dfcb
fb15, a80b
d049, d0c1
6942, 049f
4524, 558f
d499, 5839
2458, b3c1
9e5a, 40a7
0e80, 692e
69d9, 0a35
44f2, caf7
875f, a4cf
dfe9, 7369
f608, 90c0
1974, d196
e988, 3336
ca4e, 7b08
4e82, 69d2
e08e, 934f
bac3, c7e7
34b7, 094b
50f5, 8b45
1a17, ead2
d78a, 9dc7
fdf3, 4bcd
b2bd, d20f
f459, a134
9771, 4b0c
5722, a5ae
e0e8, 76b4
b8af, 0f15
4d96, 2e7a
06fc, b03a
bb13, c515
8d19, 8cec
9064, 8160
9c31, ea8a
f6f9, f871
8cbb, d089
1ba4, 9bd2
c412, 7f15
d892, bee5
1a62, 16a5
ad6b, 01cd
bd15, c513
d0fd, d69c
f9b8, 7bf6
1a74, 4d34
6839, 7882
f545, 142c
bc96, fe4c
5e2d, 88cd
26fd, 5037
73d6, ced5
6ff7, 0830
6787, 9b10
3232, 0587
ccf5, bb45
e2e6, dee2
8538, 3555
f5cf, 7c62
9438, db73
5438, ee0e
df50, a6ed
22f4, 5abc
80e7, ede1
9ffb, 5400
9337, f3b2
905e, 20ee
96cc, b94d
5c75, c07c
a20c, 0068
931f, 1eff
e78c, f97b
b515, 1254
7547, b2ff
c959, 1b7f
4388, 713a
1ced, a985
36e9, 3d3f
2287, df65
b734, 3184
88e3, 6fb3
1108, 18b5
18da, ba83
210a, 181b
b5df, b11e
3035, 6cab
7add, 7ffa
ade1, e4ec
0f38, 4c75
0bf7, 9cb3
5c00, 790d
6662, ab63
c5b9, 0ac6
1dd0, e740
6e0d, a4fb
2cdf, e908
2c4e, d74b
f446, 8a6e
a674, f48c
3dfe, b04b
e52a, bc29
1bd9, 016e
d2ba, 4ce9
7b9c, 8b0e
1241, 8c54
71c3, f787
1f2d, a3c0
5318, 4930
433c, e61b
6816, 667b
78ba, 63a4
0b4b, 300e
cc92, 6036
39c9, d7a6
a0b3, 6dbf
e072, 56c6
bbcf, 6068
c0a9, 57de
d946, 8133
5e5c, adb2
28ff, c88f
03eb, 5b5c
c930, af97
79ae, 0a33
ec1d, c5ef
09de, 0533
661e, ca73
8187, 1b73
8ea4, 58d7
333f, b46d
f498, 4428
ae8b, 0384
6843, 6501
3e66, d6f9
3456, b13a
ed67, dd5e
e5bd, 40e2
a8e0, 7caf
70d0, b72e
5c2f, d5c9
aa5b, 6496
c3fd, 049c
527b, f707
4de4, f854
7364, 68d1
c30c, c64e
9b05, 4c44
f331, b93b
4be3, 2633
3693, 0b34
d2ad, 7395
6310, 38e9
eb08, 5d4e
4e83, 7134
b95e, 804c
a19c, f19c
47e9, c312
708b, 3021
6ad6, 35c0
d048, 4693
f888, 6d2e
d315, 5715
15f1, 5133
4139, 2fa0
2bdd, db38
300e, 0b4b
bc79, cad6
2596, dc02
f893, 7938
8252, 2383
5474, 8e64
e1a1, bb8f
0630, 2573
b8b8, 3858
3548, 3ac0
7854, 1d15
0b41, 7ec7
70e5, 5eeb
6e8f, c1ed
43c9, 9bc1
42d1, d3bb
0e1b, becb
416c, 1e42
fa2b, 1cd4
9bd7, 43e4
95a2, 759c
9d48, 77c1
b815, 6965
d406, fa0a
375b, 6f75
aef9, d0f6
6dcb, 7928
3fc9, 6f29
c7c3, 68a9
185e, f452
5b29, 3007
49f5, c8d4
ffba, b4bf
0235, b938
3d02, 9d2e
296a, b0a6
33af, 8494
dc36, 97ba
f6c1, 46c9
cbfe, 059e
e90b, 5865
ed5f, 5b52
ca53, 5bde
1bfb, cb9b
ae5f, 0729
7458, 5ae0
f6d7, 6f3c
50a8, 9f49
762e, 3e6f
2df4, e6d3
4cf4, d501
a35c, 1734
a1b0, db2f
9361, fd71
335a, f050
4e67, 4e66
fd6b, ae8a
a5fd, 41fe
a3c8, c1e8
ad46, 0226
0edb, 434f
cfd7, 9632
227e, 2e4a
51da, ec8f
8be7, 56e7
dc97, 260e
bc0a, 784e
502b, 47fb
82a0, 0f17
e319, 1b92
48fb, 7afd
48ad, 6062
97a9, 8719
a35a, c8f1
ec62, 736d
73d2, 122f
7d81, 0651
c515, bb13
415d, 2aed
d47a, b771
93ca, fc63
56ae, cf89
dca5, 5ef6
d2e1, 98f4
67cb, 4157
76cc, dbd5
8e95, 04ad
4ed1, b1d5
3840, 8f9c
6ef6, 8ca5
ab7f, 49e7
f018, 0a75
5642, 0f9f
d0df, 4622
051a, aada
8812, 38a8
fa30, a455
3958, 6c8b
d87f, 1079
78c9, 641f
368e, 3dac
c378, 6527
5dac, 376f
ec3a, 69e1
a072, 237a
ed78, 5f0f
dfe8, af63
1ac8, 942d
cb51, d85f
c57d, 08d3
027d, 9b8c
0cbc, e3c9
67a5, fb39
9c04, da01
9336, 1bea
2068, 5743
3099, d458
0185, ced1
a9a4, f1e6
e976, a936
25e6, d7a1
3220, ba23
2ac8, 8885
96b7, 57e1
06ee, cf97
c52f, ab4e
454f, 4149
0364, 68d7
e0f0, 5bd6
9fdf, e2fb
38de, 3fab
5ea8, 7e88
7422, ed65
e258, 8c35
9bb2, 7450
1807, 6ddc
1ba4, 9bd2
f1a9, abae
9aba, f6a5
97b5, d250
2e01, 902a
6858, 88b8
1da3, a0ae
16db, 46a5
4ee3, bebf
2664, dd5f
12c0, ceda
5ce6, 7264
df30, 8610
a47f, 76f5
fd62, 48b4
6254, 8a5a
758a, 2d56
6c4a, 155c
bdac, 8d3b
56f4, 3d01
19a9, a51c
ec50, 2a8c
8c5f, 67d1
d2cc, 26f9
6386, 7ee6
deb2, 3468
4688, 86b7
9af6, 6f6a
0291, 2551
1053, 55a4
4c78, fc70
f2bd, c706
ad82, a3d6
96ea, 18ea
9aa4, 31ca
1210, 9e35
c0ea, df8e
dd70, e1cd
3c3a, b934
6ca7, 1171
c8d5, 7266
3c8e, 54e8
d7e6, c9b6
c468, bbc7
e3fc, ed1d
9b45, 097a
a790, f815
29f6, 4746
fe80, 4080
3183, 2999
4346, 6e55
0133, bd93
1815, 0213
c141, 35ee
0314, 8996
d2e6, a9a8
2b48, 960e
4ca1, c0de
5580, 8a8c
179f, 30f4
4491, f77f
2896, b729
1d9f, 9239
6e7f, 82be
8e45, 72d0
0a2d, eac8
ca4b, 5efd
2fb3, 2773
e7d4, f589
9f6b, cdb8
d578, 8611
259b, 50ed
2bd4, db32
ea26, 2f95
fee4, 43bf
f83d, a6f8
53be, c66f
863a, 96f5
5592, 3af2
942a, d92a
749c, c30d
da82, 286c
1687, d493
5b1b, d17b
f6f3, 9bc0
bc09, ab93
71f4, 95e5
01af, 8a1b
b0c2, 6063
6e01, 638b
15d2, b5c6
dec9, dec1
cbbe, 9aef
4f8f, 2941
5b6a, e0a7
1353, b673
614b, 533d
6933, 723e
b684, 70ea
7c7c, a01b
5d7f, eb75
8326, f765
15dc, 34a5
842b, 6ace
7900, ecfd
1c96, 0be6
7bd0, 50d3
9f57, e7e1
1244, ece4
feca, 40c2
4294, 7ed2
2c65, 3607
0596, 2b1c
0e57, 180b
39ad, c09b
1273, 2354
7f08, f18b
3099, d458
cf7c, a32c
c815, 5f35
29f0, a1f0
e32d, d2dc
ded7, 0d30
62f6, 74ff
081e, bfd2
818f, 75ef
1666, 05b4
c8ac, 136d
fcb7, 9166
4d25, 8602
6a88, 1d32
bd50, 4173
4ab7, 4cb7
b8ee, 386e
1945, a349
660c, 509e
2370, dfcb
de8f, c3df
0e4f, 5028
4d26, f621
38c0, b2f6
2241, aa0e
277e, 4ef1
0bea, b63a
5e22, 7a71
21d4, 1cb9
ad19, f1a8
1617, 9051
5c38, 8389
71c9, 6da9
6188, 5489
6812, 4ff0
25fc, 63f0
3c33, fa97
a976, e936
2e17, f1be
e556, d5c1
dec1, dec9
0974, f3cc
996c, d9ab
eac8, 0a2d
7e39, f733
3a85, 615b
0b50, 7789
ed8c, 78f1
33b3, 8b60
8813, 5fb9
b564, b658
8d64, 9b60
f34d, 8a08
f4a4, c30b
682b, b87d
a52e, 9e63
e7ba, a12f
d2d9, 5373
b512, 15af
2250, 47b5
d691, 08bc
3645, 8df3
5712, 8447
4194, 9e7b
8a4b, 649b
7c43, 7234
5838, d115
23e8, 0ae1
dcf0, 3860
9197, e03a
