1f1d, 4f10
07c1, 1f1b
e022, 41c9
e486, ba38
5f76, 0f35
738a, fdc3
76ff, 0d83
9ce8, 29ab
0235, e809
c0a9, 1301
ba97, 27ad
f32b, ce7c
8925, cb0f
12ed, dba5
a186, 7491
74e6, eb2a
8eef, aa04
b188, 3abb
5574, 2532
53f9, 3e96
8543, 3a20
8339, 5356
28e8, 6581
0b5a, 66e4
8ac4, 21b4
2013, 8a29
0726, 19d6
7367, 63a1
24da, 0a1f
eae6, 1360
2260, f150
ff5b, 4d5c
1572, 65af
65a1, ffc2
3ec2, bb2a
e157, b103
3986, b465
b197, 01f7
23be, 431a
828f, ba3a
9831, f687
c479, 8aad
6715, 39a9
b22b, 822c
4fbd, 49da
01bb, beac
46e2, 3957
bf33, 31c8
b506, cfec
3a0b, 455a
670b, 12fa
8497, f61f
7278, ff75
047d, a96a
8c64, 61e2
9918, 42c3
fbbb, 46cf
743c, 75d5
6048, 74a8
9669, 0c2c
cfe9, 52be
38e3, bfb3
0f63, 7663
b1b1, 8fe8
8b80, 6708
2af3, 5d10
ac29, 17f4
65d6, c3ec
cf45, eb02
e1b9, 1382
431c, 2e2c
151e, d3c9
142d, d032
2349, b8dc
8c10, 31f3
e51e, 0405
07a2, aed3
81c1, d136
9e30, 27fd
914e, d14e
00e1, 660d
ead0, c037
cbb8, 4cd1
620a, a005
b6c2, e36d
bd35, 4da9
5f03, 6ecc
ba5e, 9291
1995, 492e
9dc2, 6248
6cdf, 794c
a7f1, 05f9
1027, 6b6c
1a8f, 65ff
5be3, 5b2a
c4ed, 3021
fdad, bdd4
860f, 8649
30d9, 2678
5de8, ed6d
e59f, 597a
fef4, 4b04
a50c, 8e54
a478, 70fe
27a5, 49b8
66cc, 157d
27d7, 4964
84fd, 989b
5e57, 8e57
7dcc, ad1d
62b0, d499
ad82, 6a3e
8ad7, 3a39
899a, 9f74
0f79, 9976
0a4f, 1cef
2ca1, ec77
8f3b, 663c
6036, f3ac
9ebc, 10b5
ce7f, 89ce
76b9, a665
f28e, a955
f458, 6f59
6677, cf8a
7712, d697
4b1e, 7ff9
596a, c96a
6bf5, f71c
fc09, 9a74
7c76, 6c22
be96, da63
2e2f, d9b3
8bc3, 56c8
2a48, 1c4c
985c, d38d
7aa6, bc0e
7e89, 6e59
e2b7, 961c
8898, efe9
55e7, c247
80ff, 5df6
8b3e, 8b77
f455, a988
77c8, 07ed
0b88, e113
a7be, b6f9
35d8, de4e
d871, c833
3763, 93b2
7514, c29b
526c, e9ad
7eee, e0eb
82dd, 826c
8bd0, 6a67
eb94, 5d0b
4697, 03d0
327a, 5977
4fb0, 413f
9434, 15a8
6403, 8518
785b, f5aa
c061, de69
903e, 8dda
6373, a27e
c284, 7f57
4662, 9842
6bcc, a814
9c25, 1606
9b5a, 7e29
be8b, 0ab0
5f8c, 6aaa
b6c5, 4987
cff2, 4e11
b0e1, 80f8
9eec, 4c70
5f1a, 4cde
846c, 32ad
641a, b221
c33e, 53a9
266b, 26db
bc4e, 1257
61b4, b07a
269f, 4e21
d08f, 43e5
95ef, 48bb
60fd, bb57
f2bd, 3642
2ced, 80b6
83be, a624
a381, 67ec
0462, 438f
58f3, be2b
7cf7, bc91
31a9, af36
89a9, 78a5
73a2, a72d
49a2, f523
4a27, f1f2
43a6, fe37
2d78, eba9
7fca, 3b22
43d7, 80ae
f3e6, 86ac
43c4, 2450
fbdf, f334
fe7e, 96d2
22f9, 825e
c0ce, b175
f899, a93f
5558, 575e
5c71, 2c36
330a, ef3b
2e4a, d9e0
a30b, 07f7
e88b, b5d4
42e0, a04a
d8f7, 3fb9
82c5, 652b
c86f, dfe4
da1e, e1c3
6068, 60e8
b81e, a91c
d5e0, 3346
7c45, 61d2
ddda, 1198
630c, 0f72
94c0, a3ee
071d, 4ae7
f003, 1172
d533, 332d
3fc3, 473d
7970, 9ae1
d7c8, 2f01
17f1, f179
7d76, 06ae
b915, 6780
152f, b54f
1177, 5f3e
ae51, ee5e
b567, 60d3
b0ed, ef44
120d, 6f9c
4c60, 1e92
ba4e, 5a40
2584, 0f51
55a9, 7879
452e, 15cc
4112, f9ff
8932, fd59
48f9, f94b
21e2, 3a24
fd0c, 5b00
0dbd, ef68
610a, b544
c1a4, 5778
e148, 2b3c
491a, ce2b
6e61, 9196
ffc4, 1dac
452c, d170
0e7d, e352
6a8f, 8164
8891, bd30
8421, 819f
a2b1, b747
b866, 578d
83a1, 3714
26ed, c850
da17, 5aa7
9b38, db38
3933, 940f
65e2, 646a
b97e, 61d0
b060, 6b42
faef, 463b
683e, 96f7
b100, 390d
858d, d395
a69f, af24
d630, 7794
0f79, 9976
a014, 0ba0
8aec, 2ff5
e7ef, 7a5e
a6af, 111c
5960, c960
a6b6, 01d3
7beb, 73bb
7d50, 5f5d
68f2, 88f2
05e6, f509
0a68, 1bb2
95ef, 48bb
b10e, a401
9b23, 3f74
ef36, 8382
0a84, e98d
1bc2, 2e16
b865, e428
1ba9, 6035
b22f, dcc8
2e8a, c713
f689, f8a1
8b19, 5ae0
9299, fa41
0757, 71b6
c6ec, 1d8d
d2b1, 9cef
8fef, 718d
4f27, 2254
eefe, 681c
54eb, e95a
3fa0, b8d0
2a7b, dacb
675d, 338e
f269, 4456
0c60, 09c2
5910, d5e4
a9c2, 096f
7165, 7046
6423, 8243
9858, ac08
6386, 0e93
9a4b, 149b
09a9, faf3
9281, 94c5
2d6c, 9bdb
c52e, 0dc5
d4c2, 37b2
3274, 5971
b74a, ab15
2baa, c103
6572, 41ef
f597, 9446
343b, d884
49c2, 396f
9dd5, 98ba
eff1, 588c
80ef, 3b32
73b0, b64f
2842, a8c2
dd42, 9e27
3c93, 90c0
2cdb, 20f9
b9fe, 468a
cfab, 0639
6a1d, 8278
4728, d614
4267, 4761
75b8, 43b4
d7dc, 9c53
2293, f367
2cb4, 16a3
cdcc, 7527
1fa5, a770
07b9, 4f56
299b, 91cb
db38, 9b38
ec8f, f860
ff28, 14b3
b6bb, 3865
dbbe, 3a1e
1d3d, ed1c
6e38, 4d69
d9a1, 94a4
ce42, 94b8
27be, 491b
7511, cad1
6d8c, 8f8c
d5c4, 1a96
f09a, fcb8
fb25, 090a
2387, c10e
3f37, d830
ea79, 3112
80f0, 8a50
925f, 129d
b55b, 49f2
9a13, 6d10
deda, 1e1a
9d61, 16e9
72ae, 62d2
fad4, 542e
3866, adf7
2f14, 99cd
2403, d039
5ff9, da22
9156, 9cb7
0e1f, 7fb5
d84e, 2e08
dfcb, 7427
61e0, b76d
6943, 8f83
1912, 9882
d729, cb2b
6c6e, a95c
b735, 8c3b
c547, 589e
b0b1, 9875
17c5, 13b6
576a, d534
5ee6, 8386
853a, 55fe
d73a, cc34
c9b7, b420
b573, 6af3
efda, 58d7
bfa8, f62b
9458, 5d66
4a02, c477
7e38, 9569
87fe, 6a6c
1fbb, 8a5f
2e5c, 9a45
81f9, 3fb7
38ec, b6ec
81f3, 3a57
dab7, 5174
df56, a472
afa9, f229
9575, 16f6
bdde, 1c2c
d500, 2da2
782a, 8bcf
665e, 5228
db4a, 51c8
7d0b, 0d9b
dc4f, 9a4f
e4cd, 3a4c
cbf3, 7545
5980, bfb9
d2cc, 76c5
48b3, 9ea8
7ab1, 004f
22ae, 58a2
99c1, d977
786e, fd74
9bb8, 0db4
d7bf, cd79
c125, a097
594d, cec2
6ca6, 0237
e66c, de75
a406, e5ae
b231, c3eb
13fb, fb75
04f3, 2813
4eb8, 998d
0c18, fc56
49fa, 7581
e8dc, 963a
f9d9, 7ca1
b8e0, 51d2
e408, 90a5
3d43, e043
93cd, 9600
4c31, e720
f3f0, cbc5
e54c, c9d1
b7a8, 345b
6533, 5439
9dfc, d6f0
51dc, 0878
dee2, b4b8
5fbf, 84f7
16ac, 4d9a
a9cf, 6f73
d6ee, 403e
37bb, 7f0f
170a, acc9
90e6, d248
1f94, 9d68
57da, 7cdf
9af6, d5ff
6dc5, f131
9c53, d7dc
08de, fc74
19f9, 4015
3998, 6948
0551, c2cc
4c60, 1e92
6932, 90af
8778, 67f8
b3cc, 58f8
77f8, dbf4
5f78, 3e15
d164, 5124
6fa1, 2cf2
7d61, 7b24
ed9f, 3092
97cf, 39b2
33b8, bee0
abb1, 2e69
9d50, 84d7
2c04, 26f0
2868, fb0a
ea1f, 5022
779f, 6292
4272, 32af
546b, e7dd
75cf, 9ad4
28a5, d3b8
277a, 2227
f5e4, 1bfa
7d0a, 84ab
304a, 6e9f
600a, 7607
f598, 69b9
339e, 37e5
120b, 98f6
7962, f2cf
e8d6, 5e62
3776, fa13
1c64, 7fbe
25d1, 766f
5470, 2a3a
c730, d986
e92b, 81fd
ce6f, 62b8
d328, 7517
1621, 7ba0
359f, ec92
73cc, b31b
17d3, e7d3
9523, 3a6f
bca7, 6e1f
b382, 685f
1a29, 84d4
cab2, 1c69
429f, 3f95
14c3, b7b9
098c, 7fa3
3d1c, d510
0cf4, 0a91
54c9, 841f
1450, d6d8
e896, 4b25
0971, 510a
5f03, 6ecc
310f, 3e64
00d0, 5908
0bac, a017
3497, 1672
5141, 8cf1
a931, 0a49
048d, 0fa8
d554, e100
338e, 675d
8d34, 3de7
c051, d357
706e, 536c
9d2f, 1ddb
470e, be7e
b30c, e872
7619, 0801
ca1f, 088a
9453, 6d9a
db3d, 3a9d
9573, 6670
cbee, ae6b
99e2, 6922
3241, 9814
cbab, 540d
3c60, b9a5
8c94, dd9c
b58a, 843f
3e6d, be6d
4ff3, 3dc9
fb49, 40c6
0e39, bee9
6866, 09d3
b0c5, ac1e
d571, e536
19a0, 869f
2490, 494b
5a29, a7d0
8594, 5684
bec8, e73b
597a, e59f
8723, 69c3
e416, 57c2
5ee6, 8386
71c3, 1a16
fe4f, 916d
a1ea, 2d09
efbe, 1614
3393, 09ab
b941, a4b7
1374, f00f
e6f5, 06e4
1ab9, 2aef
c63c, 3d7d
5bbc, e0e5
983a, 1fd2
d144, 5144
b413, 68f4
c5e4, f959
ee81, 58fc
ce81, 798c
beb7, 4149
4a0c, 46a9
9087, 1e86
3a2a, dcba
cb00, c64b
3bb4, e0a7
b39a, 8e58
6e01, f06a
7e65, a069
ab09, 0e3b
c40c, a3e4
b85c, b6b5
b8fc, 65db
206b, 2bad
ba7a, d8c5
c062, d800
ca6b, 24e6
b38c, 016b
c385, 33b6
fc84, 442e
0bbf, 8177
b60a, b647
ff4d, 0334
1192, 9cca
8de3, 478f
c807, a857
042a, b92a
0e9b, b807
aa91, bae0
feb1, 127c
a00d, c69c
3426, 48f4
ce6f, 62b8
9905, 6375
1a84, 2827
8842, e0d2
68fd, 140d
9464, 486b
3b25, 3877
b3ef, 72f2
3473, b51d
d3e5, ceb5
f18a, 4978
2a71, 55d7
613d, 7a8b
889c, f08c
ecd4, 8a39
6246, 77f2
2155, 6e98
00cb, baae
fdb7, 8c73
d34d, 7219
68f6, 7fff
341d, 67c0
c969, d756
0d75, 7028
2446, e89e
1631, 9bb7
862c, fb3c
e24c, 2ef0
d898, 8612
9384, fb3a
5706, a3f5
8550, 30fd
928f, 6226
513f, 1fb0
a1f8, 9f53
a48c, d4c9
0454, 8c70
4aa1, 9539
c184, d734
6692, 7aaa
106a, 60f6
ddee, 4b35
c4ae, a5c1
6165, 2ea1
830b, e01b
d9ef, a352
2abb, ddc7
d967, f0d8
b741, aa56
0e70, 5133
6304, bcd7
fb69, 4eb7
d749, 3483
69b4, c506
2a3e, 714a
83c4, 632a
93ec, 49f0
161f, adc6
e277, 53ba
6f27, cf98
0fef, a53c
0e12, 1abb
8924, 8a99
fc61, 2e0f
7372, ef5e
ddef, c361
727d, 160e
7594, f288
1659, 3732
63e1, a9b4
91cb, 299b
9e19, ca73
0699, 6c24
6f8e, 9d07
e99a, 52f7
4208, e9e2
fbc8, 1e40
c497, 5a57
fd6b, 4dbe
278c, cbf1
9fb4, 96de
7e9a, 6ba1
8c76, c909
7694, 609a
4355, c3d4
63fb, 7d74
9a4f, dc4f
656d, 0418
61ef, aaf9
5902, 5b72
1964, 7592
2f28, cfc8
6875, a97b
bc78, 3970
7b87, 6b87
6cc0, 3fa8
b6c0, cad4
b60d, 7d51
4fb0, 413f
1564, 1db2
36b4, 2b60
8715, 6c6a
5cd5, bf71
309a, 6392
4dcd, be34
715f, 1146
12a9, 9a23
d699, dcad
e831, e84b
5b1a, e6bc
9083, d038
0f8a, a4f4
8795, 2a6f
a69c, 0ef2
7cf8, 819b
7e4d, cc6a
3155, 8f0e
9a95, 2eec
4f76, 2329
c7a8, 537f
de21, fff9
3a2c, 8545
f65c, 411d
94fa, f272
ed16, cffe
d233, 304c
23b4, 26d8
5083, 9d47
9dc9, ee38
e74e, b08d
1158, 1ec4
9252, fa2d
9174, ead7
37e8, 796c
68f4, b413
f55e, 1d0f
e9fa, a5e1
52a9, c6a1
ba65, 48aa
1806, 9f79
7075, d97c
d49d, 999c
3012, b30f
0748, 25fc
bd16, ac6c
8fcc, 65f7
49e3, 24e3
ab6e, f6a5
f26f, f66f
12c0, 1e65
bf11, 081a
f007, bb7e
04bc, 5339
480c, 7b61
7399, 6306
73d6, cc48
9669, 0c2c
4a74, fcf9
4a50, 9a76
6a72, 91ef
0e96, e029
b59e, 554d
37a6, 783c
3609, 0488
9acb, 103d
893a, bc84
18df, 3284
8e6b, 26c2
6b5c, 33eb
9ba9, 6ef1
5404, 8f73
9f98, 3073
b2de, ced7
9b0b, 4541
7a8d, 6a3b
08a6, cfde
e062, f260
27e2, d054
f275, 90b7
eed3, 7100
af16, f7d3
70b7, 4875
c875, dffb
7d98, 8adc
e344, a2de
2f06, c2a5
0e03, 0f4e
dd01, 1730
c3d5, 6fc8
5261, c5c6
6b0f, 316f
7710, 9551
ae58, 227c
c7e6, 1f35
a241, 04e1
35e9, 69a4
546e, c859
94b8, ce42
e78f, fde2
f898, 3ac2
96ff, 3429
2f92, a8cf
b76a, 8cef
220e, 0f7e
5077, 7e85
20d6, fe71
05b7, cac1
c455, 694f
6647, 6d0a
e7d4, 01a2
f68e, 5caa
29b5, 47c0
9109, d149
8570, 461d
03e8, 2aa2
8200, 4ffd
722a, 672a
345c, c22f
65a0, 551e
b210, a84d
2e21, 427c
cff0, b7f7
e58b, 20ce
c7ad, e5c9
c300, 71ff
94df, 448d
e003, 364e
ebba, dbe3
21e6, 10a8
19c6, 664e
3749, d565
360f, 8699
113f, f9a4
ae41, 9369
41c4, fc9f
0c78, 3c45
2b7b, 510e
a51a, a153
97ef, 672f
1887, 1d71
930b, 6c0b
fab6, dae2
d070, 6297
13d0, fb83
5a93, 552d
1bca, eea5
b60c, 76fd
2ef6, c73b
8764, 11c2
fffa, 544b
bbc0, fccd
ddef, c361
e944, 5401
baaf, f5c9
e0d6, c803
6384, ff9d
943d, f48f
fc54, c989
b406, 0202
95d4, c569
c036, aaf3
6860, 4289
6daf, 91a7
cd6d, ddb8
4db4, 9d52
4c37, 7997
d29e, 686f
2203, 00fe
9453, 6d9a
4561, 24b4
e013, 18fe
a6f8, 6106
63c8, 593b
1a9b, cb80
46b9, 7725
82be, 1f82
884b, e384
1e98, 9e98
efc4, ef42
f14f, 9cc4
11ba, e70b
a5e5, 2e75
9b7c, 10fe
fe78, 1884
f5ec, 6202
2b4a, 06d4
8bd0, 6a67
7993, e46e
fb78, 1497
ba57, ff61
d8a1, d681
fe05, 41cf
01f8, 8c9c
4424, 85f1
eb01, 4c68
7405, 4e73
ec55, 8c8e
a101, b870
e40f, d51f
196c, 21de
59d3, f9d3
9bd8, 98b4
57be, 79ec
bf7f, 93c3
756b, c661
41be, be49
116c, c311
59c8, 59b3
6683, 1dcb
8b39, 86e9
4595, de5c
2c06, 08b1
3694, 50b9
1883, dadc
b052, c1f9
419a, 4bf0
105e, 8c67
123a, 55cb
d57c, 8e5a
c25b, 0841
4540, f4d6
5d17, edab
2f42, c8cf
eee1, 3351
fbe4, 4352
33c1, 99ee
3508, 967d
6ac4, a29b
74a5, 4744
bf2e, 9941
8912, f4f8
11c2, 8764
d892, c822
edb9, f46d
71ea, ea6b
8658, 3660
6251, 519c
ed20, 334b
c341, 4e66
f449, 1402
a620, bdc6
b6cf, e7a6
9767, 4261
9179, 7235
be88, 9db9
6778, 87f0
5e5a, 23ed
0808, 837c
e909, aefe
60bc, ad24
034d, 0cb8
c931, 0a96
7ccc, 4d51
8140, f608
fb12, 1e83
e523, 886c
4d83, 208e
b694, 009a
346b, 84dd
f091, 4397
b848, b70f
e517, 1bb3
e9e3, 34e3
617a, 662a
d36b, 91da
95bc, aca8
c5ec, a180
33d8, b0a0
ca09, 67ba
0604, 34db
4b04, fef4
3737, 47f7
9959, 3c2e
e86b, 4aa2
35aa, 7a86
681d, 5ce3
b3d6, fed5
3667, 3061
060e, c27b
27cb, 1205
de7a, a2ef
0f33, 5f7f
af03, d53c
a21d, 6e2e
60ae, bb76
0bbf, 8177
e4b1, a4d1
b997, c461
0fe1, a53f
cd50, dcf8
64ae, a8d2
568e, 8905
9d36, 96d7
e365, 00bb
5c59, e161
82b6, 64e6
95dd, 5979
9069, 6f8c
8b57, 964d
d019, 5ba5
fcf0, ac0d
1cc2, 6c6f
bf26, 8128
96a6, 950b
d940, 3840
39e5, e848
b47b, b45a
47b5, c5b8
e3d9, d3a5
0f58, 5650
dd18, 5bd9
5a8e, 8138
3271, e274
09dc, 3e93
90c6, fb96
671e, 6cad
f7b8, 1ec2
478b, 2280
d244, a926
5297, c557
2f22, 43c6
6603, a72f
9b6c, d6bd
23ae, eea6
dd68, cdbd
e502, 3506
a613, 0a13
84a8, 1832
9d34, ed85
3c18, 1667
4bd8, 96ea
e0cb, 302c
767a, fcdb
9e4a, 11b8
065f, cc02
c95c, 1307
dcac, d006
b93d, 9712
6e3d, 8569
e36a, 5411
9c9d, 639d
4895, b849
fa7b, 98a9
5567, 1b58
5d81, c3cd
a279, 35d0
ab46, 4366
9776, 7801
c214, f471
cddc, ab64
1896, d4ea
2bbe, 6afb
20a2, 651c
1181, c044
60ce, a175
f8ff, 3794
1a05, 4745
6d2c, 1510
8a28, 964a
9ae6, d9aa
cdf4, 948b
c7b9, d759
cf77, c53e
c353, d47b
b813, 2994
52ae, 0adc
4f35, 37e6
219c, 8d3c
827b, 6575
a493, ab26
e297, 2251
c812, af8a
022c, 1e9c
f65f, 1f64
4fcd, 23c0
3493, 9f4f
29f3, 573f
1367, f21c
cd56, a54e
352f, 4d28
3677, 039b
cd64, e06c
6530, e485
e793, d57e
53b1, 88d7
0050, 539a
e3eb, 0e65
a2e2, 2e7a
cf00, 5500
e929, fa63
848c, dba1
2b34, ae84
09be, 1052
5617, 7606
7f91, f28d
f336, 9037
4998, 2e89
2785, 41eb
eb18, 5942
ae2d, 56e1
567c, fd3d
ca95, 2d61
1c96, 01e2
0d61, ee44
a0b1, de66
f7b6, 2b0a
abb3, c5a6
10e9, 4839
0aa6, 67fb
bfa8, f62b
6dda, 9dd3
0539, 35d4
cd75, f744
a6d5, 5cc1
7eef, 587b
3b91, 97ee
6888, 3403
df37, 3930
580e, 8ef8
3a11, d5da
0830, c11b
d0e2, 4e53
2eb1, 036b
ca91, e84e
69c5, 899e
2335, cde1
442c, 9d92
6ed4, 78a7
1f58, 971d
1d2c, 6d88
479d, 801b
247a, ebe4
b1ad, 971f
bc78, 3970
e4f6, eb4f
063f, 2527
a863, 46b4
2519, 8072
9009, 2410
352b, 3a95
f859, 48b9
286f, cfe2
147b, fe67
b653, f0f2
677c, 8cfe
56eb, dca6
b533, 35dd
655e, b9d9
f114, 08db
0260, 3735
81e8, 67db
0d64, 1bbd
bca8, 6bf2
8809, 5b4c
9842, 4662
401d, f491
f0b9, 9e61
aaa6, 7bb6
0491, cc36
3a1d, 4dcb
2e9d, 07c2
cac2, b1b2
5ac2, 5302
0c88, b366
dcfb, f2d5
c89c, 01f9
56bb, 5dc1
cfb9, aed5
0605, c27c
2c02, 25ff
cc29, 17fa
8f0e, 3155
bb40, eb95
2f02, 780d
ef9f, 5fca
9705, 0ec5
3991, d937
c973, 9853
666e, 68ec
b4d6, de3f
4b32, 9bd4
b4a8, e236
27b8, dec2
bf19, 2081
0ec4, ed4c
9831, f687
fd25, 1695
c962, 0b2d
03ab, 9044
15fc, 94fc
f728, 2e87
43b4, 75b8
3ce9, cead
610a, b544
9aa5, 6806
20c0, 5c93
3d19, 5b9c
80cc, 5b2c
2889, 1229
2ebc, 4ca4
ae0b, 699a
38e6, 2902
3e84, 95f3
4ca8, 25a5
7647, 1e9e
3713, b9f3
91d5, dcb5
d0a5, 52f8
1a68, cb22
0b3f, 4127
2c47, d9c1
49fa, 7581
4384, 103a
93d2, 10aa
7e96, 6309
8480, c416
52e4, f032
8e0f, a999
84f5, 93f2
acd3, e4cf
90f1, ae36
5c5d, 4805
ba77, fa77
523b, c637
f20a, 3cfb
b976, 7565
6753, 02e8
e3f4, 07fe
211a, 66e2
0e8d, e7f3
87d9, 7dac
08ba, f9c7
f2d6, dc73
cc94, 0c80
b615, d16c
8d8b, 914b
3cc2, a00c
c6ba, 5b6c
d311, f04a
9e76, df12
5481, d2f1
e366, 6628
2e57, abe7
801c, 979d
6ac7, 7efa
42f7, 786f
ac3b, fc5c
060a, b607
0afc, 28fc
5ea1, 33b7
5032, 5b59
cde3, 6c59
28cc, 7221
37b3, feef
adbb, ebbd
931a, 14e2
4f1c, 2810
6ca7, cdd6
8fbc, eac3
3b66, c9bd
a0da, 2bdf
d3e2, 4358
0981, ca36
8ff5, 81ee
8214, e717
3d6d, cbad
344d, f7fd
2bd3, 1d24
5c82, f8b0
4891, 47b9
1f8d, bf51
fdfc, a6f0
abeb, fbeb
af97, 0772
001d, a4d2
9654, b475
b355, 3bbb
598c, 6323
5e3d, 7b8d
f035, b039
91da, d36b
3f69, 2f16
c8b1, 233e
66c2, e2d2
7fc8, b155
d666, a813
a078, 71f2
a413, 7b05
21fd, 8ded
5d89, ede9
bc45, 672c
d725, 947e
4e15, 6ad0
9839, 18d9
963a, e8dc
dab2, 374e
6beb, b065
9c6c, d077
68d1, 2102
29a0, ba41
fb48, fd73
e0d6, c803
7db2, 2a36
3b63, b3e8
de9e, eaa5
b1c0, b696
958d, d075
4cb8, 5311
b8ce, 84e0
f276, 72a2
dc06, 9a42
c0b0, 71b4
d92d, 247c
af7d, ff7c
7a2e, ac86
8ca6, 2fd7
9e64, 6168
c36d, 02b7
765f, d11a
c9d1, e54c
58df, 25ab
9122, 1efe
a95c, 6c6e
99e1, 11e1
3966, b959
31f9, 33a4
2071, dcab
24fc, 8ee4
bdd3, 6633
90ce, 7f27
06f1, 8ad8
dc90, 0574
f823, 7923
b43b, 0b2c
2821, f952
3762, 4722
ebff, c84e
267f, 0ffd
ca5f, c2b4
75ab, 0415
5e1c, 832c
602b, adf2
2c88, 2a55
2ff3, 2435
d233, 304c
be1c, 032c
4aeb, 2ef8
f72a, 1714
da87, e131
c9ec, 61be
c89c, 01f9
e281, 97fa
2625, 7e74
9414, 44c7
6c50, 696d
65f4, 125e
d3d6, 37b5
9f7a, a459
5daa, 26dd
e403, b450
b70c, 7ad9
1862, e982
d988, 40ce
2be1, ae59
696c, 8f05
e1db, 7f13
b664, a3c4
e5e6, a8dd
b115, 02fb
617b, efa5
04c7, 2fcc
c115, 7015
2379, f0cf
2f54, c8bf
e2cc, 41ea
9773, 4228
c94c, 88a5
7a68, fbb2
7636, afac
4ac4, bde6
d2d4, 97a1
efac, 3c1e
f5e8, cbac
5aa4, da14
cbf4, de04
5906, ce0e
72d0, 64dc
2251, e297
a740, 0164
94d7, 1aa9
434e, 5697
f72e, 1369
7b91, 6007
0900, 1c56
a8ba, c6e4
5d46, e0ff
5c98, 263b
b71b, 3cf5
bfd0, b948
5ed4, e867
24c7, d714
6802, 8802
3da0, 3627
f719, 1faf
9fed, fd50
bdaf, 11d6
57a2, 7782
553a, 205d
10ae, cdd8
1591, 9249
0758, 2c63
02e2, 546f
22d5, 9fa8
aefd, 01f2
c035, 0b5f
910e, d10e
9559, 29d4
fe79, 7633
9016, 0f83
1124, 0fde
cb8c, 103c
35aa, 7a86
4f58, c108
72e7, 1df5
2e55, c3be
f621, e700
37a7, e531
11ab, 4b79
717a, 2f46
8e1a, 95c6
be45, 03f5
fdb4, 3298
1001, bb23
5e4f, 8f4f
53e4, c0ed
cc92, 77d1
2bab, 46a0
5f72, befc
b3bd, 0d24
58e9, b820
7ff8, 8e1b
81b7, 1bee
5b52, 8de2
3f80, 8841
a517, 2476
e3ff, 5846
a3db, 07a1
1402, f449
e8f3, becc
8994, 9f12
6fea, f401
de68, c575
09d9, cfa8
c1d9, 1c62
2587, 5557
ddca, a84f
8f3c, a3c6
625a, f539
cecc, d04e
003f, 9121
3935, 0460
6a6c, 87fe
79d5, 7e75
0fad, 91fc
3fa6, e797
511f, cef3
9544, 8a07
7cdf, 57da
388d, 8897
6332, 68ef
7c6a, 0b24
43fb, 6430
2736, a980
ed1a, a336
6362, ec60
8d8b, 914b
c881, 1315
8596, 3724
53fc, 8e4d
2f3c, 8d1d
ee56, 3339
b634, 3b08
7ce5, e5bd
c687, 528b
05bc, 79c3
dceb, 67ee
f8c3, f2b3
1902, 9112
7d30, 91fb
6dfc, 76f0
d125, 4fa1
054d, 5490
ba03, a840
24da, 0a1f
69ea, 5a7c
44a6, f239
8adf, 7df6
d2d2, 1513
c2bb, 8c26
0443, e293
8de0, 91a2
6824, d1c2
87f1, 1203
6078, 4731
aead, 67b1
a9d8, 21d9
186e, e734
a185, 2079
8431, d03f
e23d, 2f3a
c355, f298
c30d, 029a
826e, 1f32
3128, bf29
f30d, fc12
2e9e, 3aa3
030e, be95
73b3, 682f
df55, 7ec8
ace0, fae0
09dc, 3e93
59b8, 002d
584e, d246
dac3, c5cd
aeec, bad6
1980, d6f1
2fb9, 5465
bcd6, b731
47b6, 9841
0167, 80d3
106d, 066a
4723, 4cdb
1fdd, 5a82
be1e, f77e
4b27, 9b99
b832, 99d0
449f, 884e
baa0, 4e1e
1221, f777
9ac9, 8bff
8e33, 7167
c834, a804
74a6, 4884
7310, ec83
c2ae, 2f09
e44d, 0a9d
11b7, 2eff
fb61, 90b9
b13b, 01eb
13ec, ba28
ab20, 0a77
64da, 8152
493f, bde0
3b28, edc8
34eb, b7d8
c00f, d1d2
2651, 025c
8942, e29f
ad33, 7ae9
aff7, 70b8
86fb, daa8
8423, 11da
ab60, 7cba
2995, a9ce
1890, 6e3a
a40e, cee3
e021, 8085
cc25, c399
f606, 4515
4e8d, 211d
0ec5, 9705
374e, dab2
78b7, 2106
5f98, 6c5b
94eb, d7d8
412d, 5e4c
5811, 831a
90ad, 26e3
5bf9, 9ce0
b2eb, 89fe
a9e5, 3f1c
266f, 0e5c
19de, eff4
6098, e480
bb87, 0b87
f81a, fa83
0d30, 280f
b985, 318b
b11b, 6abc
2f13, 2f69
a2b4, a55f
71fe, fb9e
4b1c, fb0e
7c73, 314e
d6af, 7804
93b6, a049
38e8, 4c78
0aeb, 883f
01d4, 1ef4
97ff, baec
f1ff, 45c1
c387, 073c
22b8, 40c4
fc8d, 1550
8b5e, dd4a
bd90, 009d
b2dd, 2999
ef09, 048e
10c1, 60bb
d1ab, db09
14d5, a9fb
6c77, 9ca9
6a74, ad2c
cef2, 1d47
951d, 8381
5d9f, 3042
a88e, c3e3
e5a5, 2b2e
b1fe, 3c1c
1c7e, 27ec
9575, 16f6
8c2f, d3fe
9660, 4658
f16b, a0f6
42a7, f5a6
f3de, 6ea6
ddf9, 88b9
f205, 29cb
d762, 5722
736c, 0b5b
792e, 4651
d159, 1ba3
f356, 4369
1c7b, cdd4
dfeb, 9830
69ef, 222f
aae3, f04f
a98d, d736
9357, c2c8
c481, 72f1
5623, 8b23
5018, fd0b
40da, 9b8f
e02b, 802c
c544, 69ad
